Term,RGB
mov [ebp-4],"rgb(103, 174, 48)"
ebx ecx,"rgb(103, 173, 49)"
push 0FFFFFFF4h,"rgb(102, 179, 44)"
ptr [ecx],"rgb(102, 178, 45)"
mov [ebp+var_10],"rgb(102, 177, 46)"
eax [edx+eax],"rgb(102, 176, 47)"
edx [eax+edx],"rgb(102, 175, 48)"
eax [ecx+eax],"rgb(102, 174, 49)"
push 4,"rgb(101, 179, 45)"
ecx [eax+ecx],"rgb(101, 178, 46)"
eax [ebp+var_8],"rgb(101, 177, 47)"
push [ebp+var_C],"rgb(101, 176, 48)"
and dword,"rgb(101, 175, 49)"
offset GetModuleHandleA,"rgb(100, 179, 46)"
ebx edx,"rgb(100, 178, 47)"
dup(0CCh),"rgb(100, 177, 48)"
[ebp+var_C] eax,"rgb(100, 176, 49)"
eax 2,"rgb(107, 171, 46)"
eax [ebp+var_C],"rgb(107, 170, 47)"
mov bl,"rgb(107, 169, 48)"
push 40h,"rgb(107, 168, 49)"
mov esp,"rgb(106, 179, 39)"
push 8,"rgb(106, 178, 40)"
push 10h,"rgb(106, 177, 41)"
ecx 4,"rgb(106, 176, 42)"
ecx ebp,"rgb(106, 175, 43)"
eax 3,"rgb(106, 174, 44)"
push 3,"rgb(106, 173, 45)"
push 20h,"rgb(106, 172, 46)"
push 0Ch,"rgb(106, 171, 47)"
push 14h,"rgb(106, 170, 48)"
push 16h,"rgb(106, 169, 49)"
push 3Fh,"rgb(105, 179, 40)"
push 1Eh,"rgb(105, 178, 41)"
push 3Ch,"rgb(105, 177, 42)"
push 5,"rgb(105, 176, 43)"
push 0Fh,"rgb(105, 175, 44)"
push 0Dh,"rgb(105, 174, 45)"
push 23h,"rgb(105, 173, 46)"
jmp dword,"rgb(105, 172, 47)"
push 6,"rgb(105, 171, 48)"
push 12h,"rgb(105, 170, 49)"
push [ebp+var_10],"rgb(104, 179, 41)"
mov [ebp+var_14],"rgb(104, 178, 42)"
push 15h,"rgb(104, 177, 43)"
push 0Eh,"rgb(104, 176, 44)"
ecx 1,"rgb(104, 175, 45)"
push 18h,"rgb(104, 174, 46)"
push 1Fh,"rgb(104, 173, 47)"
push 1Dh,"rgb(104, 172, 48)"
esi 4,"rgb(104, 171, 49)"
push 0Bh,"rgb(103, 179, 42)"
push 33h,"rgb(103, 178, 43)"
push 1Ah,"rgb(103, 177, 44)"
eax [ebp+arg_0],"rgb(103, 176, 45)"
push 13h,"rgb(103, 175, 46)"
push 3Eh,"rgb(103, 174, 47)"
push 3Bh,"rgb(103, 173, 48)"
dw 0,"rgb(103, 172, 49)"
push 32h,"rgb(102, 179, 43)"
ebp edi,"rgb(102, 178, 44)"
push 11h,"rgb(102, 177, 45)"
push 39h,"rgb(102, 176, 46)"
push 22h,"rgb(102, 175, 47)"
eax 5,"rgb(102, 174, 48)"
push 36h,"rgb(102, 173, 49)"
push 30h,"rgb(101, 179, 44)"
push 2Ah,"rgb(101, 178, 45)"
push 7,"rgb(101, 177, 46)"
push 31h,"rgb(101, 176, 47)"
push 38h,"rgb(101, 175, 48)"
xchg eax,"rgb(101, 174, 49)"
push 9,"rgb(100, 179, 45)"
push 2Dh,"rgb(100, 178, 46)"
push 2Bh,"rgb(100, 177, 47)"
push 2Eh,"rgb(100, 176, 48)"
push 17h,"rgb(100, 175, 49)"
push 24h,"rgb(107, 171, 45)"
mov [eax],"rgb(107, 170, 46)"
push 1Ch,"rgb(107, 169, 47)"
push 29h,"rgb(107, 168, 48)"
push 35h,"rgb(107, 167, 49)"
push 3Ah,"rgb(106, 179, 38)"
push 34h,"rgb(106, 178, 39)"
push 1Bh,"rgb(106, 177, 40)"
push 37h,"rgb(106, 176, 41)"
push 21h,"rgb(106, 175, 42)"
[ebp+var_10] eax,"rgb(106, 174, 43)"
push 2Fh,"rgb(106, 173, 44)"
dw 6,"rgb(106, 172, 45)"
rep jmp,"rgb(106, 171, 46)"
push 50h,"rgb(106, 170, 47)"
pusha,"rgb(106, 169, 48)"
push 2Ch,"rgb(106, 168, 49)"
cmp al,"rgb(105, 179, 39)"
eax,"rgb(105, 178, 40)"
push 28h,"rgb(105, 177, 41)"
eax [ebp-4],"rgb(105, 176, 42)"
push 26h,"rgb(105, 175, 43)"
push 3Dh,"rgb(105, 174, 44)"
ptr [esi],"rgb(105, 173, 45)"
eax 8,"rgb(105, 172, 46)"
push 25h,"rgb(105, 171, 47)"
push 27h,"rgb(105, 170, 48)"
push 19h,"rgb(105, 169, 49)"
edi 4,"rgb(104, 179, 40)"
call sub_401080,"rgb(104, 178, 41)"
edx 4,"rgb(104, 177, 42)"
or dword,"rgb(104, 176, 43)"
eax [eax],"rgb(104, 175, 44)"
push [ebp+var_14],"rgb(104, 174, 45)"
eax [ebp+var_10],"rgb(104, 173, 46)"
ecx [ebp-4],"rgb(104, 172, 47)"
[ebp-4] ecx,"rgb(104, 171, 48)"
call ds:GetLastError,"rgb(104, 170, 49)"
push 6Ah,"rgb(103, 179, 41)"
mov [ebp+var_1C],"rgb(103, 178, 42)"
ptr [edi],"rgb(103, 177, 43)"
esi 1,"rgb(103, 176, 44)"
call ds:GetModuleHandleA,"rgb(103, 175, 45)"
mov [ebp+var_18],"rgb(103, 174, 46)"
esp 18h,"rgb(103, 173, 47)"
popa,"rgb(103, 172, 48)"
push 56h,"rgb(103, 171, 49)"
call ds:TlsGetValue,"rgb(102, 179, 42)"
call ds:GetACP,"rgb(102, 178, 43)"
ebp ecx,"rgb(102, 177, 44)"
push 7Fh,"rgb(102, 176, 45)"
push 63h,"rgb(102, 175, 46)"
call ds:IsWindow,"rgb(102, 174, 47)"
call ds:GetDC,"rgb(102, 173, 48)"
ecx 2,"rgb(102, 172, 49)"
mov ah,"rgb(101, 179, 43)"
push 4Ah,"rgb(101, 178, 44)"
push 64h,"rgb(101, 177, 45)"
esi,"rgb(101, 176, 46)"
call ds:SetLastError,"rgb(101, 175, 47)"
ebx 4,"rgb(101, 174, 48)"
edx 1,"rgb(101, 173, 49)"
eax 0Dh,"rgb(100, 179, 44)"
[ebp+var_14] eax,"rgb(100, 178, 45)"
call ds:FindClose,"rgb(100, 177, 46)"
al bl,"rgb(100, 176, 47)"
push 4Dh,"rgb(100, 175, 48)"
push 47h,"rgb(100, 174, 49)"
test byte,"rgb(107, 171, 44)"
push 66h,"rgb(107, 170, 45)"
eax 6,"rgb(107, 169, 46)"
push 68h,"rgb(107, 168, 47)"
push 6Dh,"rgb(107, 167, 48)"
push 42h,"rgb(107, 166, 49)"
call ds:GetFocus,"rgb(106, 179, 37)"
push 4Eh,"rgb(106, 178, 38)"
push 46h,"rgb(106, 177, 39)"
ecx 3,"rgb(106, 176, 40)"
push 57h,"rgb(106, 175, 41)"
ecx [ebp-10h],"rgb(106, 174, 42)"
push 6Eh,"rgb(106, 173, 43)"
sub dword,"rgb(106, 172, 44)"
neg eax,"rgb(106, 171, 45)"
eax 20h,"rgb(106, 170, 46)"
push 4Fh,"rgb(106, 169, 47)"
push 7Ch,"rgb(106, 168, 48)"
push 69h,"rgb(106, 167, 49)"
push 52h,"rgb(105, 179, 38)"
push 72h,"rgb(105, 178, 39)"
al ah,"rgb(105, 177, 40)"
push 48h,"rgb(105, 176, 41)"
push 45h,"rgb(105, 175, 42)"
eax 24h,"rgb(105, 174, 43)"
push 7Ah,"rgb(105, 173, 44)"
push 43h,"rgb(105, 172, 45)"
push esp,"rgb(105, 171, 46)"
push 4Bh,"rgb(105, 170, 47)"
push 60h,"rgb(105, 169, 48)"
push 5Ch,"rgb(105, 168, 49)"
ecx 5,"rgb(104, 179, 39)"
eax [esi],"rgb(104, 178, 40)"
push 79h,"rgb(104, 177, 41)"
push 7Bh,"rgb(104, 176, 42)"
push 49h,"rgb(104, 175, 43)"
push 6Fh,"rgb(104, 174, 44)"
push 54h,"rgb(104, 173, 45)"
push 7Dh,"rgb(104, 172, 46)"
call ds:HeapDestroy,"rgb(104, 171, 47)"
push 6Ch,"rgb(104, 170, 48)"
ecx [ebp+var_4],"rgb(104, 169, 49)"
push 5Ah,"rgb(103, 179, 40)"
eax 0FFFFFFFFh,"rgb(103, 178, 41)"
push 5Fh,"rgb(103, 177, 42)"
mov [ebp-8],"rgb(103, 176, 43)"
push 78h,"rgb(103, 175, 44)"
push 77h,"rgb(103, 174, 45)"
push 53h,"rgb(103, 173, 46)"
jmp eax,"rgb(103, 172, 47)"
push 55h,"rgb(103, 171, 48)"
eax 0Ah,"rgb(103, 170, 49)"
push 67h,"rgb(102, 179, 41)"
esi 3,"rgb(102, 178, 42)"
push 5Eh,"rgb(102, 177, 43)"
eax 0Fh,"rgb(102, 176, 44)"
push 6Bh,"rgb(102, 175, 45)"
push 5Bh,"rgb(102, 174, 46)"
xor dword,"rgb(102, 173, 47)"
push 70h,"rgb(102, 172, 48)"
eax [ebp+arg_4],"rgb(102, 171, 49)"
eax 34h,"rgb(101, 179, 42)"
push 4Ch,"rgb(101, 178, 43)"
push 51h,"rgb(101, 177, 44)"
call ds:Sleep,"rgb(101, 176, 45)"
eax 7,"rgb(101, 175, 46)"
sbb dword,"rgb(101, 174, 47)"
eax 0Ch,"rgb(101, 173, 48)"
[ebp+var_1C] eax,"rgb(101, 172, 49)"
mov [ebp+var_20],"rgb(100, 179, 43)"
push [ebp+var_18],"rgb(100, 178, 44)"
push 0FFFFFF81h,"rgb(100, 177, 45)"
push 5Dh,"rgb(100, 176, 46)"
eax 0Bh,"rgb(100, 175, 47)"
eax 14h,"rgb(100, 174, 48)"
push 41h,"rgb(100, 173, 49)"
push 65h,"rgb(107, 171, 43)"
push 6ACh,"rgb(107, 170, 44)"
[ebp+var_18] eax,"rgb(107, 169, 45)"
add [ebp+var_4],"rgb(107, 168, 46)"
push 62h,"rgb(107, 167, 47)"
sub al,"rgb(107, 166, 48)"
ecx 8,"rgb(107, 165, 49)"
push 71h,"rgb(106, 179, 36)"
push 75h,"rgb(106, 178, 37)"
push 76h,"rgb(106, 177, 38)"
esi 5,"rgb(106, 176, 39)"
eax 10h,"rgb(106, 175, 40)"
push 59h,"rgb(106, 174, 41)"
call ds:LoadLibraryA,"rgb(106, 173, 42)"
push 74h,"rgb(106, 172, 43)"
ptr [ebx],"rgb(106, 171, 44)"
push 61h,"rgb(106, 170, 45)"
push 44h,"rgb(106, 169, 46)"
offset SetLastError,"rgb(106, 168, 47)"
eax 9,"rgb(106, 167, 48)"
[ebp-4] eax,"rgb(106, 166, 49)"
ptr [edx],"rgb(105, 179, 37)"
push 7Eh,"rgb(105, 178, 38)"
inc esi,"rgb(105, 177, 39)"
ecx,"rgb(105, 176, 40)"
ptr [ebp-8],"rgb(105, 175, 41)"
[ebp+var_4] ebx,"rgb(105, 174, 42)"
eax 16h,"rgb(105, 173, 43)"
push 73h,"rgb(105, 172, 44)"
push 58h,"rgb(105, 171, 45)"
offset GetDC,"rgb(105, 170, 46)"
esi 2,"rgb(105, 169, 47)"
offset CloseHandle,"rgb(105, 168, 48)"
eax 12h,"rgb(105, 167, 49)"
eax 11h,"rgb(104, 179, 38)"
[ebp+var_4] esi,"rgb(104, 178, 39)"
eax 13h,"rgb(104, 177, 40)"
ecx [eax],"rgb(104, 176, 41)"
eax 15h,"rgb(104, 175, 42)"
[ebp+var_4] 0,"rgb(104, 174, 43)"
eax 18h,"rgb(104, 173, 44)"
call esi,"rgb(104, 172, 45)"
push 0FFFFFFFFh,"rgb(104, 171, 46)"
ecx [ebp+var_8],"rgb(104, 170, 47)"
edi 1,"rgb(104, 169, 48)"
eax 1Fh,"rgb(104, 168, 49)"
[ebp+var_4] ecx,"rgb(103, 179, 39)"
offset LibFileName,"rgb(103, 178, 40)"
push 0FFFFFFD9h,"rgb(103, 177, 41)"
push 0FFFFFFC5h,"rgb(103, 176, 42)"
sbb esi,"rgb(103, 175, 43)"
eax 3Fh,"rgb(103, 174, 44)"
sub [ebp+var_4],"rgb(103, 173, 45)"
eax [ebp+var_14],"rgb(103, 172, 46)"
push 0FFFFFFFAh,"rgb(103, 171, 47)"
edi [edi],"rgb(103, 170, 48)"
call ds:GlobalFree,"rgb(103, 169, 49)"
edx 3,"rgb(102, 179, 40)"
ecx [ebp-0Ch],"rgb(102, 178, 41)"
eax 36h,"rgb(102, 177, 42)"
eax 2Ch,"rgb(102, 176, 43)"
cmp byte,"rgb(102, 175, 44)"
sbb edi,"rgb(102, 174, 45)"
and [ebp+var_4],"rgb(102, 173, 46)"
eax 3Ah,"rgb(102, 172, 47)"
eax 1Ch,"rgb(102, 171, 48)"
eax 0Eh,"rgb(102, 170, 49)"
pushf,"rgb(101, 179, 41)"
eax 17h,"rgb(101, 178, 42)"
inc dword,"rgb(101, 177, 43)"
inc ecx,"rgb(101, 176, 44)"
eax 28h,"rgb(101, 175, 45)"
[ebp+var_4] edi,"rgb(101, 174, 46)"
push 0FFFFFFEFh,"rgb(101, 173, 47)"
eax 1Eh,"rgb(101, 172, 48)"
push 0FFFFFFF9h,"rgb(101, 171, 49)"
sbb ebx,"rgb(100, 179, 42)"
push 0FFFFFF84h,"rgb(100, 178, 43)"
ecx 12h,"rgb(100, 177, 44)"
esi 8,"rgb(100, 176, 45)"
eax 3Dh,"rgb(100, 175, 46)"
eax 21h,"rgb(100, 174, 47)"
esi [ebp+arg_4],"rgb(100, 173, 48)"
push [ebp+var_1C],"rgb(100, 172, 49)"
push 0FFFFFF8Bh,"rgb(107, 171, 42)"
push 0FFFFFF94h,"rgb(107, 170, 43)"
eax 1Ah,"rgb(107, 169, 44)"
push 0FFFFFFF2h,"rgb(107, 168, 45)"
mov [ecx],"rgb(107, 167, 46)"
eax 35h,"rgb(107, 166, 47)"
[ebp+var_20] eax,"rgb(107, 165, 48)"
eax 1Dh,"rgb(107, 164, 49)"
test al,"rgb(106, 179, 35)"
edx [ecx],"rgb(106, 178, 36)"
eax [ebp+arg_8],"rgb(106, 177, 37)"
eax 2Dh,"rgb(106, 176, 38)"
edi,"rgb(106, 175, 39)"
eax 32h,"rgb(106, 174, 40)"
eax 3Eh,"rgb(106, 173, 41)"
[ebp+var_8] ecx,"rgb(106, 172, 42)"
esi 14h,"rgb(106, 171, 43)"
push 0FFFFFFBDh,"rgb(106, 170, 44)"
mov [ebp-10h],"rgb(106, 169, 45)"
inc edi,"rgb(106, 168, 46)"
eax 27h,"rgb(106, 167, 47)"
push 0FFFFFF86h,"rgb(106, 166, 48)"
eax [ebp+var_18],"rgb(106, 165, 49)"
stc,"rgb(105, 179, 36)"
push 0FFFFFFD4h,"rgb(105, 178, 37)"
push 0FFFFFFADh,"rgb(105, 177, 38)"
eax [eax+edi],"rgb(105, 176, 39)"
ecx [ebp+arg_0],"rgb(105, 175, 40)"
push 0FFFFFFF5h,"rgb(105, 174, 41)"
push 0FFFFFFCAh,"rgb(105, 173, 42)"
eax 33h,"rgb(105, 172, 43)"
push 0FFFFFFC3h,"rgb(105, 171, 44)"
push 0FFFFFFD0h,"rgb(105, 170, 45)"
eax 2Bh,"rgb(105, 169, 46)"
[ebp+var_8] ebx,"rgb(105, 168, 47)"
ecx 29h,"rgb(105, 167, 48)"
esi 11h,"rgb(105, 166, 49)"
eax 30h,"rgb(104, 179, 37)"
esi 10h,"rgb(104, 178, 38)"
esi 0Bh,"rgb(104, 177, 39)"
eax 25h,"rgb(104, 176, 40)"
eax 3Ch,"rgb(104, 175, 41)"
mov [ebp+var_24],"rgb(104, 174, 42)"
push 0FFFFFFD7h,"rgb(104, 173, 43)"
eax 2Fh,"rgb(104, 172, 44)"
push 0FFFFFFF1h,"rgb(104, 171, 45)"
inc ebx,"rgb(104, 170, 46)"
eax 19h,"rgb(104, 169, 47)"
call sub_401D20,"rgb(104, 168, 48)"
esi 0Ah,"rgb(104, 167, 49)"
push 0FFFFFFDBh,"rgb(103, 179, 38)"
eax [ebp+var_1C],"rgb(103, 178, 39)"
push 0FFFFFFC8h,"rgb(103, 177, 40)"
add [ebp+var_8],"rgb(103, 176, 41)"
esi [ebp+var_4],"rgb(103, 175, 42)"
esi 13h,"rgb(103, 174, 43)"
esi 12h,"rgb(103, 173, 44)"
eax 2Ah,"rgb(103, 172, 45)"
ecx [ebp+var_10],"rgb(103, 171, 46)"
push 0FFFFFFEDh,"rgb(103, 170, 47)"
push 0FFFFFFCEh,"rgb(103, 169, 48)"
ecx [ebp-18h],"rgb(103, 168, 49)"
push 0FFFFFFECh,"rgb(102, 179, 39)"
eax 78h,"rgb(102, 178, 40)"
eax 22h,"rgb(102, 177, 41)"
ecx [ebp-8],"rgb(102, 176, 42)"
push 0FFFFFFEAh,"rgb(102, 175, 43)"
push 0FFFFFFC6h,"rgb(102, 174, 44)"
eax [ebp-14h],"rgb(102, 173, 45)"
push 0FFFFFFDAh,"rgb(102, 172, 46)"
esi 0Ch,"rgb(102, 171, 47)"
mov [esi],"rgb(102, 170, 48)"
eax 23h,"rgb(102, 169, 49)"
push 0FFFFFFA5h,"rgb(101, 179, 40)"
call ecx,"rgb(101, 178, 41)"
ecx [ebp-14h],"rgb(101, 177, 42)"
push 0FFFFFFC4h,"rgb(101, 176, 43)"
eax 2Eh,"rgb(101, 175, 44)"
esi 6,"rgb(101, 174, 45)"
edi 3,"rgb(101, 173, 46)"
push 0FFFFFFB6h,"rgb(101, 172, 47)"
eax 38h,"rgb(101, 171, 48)"
edx,"rgb(101, 170, 49)"
esi 16h,"rgb(100, 179, 41)"
eax 3Bh,"rgb(100, 178, 42)"
ptr [esi+4],"rgb(100, 177, 43)"
push 0FFFFFFF6h,"rgb(100, 176, 44)"
push 0FFFFFFAAh,"rgb(100, 175, 45)"
edx 5,"rgb(100, 174, 46)"
esi 15h,"rgb(100, 173, 47)"
push 0FFFFFF93h,"rgb(100, 172, 48)"
sub [ebp+var_8],"rgb(100, 171, 49)"
esi 7,"rgb(107, 171, 41)"
shr eax,"rgb(107, 170, 42)"
call ds:ReleaseMutex,"rgb(107, 169, 43)"
push 0FFFFFFA9h,"rgb(107, 168, 44)"
[ebp+var_8] esi,"rgb(107, 167, 45)"
push 0FFFFFFC7h,"rgb(107, 166, 46)"
esi 17h,"rgb(107, 165, 47)"
edi [ebp+var_4],"rgb(107, 164, 48)"
edx 2,"rgb(107, 163, 49)"
push 0FFFFFF9Bh,"rgb(106, 179, 34)"
push 0FFFFFFA7h,"rgb(106, 178, 35)"
inc edx,"rgb(106, 177, 36)"
eax [ebp-0Ch],"rgb(106, 176, 37)"
ecx [ebp-1Ch],"rgb(106, 175, 38)"
eax 31h,"rgb(106, 174, 39)"
push 0FFFFFF8Fh,"rgb(106, 173, 40)"
esi 24h,"rgb(106, 172, 41)"
ptr [ebp-0Ch],"rgb(106, 171, 42)"
ecx 0Ch,"rgb(106, 170, 43)"
esi 9,"rgb(106, 169, 44)"
esi 0Fh,"rgb(106, 168, 45)"
push 0FFFFFFCBh,"rgb(106, 167, 46)"
xlat,"rgb(106, 166, 47)"
push 0FFFFFFA0h,"rgb(106, 165, 48)"
push 0FFFFFF80h,"rgb(106, 164, 49)"
esi 18h,"rgb(105, 179, 35)"
eax 39h,"rgb(105, 178, 36)"
push 0FFFFFFEBh,"rgb(105, 177, 37)"
push 0FFFFFFE8h,"rgb(105, 176, 38)"
[ebp+var_8] edi,"rgb(105, 175, 39)"
push 0FFFFFFB1h,"rgb(105, 174, 40)"
ecx [eax+10h],"rgb(105, 173, 41)"
push 0FFFFFFB9h,"rgb(105, 172, 42)"
push 0FFFFFF88h,"rgb(105, 171, 43)"
al cl,"rgb(105, 170, 44)"
eax [ebp-8],"rgb(105, 169, 45)"
push 0FFFFFF85h,"rgb(105, 168, 46)"
