Term,RGB
cmp edx,"rgb(169, 98, 48)"
pop eax,"rgb(169, 97, 49)"
mov [ebp+var_4],"rgb(168, 99, 48)"
word ptr,"rgb(168, 98, 49)"
xor esi,"rgb(167, 99, 49)"
esi ecx,"rgb(173, 99, 42)"
and ecx,"rgb(173, 98, 43)"
cmp dword,"rgb(173, 97, 44)"
ja short,"rgb(173, 96, 45)"
cmp edi,"rgb(173, 95, 46)"
ptr [eax],"rgb(173, 94, 47)"
ebx eax,"rgb(173, 93, 48)"
retn 8,"rgb(173, 92, 49)"
esp 0Ch,"rgb(172, 99, 43)"
lea esi,"rgb(172, 98, 44)"
test edi,"rgb(172, 97, 45)"
inc eax,"rgb(172, 96, 46)"
sub esi,"rgb(172, 95, 47)"
push 1,"rgb(172, 94, 48)"
lea edi,"rgb(172, 93, 49)"
and edx,"rgb(171, 99, 44)"
xor edi,"rgb(171, 98, 45)"
retn 0Ch,"rgb(171, 97, 46)"
sbb eax,"rgb(171, 96, 47)"
or ecx,"rgb(171, 95, 48)"
mov cl,"rgb(171, 94, 49)"
dup(0CCh),"rgb(170, 99, 45)"
cmp ebx,"rgb(170, 98, 46)"
eax [ebp+arg_0],"rgb(170, 97, 47)"
movzx ecx,"rgb(170, 96, 48)"
xor ebx,"rgb(170, 95, 49)"
ecx [eax],"rgb(169, 99, 46)"
retn 10h,"rgb(169, 98, 47)"
movzx edx,"rgb(169, 97, 48)"
ptr [esi],"rgb(169, 96, 49)"
eax 1,"rgb(168, 99, 47)"
large fs:0,"rgb(168, 98, 48)"
or edx,"rgb(168, 97, 49)"
ecx edi,"rgb(167, 99, 48)"
mov dl,"rgb(167, 98, 49)"
imul ecx,"rgb(166, 99, 49)"
esi edi,"rgb(173, 99, 41)"
test ebx,"rgb(173, 98, 42)"
sub edi,"rgb(173, 97, 43)"
esp 4,"rgb(173, 96, 44)"
esp 8,"rgb(173, 95, 45)"
esp 10h,"rgb(173, 94, 46)"
and esi,"rgb(173, 93, 47)"
mov [eax],"rgb(173, 92, 48)"
pop edx,"rgb(173, 91, 49)"
or esi,"rgb(172, 99, 42)"
and dword,"rgb(172, 98, 43)"
shl eax,"rgb(172, 97, 44)"
mov [ebp+var_8],"rgb(172, 96, 45)"
esi ebx,"rgb(172, 95, 46)"
call esi,"rgb(172, 94, 47)"
eax [esi],"rgb(172, 93, 48)"
sbb edx,"rgb(172, 92, 49)"
[ebp+var_4] eax,"rgb(171, 99, 43)"
mov large,"rgb(171, 98, 44)"
sbb ecx,"rgb(171, 97, 45)"
ecx ebx,"rgb(171, 96, 46)"
edi esi,"rgb(171, 95, 47)"
cmp byte,"rgb(171, 94, 48)"
test al,"rgb(171, 93, 49)"
eax [ebp+var_4],"rgb(170, 99, 44)"
jbe short,"rgb(170, 98, 45)"
mov esp,"rgb(170, 97, 46)"
edx esi,"rgb(170, 96, 47)"
eax 0FFFFFFFFh,"rgb(170, 95, 48)"
jnb short,"rgb(170, 94, 49)"
jg short,"rgb(169, 99, 45)"
lea ebx,"rgb(169, 98, 46)"
al al,"rgb(169, 97, 47)"
esp 14h,"rgb(169, 96, 48)"
ptr [ebp-4],"rgb(169, 95, 49)"
edi ebx,"rgb(168, 99, 46)"
ebp eax,"rgb(168, 98, 47)"
ecx [ebp+arg_0],"rgb(168, 97, 48)"
call edi,"rgb(168, 96, 49)"
eax ebp,"rgb(167, 99, 47)"
ecx [ebp+var_4],"rgb(167, 98, 48)"
imul esi,"rgb(167, 97, 49)"
eax,"rgb(166, 99, 48)"
mov [esi],"rgb(166, 98, 49)"
sub ebx,"rgb(165, 99, 49)"
esi edx,"rgb(173, 99, 40)"
mov [ebp+var_C],"rgb(173, 98, 41)"
or edi,"rgb(173, 97, 42)"
push [ebp+arg_0],"rgb(173, 96, 43)"
inc esi,"rgb(173, 95, 44)"
esp ebp,"rgb(173, 94, 45)"
push [ebp+arg_4],"rgb(173, 93, 46)"
test byte,"rgb(173, 92, 47)"
push 2,"rgb(173, 91, 48)"
edi ecx,"rgb(173, 90, 49)"
and edi,"rgb(172, 99, 41)"
eax [ebp+arg_4],"rgb(172, 98, 42)"
ebp ebp,"rgb(172, 97, 43)"
eax 2,"rgb(172, 96, 44)"
ptr [ecx],"rgb(172, 95, 45)"
eax 4,"rgb(172, 94, 46)"
eax byte,"rgb(172, 93, 47)"
ecx 2,"rgb(172, 92, 48)"
push [ebp+var_4],"rgb(172, 91, 49)"
push 4,"rgb(171, 99, 42)"
push 0FFFFFFFFh,"rgb(171, 98, 43)"
mov [ebp+var_10],"rgb(171, 97, 44)"
fs:0 ecx,"rgb(171, 96, 45)"
esi offset,"rgb(171, 95, 46)"
imul edx,"rgb(171, 94, 47)"
mov [ebp+var_1C],"rgb(171, 93, 48)"
eax 3,"rgb(171, 92, 49)"
eax [ebp+var_8],"rgb(170, 99, 43)"
edx edi,"rgb(170, 98, 44)"
ebx esi,"rgb(170, 97, 45)"
inc edi,"rgb(170, 96, 46)"
mov [ecx],"rgb(170, 95, 47)"
ebx edi,"rgb(170, 94, 48)"
ptr [ebp+var_4],"rgb(170, 93, 49)"
ecx 4,"rgb(169, 99, 44)"
cmp ebp,"rgb(169, 98, 45)"
call eax,"rgb(169, 97, 46)"
mov [edi],"rgb(169, 96, 47)"
eax word,"rgb(169, 95, 48)"
shl ecx,"rgb(169, 94, 49)"
ptr [esi+4],"rgb(168, 99, 45)"
sar eax,"rgb(168, 98, 46)"
cmp al,"rgb(168, 97, 47)"
edx ebx,"rgb(168, 96, 48)"
eax [eax],"rgb(168, 95, 49)"
edi offset,"rgb(167, 99, 46)"
ebx ecx,"rgb(167, 98, 47)"
ecx 1,"rgb(167, 97, 48)"
shr ecx,"rgb(167, 96, 49)"
ptr [edi],"rgb(166, 99, 47)"
ecx offset,"rgb(166, 98, 48)"
[ebp+var_4] 0,"rgb(166, 97, 49)"
[ebp+var_8] eax,"rgb(165, 99, 48)"
esp 18h,"rgb(165, 98, 49)"
eax [ecx],"rgb(164, 99, 49)"
edi edx,"rgb(173, 99, 39)"
edx byte,"rgb(173, 98, 40)"
test ebp,"rgb(173, 97, 41)"
eax [ebp+arg_8],"rgb(173, 96, 42)"
shl esi,"rgb(173, 95, 43)"
push [ebp+arg_8],"rgb(173, 94, 44)"
ecx byte,"rgb(173, 93, 45)"
movsd,"rgb(173, 92, 46)"
eax 8,"rgb(173, 91, 47)"
eax [ebp+var_C],"rgb(173, 90, 48)"
call ebx,"rgb(173, 89, 49)"
neg eax,"rgb(172, 99, 40)"
ecx ebp,"rgb(172, 98, 41)"
esi [ebp+arg_0],"rgb(172, 97, 42)"
mov [ebp+var_14],"rgb(172, 96, 43)"
inc ebx,"rgb(172, 95, 44)"
[eax] 0,"rgb(172, 94, 45)"
and ebx,"rgb(172, 93, 46)"
imul edi,"rgb(172, 92, 47)"
shl edx,"rgb(172, 91, 48)"
inc ecx,"rgb(172, 90, 49)"
or ebx,"rgb(171, 99, 41)"
edx 1,"rgb(171, 98, 42)"
push 8,"rgb(171, 97, 43)"
test cl,"rgb(171, 96, 44)"
mov [ebp+var_20],"rgb(171, 95, 45)"
ptr [ecx+8],"rgb(171, 94, 46)"
cmp [ebp+var_4],"rgb(171, 93, 47)"
ecx [ebp+var_8],"rgb(171, 92, 48)"
push 3,"rgb(171, 91, 49)"
push 0Ah,"rgb(170, 99, 42)"
mov bl,"rgb(170, 98, 43)"
push 0Ch,"rgb(170, 97, 44)"
eax [ebp+var_10],"rgb(170, 96, 45)"
eax [ebp+8],"rgb(170, 95, 46)"
ptr [ebx],"rgb(170, 94, 47)"
eax [esp+arg_0],"rgb(170, 93, 48)"
ecx [ebp-10h],"rgb(170, 92, 49)"
esi 4,"rgb(169, 99, 43)"
rep movsd,"rgb(169, 98, 44)"
inc dword,"rgb(169, 97, 45)"
eax [esi+4],"rgb(169, 96, 46)"
mov [ebp-4],"rgb(169, 95, 47)"
qword ptr,"rgb(169, 94, 48)"
or dword,"rgb(169, 93, 49)"
ecx [ebp+arg_4],"rgb(168, 99, 44)"
inc edx,"rgb(168, 98, 45)"
mov [esi+8],"rgb(168, 97, 46)"
eax [edi],"rgb(168, 96, 47)"
ecx 8,"rgb(168, 95, 48)"
ptr [eax+4],"rgb(168, 94, 49)"
ecx 3,"rgb(167, 99, 45)"
lea ebp,"rgb(167, 98, 46)"
push [ebp+var_8],"rgb(167, 97, 47)"
ebx offset,"rgb(167, 96, 48)"
sub ebp,"rgb(167, 95, 49)"
ebx edx,"rgb(166, 99, 46)"
esp 1Ch,"rgb(166, 98, 47)"
mov [ebp+ms_exc.registration.TryLevel],"rgb(166, 97, 48)"
edx [ebp+arg_0],"rgb(166, 96, 49)"
near ptr,"rgb(165, 99, 47)"
movsx eax,"rgb(165, 98, 48)"
push 10h,"rgb(165, 97, 49)"
[esi] eax,"rgb(164, 99, 48)"
eax large,"rgb(164, 98, 49)"
mov [ebp+arg_0],"rgb(163, 99, 49)"
mov [esi+4],"rgb(173, 99, 38)"
ecx word,"rgb(173, 98, 39)"
[ebp+var_C] eax,"rgb(173, 97, 40)"
xor ebp,"rgb(173, 96, 41)"
eax [esi+8],"rgb(173, 95, 42)"
esi ebp,"rgb(173, 94, 43)"
ecx,"rgb(173, 93, 44)"
cmp [ebp+arg_4],"rgb(173, 92, 45)"
[eax] ecx,"rgb(173, 91, 46)"
mov [esp],"rgb(173, 90, 47)"
[esi] offset,"rgb(173, 89, 48)"
mov [eax+4],"rgb(173, 88, 49)"
esi 1,"rgb(172, 99, 39)"
ptr [esi+8],"rgb(172, 98, 40)"
call ??3@YAXPAX@Z,"rgb(172, 97, 41)"
mov [edx],"rgb(172, 96, 42)"
[ecx] eax,"rgb(172, 95, 43)"
ecx [ebp+var_10],"rgb(172, 94, 44)"
edx word,"rgb(172, 93, 45)"
mov [ebp+var_18],"rgb(172, 92, 46)"
shl edi,"rgb(172, 91, 47)"
eax 20h,"rgb(172, 90, 48)"
ecx [ebp+var_C],"rgb(172, 89, 49)"
ptr [edx],"rgb(171, 99, 40)"
[esi] 0,"rgb(171, 98, 41)"
mov word,"rgb(171, 97, 42)"
eax 5,"rgb(171, 96, 43)"
edx [ecx],"rgb(171, 95, 44)"
esi [ebp+arg_4],"rgb(171, 94, 45)"
mov ax,"rgb(171, 93, 46)"
eax [ebp+var_1C],"rgb(171, 92, 47)"
shr eax,"rgb(171, 91, 48)"
cl cl,"rgb(171, 90, 49)"
edx [eax],"rgb(170, 99, 41)"
dd 0,"rgb(170, 98, 42)"
edi [ebp+arg_0],"rgb(170, 97, 43)"
cdq,"rgb(170, 96, 44)"
ecx [ecx+edx],"rgb(170, 95, 45)"
cmp [ebp+arg_0],"rgb(170, 94, 46)"
ptr [esi+0Ch],"rgb(170, 93, 47)"
dd offset,"rgb(170, 92, 48)"
push [ebp+arg_C],"rgb(170, 91, 49)"
edi 1,"rgb(169, 99, 42)"
eax 10h,"rgb(169, 98, 43)"
edx [ecx+edx],"rgb(169, 97, 44)"
edx 4,"rgb(169, 96, 45)"
sar ecx,"rgb(169, 95, 46)"
test dl,"rgb(169, 94, 47)"
ptr [ebp+8],"rgb(169, 93, 48)"
[ebp+var_1C] eax,"rgb(169, 92, 49)"
push 14h,"rgb(168, 99, 43)"
eax esp,"rgb(168, 98, 44)"
eax [ebp+arg_C],"rgb(168, 97, 45)"
ecx [esi],"rgb(168, 96, 46)"
ecx [edx+ecx],"rgb(168, 95, 47)"
cmp cl,"rgb(168, 94, 48)"
push 20h,"rgb(168, 93, 49)"
ecx [ebp+arg_8],"rgb(167, 99, 44)"
al [esi],"rgb(167, 98, 45)"
cmp word,"rgb(167, 97, 46)"
retn 14h,"rgb(167, 96, 47)"
push 40h,"rgb(167, 95, 48)"
esi,"rgb(167, 94, 49)"
edi ebp,"rgb(166, 99, 45)"
edx [edx+ecx],"rgb(166, 98, 46)"
ptr [eax+8],"rgb(166, 97, 47)"
imul ebx,"rgb(166, 96, 48)"
eax [ebx],"rgb(166, 95, 49)"
mov [ebp+var_24],"rgb(165, 99, 46)"
dl [ebx],"rgb(165, 98, 47)"
ebx [ebp+arg_0],"rgb(165, 97, 48)"
esi 2,"rgb(165, 96, 49)"
push 5,"rgb(164, 99, 47)"
push [ebp+var_C],"rgb(164, 98, 48)"
edi 4,"rgb(164, 97, 49)"
mov [ebx],"rgb(163, 99, 48)"
esp 20h,"rgb(163, 98, 49)"
[ebp+var_4] ecx,"rgb(162, 99, 49)"
push 3Fh,"rgb(173, 99, 37)"
edx 3,"rgb(173, 98, 38)"
[ebp+var_10] eax,"rgb(173, 97, 39)"
ecx [ebp-0Ch],"rgb(173, 96, 40)"
shr edx,"rgb(173, 95, 41)"
push 6,"rgb(173, 94, 42)"
and [ebp+var_4],"rgb(173, 93, 43)"
mov [ebp+arg_4],"rgb(173, 92, 44)"
ecx [esi+4],"rgb(173, 91, 45)"
ecx [ebp+8],"rgb(173, 90, 46)"
edx,"rgb(173, 89, 47)"
test ah,"rgb(173, 88, 48)"
sar edx,"rgb(173, 87, 49)"
retn 18h,"rgb(172, 99, 38)"
esp 2Ch,"rgb(172, 98, 39)"
eax [ebp-10h],"rgb(172, 97, 40)"
fs:0 eax,"rgb(172, 96, 41)"
sar esi,"rgb(172, 95, 42)"
eax [esi+0Ch],"rgb(172, 94, 43)"
cmp [ebp+arg_8],"rgb(172, 93, 44)"
cmp ax,"rgb(172, 92, 45)"
eax 0,"rgb(172, 91, 46)"
ptr [ecx+4],"rgb(172, 90, 47)"
push 16h,"rgb(172, 89, 48)"
push 0Dh,"rgb(172, 88, 49)"
eax 1Fh,"rgb(171, 99, 39)"
eax [edx+eax],"rgb(171, 98, 40)"
eax [eax+edx],"rgb(171, 97, 41)"
edi,"rgb(171, 96, 42)"
edx cl,"rgb(171, 95, 43)"
edx [ebp+var_4],"rgb(171, 94, 44)"
eax [eax+ecx],"rgb(171, 93, 45)"
ecx [esp+arg_0],"rgb(171, 92, 46)"
lea esp,"rgb(171, 91, 47)"
esi [esi+0],"rgb(171, 90, 48)"
edx [eax+edx],"rgb(171, 89, 49)"
ecx [ecx+eax],"rgb(170, 99, 40)"
mov [eax+8],"rgb(170, 98, 41)"
test bl,"rgb(170, 97, 42)"
eax [ebp+var_14],"rgb(170, 96, 43)"
ecx [eax+4],"rgb(170, 95, 44)"
stosd,"rgb(170, 94, 45)"
eax [ecx+eax],"rgb(170, 93, 46)"
dl dl,"rgb(170, 92, 47)"
edx 2,"rgb(170, 91, 48)"
eax [ebp+var_18],"rgb(170, 90, 49)"
ptr [ebp+0Ch],"rgb(169, 99, 41)"
edx [edx+eax],"rgb(169, 98, 42)"
mov [ebp-10h],"rgb(169, 97, 43)"
call edx,"rgb(169, 96, 44)"
[ebp+var_4] al,"rgb(169, 95, 45)"
ebp esi,"rgb(169, 94, 46)"
rep stosd,"rgb(169, 93, 47)"
al 1,"rgb(169, 92, 48)"
eax [eax+4],"rgb(169, 91, 49)"
edx [ebp+arg_4],"rgb(168, 99, 42)"
call ??2@YAPAXI@Z,"rgb(168, 98, 43)"
short $+2,"rgb(168, 97, 44)"
mov [esi+0Ch],"rgb(168, 96, 45)"
push 9,"rgb(168, 95, 46)"
[ebp-4] 0,"rgb(168, 94, 47)"
[esi+8] eax,"rgb(168, 93, 48)"
al bl,"rgb(168, 92, 49)"
push 18h,"rgb(167, 99, 43)"
[esp] eax,"rgb(167, 98, 44)"
eax [eax+eax*4],"rgb(167, 97, 45)"
cmp [eax],"rgb(167, 96, 46)"
ecx [eax+ecx],"rgb(167, 95, 47)"
mov [ecx+4],"rgb(167, 94, 48)"
edx [esp+arg_4],"rgb(167, 93, 49)"
[eax] edx,"rgb(166, 99, 44)"
ebx 1,"rgb(166, 98, 45)"
eax [edx],"rgb(166, 97, 46)"
ecx [ebp+var_14],"rgb(166, 96, 47)"
eax [ebp+0Ch],"rgb(166, 95, 48)"
ebp edi,"rgb(166, 94, 49)"
ebx ebp,"rgb(165, 99, 45)"
push 7,"rgb(165, 98, 46)"
[ebp+var_20] eax,"rgb(165, 97, 47)"
ecx [ebp-14h],"rgb(165, 96, 48)"
ptr [esi+10h],"rgb(165, 95, 49)"
movzx esi,"rgb(164, 99, 46)"
[ebp+var_4] ebx,"rgb(164, 98, 47)"
ptr [eax+0Ch],"rgb(164, 97, 48)"
shr ebx,"rgb(164, 96, 49)"
[edi] al,"rgb(163, 99, 47)"
neg ecx,"rgb(163, 98, 48)"
edx ebp,"rgb(163, 97, 49)"
eax [ebp+var_20],"rgb(162, 99, 48)"
esi 8,"rgb(162, 98, 49)"
eax 0Ch,"rgb(161, 99, 49)"
dup(90h),"rgb(173, 99, 36)"
[ebp-4] 0FFFFFFFFh,"rgb(173, 98, 37)"
push 30h,"rgb(173, 97, 38)"
esp 24h,"rgb(173, 96, 39)"
[ebp+var_14] eax,"rgb(173, 95, 40)"
ecx 0FFFFFFFFh,"rgb(173, 94, 41)"
edi [ebp+arg_4],"rgb(173, 93, 42)"
ebx cl,"rgb(173, 92, 43)"
esi 3,"rgb(173, 91, 44)"
mov [ebp+var_28],"rgb(173, 90, 45)"
push [ebp+var_10],"rgb(173, 89, 46)"
eax dword,"rgb(173, 88, 47)"
ebp ecx,"rgb(173, 87, 48)"
cmp [ebp+var_8],"rgb(173, 86, 49)"
and ebp,"rgb(172, 99, 37)"
push 11h,"rgb(172, 98, 38)"
ebp ebx,"rgb(172, 97, 39)"
push 1Fh,"rgb(172, 96, 40)"
[ebp+ms_exc.registration.TryLevel] 0FFFFFFFEh,"rgb(172, 95, 41)"
mov [esp+14h+var_4],"rgb(172, 94, 42)"
[esi+4] eax,"rgb(172, 93, 43)"
shl ebx,"rgb(172, 92, 44)"
eax 6,"rgb(172, 91, 45)"
eax 30h,"rgb(172, 90, 46)"
cl [eax],"rgb(172, 89, 47)"
[eax] esi,"rgb(172, 88, 48)"
call near,"rgb(172, 87, 49)"
push 0Fh,"rgb(171, 99, 38)"
mov [esp+18h+var_4],"rgb(171, 98, 39)"
push 0Eh,"rgb(171, 97, 40)"
short near,"rgb(171, 96, 41)"
ebp edx,"rgb(171, 95, 42)"
ptr [ebp+var_8],"rgb(171, 94, 43)"
[ebp+ms_exc.registration.TryLevel] 0,"rgb(171, 93, 44)"
push 1Ch,"rgb(171, 92, 45)"
edx offset,"rgb(171, 91, 46)"
push 0Bh,"rgb(171, 90, 47)"
edi 2,"rgb(171, 89, 48)"
mov [ebp-1Ch],"rgb(171, 88, 49)"
eax [eax+eax*2],"rgb(170, 99, 39)"
eax [ebp-14h],"rgb(170, 98, 40)"
push 22h,"rgb(170, 97, 41)"
mov cx,"rgb(170, 96, 42)"
[ebp+arg_0] eax,"rgb(170, 95, 43)"
push 1Eh,"rgb(170, 94, 44)"
jo short,"rgb(170, 93, 45)"
cl byte,"rgb(170, 92, 46)"
push 12h,"rgb(170, 91, 47)"
push [ebp+arg_10],"rgb(170, 90, 48)"
edi 3,"rgb(170, 89, 49)"
edx 0,"rgb(169, 99, 40)"
mov [ebx+8],"rgb(169, 98, 41)"
ecx 5,"rgb(169, 97, 42)"
ptr [eax+10h],"rgb(169, 96, 43)"
push 13h,"rgb(169, 95, 44)"
esi [esp+4+arg_0],"rgb(169, 94, 45)"
[ebp+var_8] 0,"rgb(169, 93, 46)"
[ebp+arg_0] 0,"rgb(169, 92, 47)"
esp 28h,"rgb(169, 91, 48)"
or ebp,"rgb(169, 90, 49)"
push hHeap,"rgb(168, 99, 41)"
cmp dl,"rgb(168, 98, 42)"
push 3Ch,"rgb(168, 97, 43)"
nop,"rgb(168, 96, 44)"
[ebp+var_18] eax,"rgb(168, 95, 45)"
st(1) st,"rgb(168, 94, 46)"
push 15h,"rgb(168, 93, 47)"
call __SEH_prolog4,"rgb(168, 92, 48)"
and [ebp+ms_exc.registration.TryLevel],"rgb(168, 91, 49)"
edx [ebp+var_8],"rgb(167, 99, 42)"
eax [ebp-4],"rgb(167, 98, 43)"
eax [ebp+Buffer],"rgb(167, 97, 44)"
push 24h,"rgb(167, 96, 45)"
push 38h,"rgb(167, 95, 46)"
ebx 4,"rgb(167, 94, 47)"
call __SEH_epilog4,"rgb(167, 93, 48)"
push 23h,"rgb(167, 92, 49)"
[ebp+var_8] ecx,"rgb(166, 99, 43)"
eax 7,"rgb(166, 98, 44)"
ptr [eax+18h],"rgb(166, 97, 45)"
push 1Ah,"rgb(166, 96, 46)"
edx [esi],"rgb(166, 95, 47)"
ebp offset,"rgb(166, 94, 48)"
push 32h,"rgb(166, 93, 49)"
jmp __CxxFrameHandler,"rgb(165, 99, 44)"
mov [ebp+var_2C],"rgb(165, 98, 45)"
push 2Eh,"rgb(165, 97, 46)"
[eax+4] ecx,"rgb(165, 96, 47)"
push 50h,"rgb(165, 95, 48)"
inc ebp,"rgb(165, 94, 49)"
push [ebp+var_14],"rgb(164, 99, 45)"
ecx [ecx],"rgb(164, 98, 46)"
push 17h,"rgb(164, 97, 47)"
mov [ecx+8],"rgb(164, 96, 48)"
eax [esp+4],"rgb(164, 95, 49)"
eax [esp+8],"rgb(163, 99, 46)"
push 28h,"rgb(163, 98, 47)"
push 1Dh,"rgb(163, 97, 48)"
ecx [esi+8],"rgb(163, 96, 49)"
eax [ebx+4],"rgb(162, 99, 47)"
ptr [ebp-10h],"rgb(162, 98, 48)"
ptr [eax+14h],"rgb(162, 97, 49)"
push 33h,"rgb(161, 99, 48)"
push 3Bh,"rgb(161, 98, 49)"
[ebp+var_4] edi,"rgb(160, 99, 49)"
ecx [ebp+var_1C],"rgb(173, 99, 35)"
cmp [ebp+var_C],"rgb(173, 98, 36)"
[eax] edi,"rgb(173, 97, 37)"
eax [ebp+arg_10],"rgb(173, 96, 38)"
push 2Ch,"rgb(173, 95, 39)"
push 2Dh,"rgb(173, 94, 40)"
call ebp,"rgb(173, 93, 41)"
push 3Eh,"rgb(173, 92, 42)"
[eax] ebx,"rgb(173, 91, 43)"
ecx [ebp+var_18],"rgb(173, 90, 44)"
mov [esp+4],"rgb(173, 89, 45)"
push 31h,"rgb(173, 88, 46)"
eax [esp+arg_4],"rgb(173, 87, 47)"
cmp bl,"rgb(173, 86, 48)"
mov [esp+3Ch+var_3C],"rgb(173, 85, 49)"
[ebp+var_4] esi,"rgb(172, 99, 36)"
push 2Ah,"rgb(172, 98, 37)"
ptr [esi+14h],"rgb(172, 97, 38)"
eax [esi+10h],"rgb(172, 96, 39)"
ebx [ebp+arg_4],"rgb(172, 95, 40)"
push 39h,"rgb(172, 94, 41)"
ecx 10h,"rgb(172, 93, 42)"
rep movsb,"rgb(172, 92, 43)"
[ebp+arg_4] 0,"rgb(172, 91, 44)"
[edi] eax,"rgb(172, 90, 45)"
push 34h,"rgb(172, 89, 46)"
call ds:GetLastError,"rgb(172, 88, 47)"
fld dword,"rgb(172, 87, 48)"
push 2Bh,"rgb(172, 86, 49)"
push 36h,"rgb(171, 99, 37)"
push 1Bh,"rgb(171, 98, 38)"
mov [esp+3Ch+var_38],"rgb(171, 97, 39)"
ecx [eax+8],"rgb(171, 96, 40)"
cmp [ebp+arg_C],"rgb(171, 95, 41)"
eax 14h,"rgb(171, 94, 42)"
ecx 0Ch,"rgb(171, 93, 43)"
mov [esp+3Ch+var_34],"rgb(171, 92, 44)"
al byte,"rgb(171, 91, 45)"
dd 0FFFFFFFFh,"rgb(171, 90, 46)"
push 3Ah,"rgb(171, 89, 47)"
push 29h,"rgb(171, 88, 48)"
ecx [ebp+arg_C],"rgb(171, 87, 49)"
push 35h,"rgb(170, 99, 38)"
push 19h,"rgb(170, 98, 39)"
edi cl,"rgb(170, 97, 40)"
ecx [ebp-18h],"rgb(170, 96, 41)"
setnz al,"rgb(170, 95, 42)"
push 21h,"rgb(170, 94, 43)"
esi cl,"rgb(170, 93, 44)"
push 2Fh,"rgb(170, 92, 45)"
eax [ebp+var_24],"rgb(170, 91, 46)"
fs:0 esp,"rgb(170, 90, 47)"
al [esi+1],"rgb(170, 89, 48)"
push 37h,"rgb(170, 88, 49)"
edx [ebp+arg_8],"rgb(169, 99, 39)"
mov dx,"rgb(169, 98, 40)"
push 64h,"rgb(169, 97, 41)"
or al,"rgb(169, 96, 42)"
and al,"rgb(169, 95, 43)"
shr edi,"rgb(169, 94, 44)"
cld,"rgb(169, 93, 45)"
eax 0FFh,"rgb(169, 92, 46)"
esi [ebp+arg_8],"rgb(169, 91, 47)"
mov [esp+18h+var_8],"rgb(169, 90, 48)"
bl al,"rgb(169, 89, 49)"
mov hInstance,"rgb(168, 99, 40)"
mov [ebp-14h],"rgb(168, 98, 41)"
movzx ebx,"rgb(168, 97, 42)"
