Term,RGB
eax 2,"rgb(8, 157, 159)"
eax [ebp+arg_0],"rgb(7, 159, 158)"
ptr [ecx],"rgb(7, 158, 159)"
leave,"rgb(6, 159, 159)"
push 1Fh,"rgb(14, 159, 150)"
ecx 4,"rgb(14, 158, 151)"
inc esi,"rgb(14, 157, 152)"
or edi,"rgb(14, 156, 153)"
ptr [ebp-4],"rgb(14, 155, 154)"
or ecx,"rgb(14, 154, 155)"
call esi,"rgb(14, 153, 156)"
ebx esi,"rgb(14, 152, 157)"
ja short,"rgb(14, 151, 158)"
mov bl,"rgb(14, 150, 159)"
eax ebp,"rgb(13, 159, 151)"
eax [esi+4],"rgb(13, 158, 152)"
mov [ecx+14h],"rgb(13, 157, 153)"
esi 2,"rgb(13, 156, 154)"
eax 4,"rgb(13, 155, 155)"
eax 0FFFFFFFFh,"rgb(13, 154, 156)"
inc ecx,"rgb(13, 153, 157)"
[ebp+var_10] ecx,"rgb(13, 152, 158)"
[ebp+var_4] 0,"rgb(13, 151, 159)"
test byte,"rgb(12, 159, 152)"
edx 0,"rgb(12, 158, 153)"
inc dword,"rgb(12, 157, 154)"
esp 14h,"rgb(12, 156, 155)"
sub al,"rgb(12, 155, 156)"
eax 8,"rgb(12, 154, 157)"
esp 20h,"rgb(12, 153, 158)"
eax 0,"rgb(12, 152, 159)"
ecx [ebp+arg_0],"rgb(11, 159, 153)"
and esi,"rgb(11, 158, 154)"
dup(0),"rgb(11, 157, 155)"
ecx 0,"rgb(11, 156, 156)"
ecx ebp,"rgb(11, 155, 157)"
inc edi,"rgb(11, 154, 158)"
esp 44h,"rgb(11, 153, 159)"
eax [ebp+var_C],"rgb(10, 159, 154)"
push 3,"rgb(10, 158, 155)"
and [ebp+var_4],"rgb(10, 157, 156)"
[ebp+var_4] edx,"rgb(10, 156, 157)"
sub [ebp+var_4],"rgb(10, 155, 158)"
ecx [ebp+var_18],"rgb(10, 154, 159)"
and [ebp+var_C],"rgb(9, 159, 155)"
push 0FFFFFFFFh,"rgb(9, 158, 156)"
sub edi,"rgb(9, 157, 157)"
esi offset,"rgb(9, 156, 158)"
[ebp+var_C] 0,"rgb(9, 155, 159)"
edi [ebp+var_20],"rgb(8, 159, 156)"
std,"rgb(8, 158, 157)"
ptr [ecx+18h],"rgb(8, 157, 158)"
mov [ebx],"rgb(8, 156, 159)"
cmp al,"rgb(7, 159, 157)"
eax 10h,"rgb(7, 158, 158)"
shr ecx,"rgb(7, 157, 159)"
esp 54h,"rgb(6, 159, 158)"
esp 24h,"rgb(6, 158, 159)"
esp 30h,"rgb(5, 159, 159)"
esp 34h,"rgb(14, 159, 149)"
esp 50h,"rgb(14, 158, 150)"
shr esi,"rgb(14, 157, 151)"
esp 3Ch,"rgb(14, 156, 152)"
esp 40h,"rgb(14, 155, 153)"
esp 48h,"rgb(14, 154, 154)"
edi 0,"rgb(14, 153, 155)"
esp 58h,"rgb(14, 152, 156)"
rep retn,"rgb(14, 151, 157)"
esp 5Ch,"rgb(14, 150, 158)"
push 4,"rgb(14, 149, 159)"
esp 38h,"rgb(13, 159, 150)"
ptr [esp],"rgb(13, 158, 151)"
esp 60h,"rgb(13, 157, 152)"
esp 4Ch,"rgb(13, 156, 153)"
or ebx,"rgb(13, 155, 154)"
eax [esi+14h],"rgb(13, 154, 155)"
[esi+14h] edi,"rgb(13, 153, 156)"
shr eax,"rgb(13, 152, 157)"
inc ebx,"rgb(13, 151, 158)"
ebx 0,"rgb(13, 150, 159)"
edi 0FFFFFFFFh,"rgb(12, 159, 151)"
[ebx] esi,"rgb(12, 158, 152)"
esi [ebx],"rgb(12, 157, 153)"
esi 0,"rgb(12, 156, 154)"
push 1,"rgb(12, 155, 155)"
retn 0Ch,"rgb(12, 154, 156)"
sub ebx,"rgb(12, 153, 157)"
ptr [eax+70h],"rgb(12, 152, 158)"
eax [ebp+var_10],"rgb(12, 151, 159)"
ecx [ebp+arg_4],"rgb(11, 159, 152)"
ecx,"rgb(11, 158, 153)"
eax [ebp+var_1C],"rgb(11, 157, 154)"
mov [ebp+var_14],"rgb(11, 156, 155)"
retn 10h,"rgb(11, 155, 156)"
[ebp+var_C] esi,"rgb(11, 154, 157)"
esi [ebp+var_C],"rgb(11, 153, 158)"
esi [ebp+var_10],"rgb(11, 152, 159)"
push es,"rgb(10, 159, 153)"
mov [ecx+18h],"rgb(10, 158, 154)"
ecx 1,"rgb(10, 157, 155)"
esi 1,"rgb(10, 156, 156)"
and al,"rgb(10, 155, 157)"
cmp byte,"rgb(10, 154, 158)"
edx 0FFFFFFFFh,"rgb(10, 153, 159)"
ebx offset,"rgb(9, 159, 154)"
edx 1,"rgb(9, 158, 155)"
[ebp+var_4] eax,"rgb(9, 157, 156)"
test ebx,"rgb(9, 156, 157)"
eax [edx+0Ch],"rgb(9, 155, 158)"
edx [ecx],"rgb(9, 154, 159)"
[ecx] edx,"rgb(8, 159, 155)"
[eax] 0,"rgb(8, 158, 156)"
near ptr,"rgb(8, 157, 157)"
mov esp,"rgb(8, 156, 158)"
and ebx,"rgb(8, 155, 159)"
or al,"rgb(7, 159, 156)"
[edi] eax,"rgb(7, 158, 157)"
mov [eax+14h],"rgb(7, 157, 158)"
edi offset,"rgb(7, 156, 159)"
pop dword,"rgb(6, 159, 157)"
edi,"rgb(6, 158, 158)"
esi 0FFFFFFE0h,"rgb(6, 157, 159)"
eax [eax],"rgb(5, 159, 158)"
jmp dword,"rgb(5, 158, 159)"
jg short,"rgb(4, 159, 159)"
ecx [esi+18h],"rgb(14, 159, 148)"
ecx [ebp-10h],"rgb(14, 158, 149)"
eax [edi+4],"rgb(14, 157, 150)"
ecx 10h,"rgb(14, 156, 151)"
[eax] ecx,"rgb(14, 155, 152)"
edx offset,"rgb(14, 154, 153)"
dd 0,"rgb(14, 153, 154)"
sbb edx,"rgb(14, 152, 155)"
[ebp+var_C] eax,"rgb(14, 151, 156)"
ebp eax,"rgb(14, 150, 157)"
retn 0,"rgb(14, 149, 158)"
mov [esi],"rgb(14, 148, 159)"
[ecx+14h] ebx,"rgb(13, 159, 149)"
sub dl,"rgb(13, 158, 150)"
or cl,"rgb(13, 157, 151)"
ptr [ecx+4],"rgb(13, 156, 152)"
mov [ecx+38h],"rgb(13, 155, 153)"
push 10h,"rgb(13, 154, 154)"
[ecx] eax,"rgb(13, 153, 155)"
ecx [ebp+var_8],"rgb(13, 152, 156)"
mov [ebp+var_18],"rgb(13, 151, 157)"
mov [eax+4],"rgb(13, 150, 158)"
ecx 8,"rgb(13, 149, 159)"
eax esp,"rgb(12, 159, 150)"
eax [ebp+var_28],"rgb(12, 158, 151)"
ecx [eax],"rgb(12, 157, 152)"
esi 4,"rgb(12, 156, 153)"
ptr [ebx],"rgb(12, 155, 154)"
sub cl,"rgb(12, 154, 155)"
mul dword,"rgb(12, 153, 156)"
eax 6,"rgb(12, 152, 157)"
ecx 2,"rgb(12, 151, 158)"
ptr [edx],"rgb(12, 150, 159)"
short near,"rgb(11, 159, 151)"
eax 9,"rgb(11, 158, 152)"
edi 4,"rgb(11, 157, 153)"
eax 0Ah,"rgb(11, 156, 154)"
[ebp+var_18] eax,"rgb(11, 155, 155)"
or dl,"rgb(11, 154, 156)"
neg eax,"rgb(11, 153, 157)"
eax 0Bh,"rgb(11, 152, 158)"
eax [esi+18h],"rgb(11, 151, 159)"
sbb eax,"rgb(10, 159, 152)"
mov [ebp-0Ch],"rgb(10, 158, 153)"
cl cl,"rgb(10, 157, 154)"
and dl,"rgb(10, 156, 155)"
ecx [ebp+var_14],"rgb(10, 155, 156)"
[esi+14h] eax,"rgb(10, 154, 157)"
eax [ecx+4],"rgb(10, 153, 158)"
eax 7,"rgb(10, 152, 159)"
mov [ebp-10h],"rgb(9, 159, 153)"
neg ecx,"rgb(9, 158, 154)"
shr edi,"rgb(9, 157, 155)"
edx 10h,"rgb(9, 156, 156)"
esp 18h,"rgb(9, 155, 157)"
[eax] esi,"rgb(9, 154, 158)"
ptr [esi+1Ch],"rgb(9, 153, 159)"
ptr [esi+14h],"rgb(8, 159, 154)"
[ebx] eax,"rgb(8, 158, 155)"
ptr [esi+4],"rgb(8, 157, 156)"
and cl,"rgb(8, 156, 157)"
mov [esi+4],"rgb(8, 155, 158)"
mov [ebp+var_8],"rgb(8, 154, 159)"
sbb ecx,"rgb(7, 159, 155)"
ptr [edi+18h],"rgb(7, 158, 156)"
pusha,"rgb(7, 157, 157)"
dl al,"rgb(7, 156, 158)"
test al,"rgb(7, 155, 159)"
eax [edi],"rgb(6, 159, 156)"
mov [eax+8],"rgb(6, 158, 157)"
eax 0Fh,"rgb(6, 157, 158)"
ecx 20h,"rgb(6, 156, 159)"
and edi,"rgb(5, 159, 157)"
[ecx] esi,"rgb(5, 158, 158)"
popa,"rgb(5, 157, 159)"
eax 0Ch,"rgb(4, 159, 158)"
ecx 3,"rgb(4, 158, 159)"
esi 0FFFFFFFFh,"rgb(3, 159, 159)"
edx [eax],"rgb(14, 159, 147)"
ecx 40h,"rgb(14, 158, 148)"
eax 0FFFFFFFEh,"rgb(14, 157, 149)"
push 8,"rgb(14, 156, 150)"
ecx [esi+0Ch],"rgb(14, 155, 151)"
sub ebp,"rgb(14, 154, 152)"
mov [ebp+var_1C],"rgb(14, 153, 153)"
mov [edi],"rgb(14, 152, 154)"
neg edx,"rgb(14, 151, 155)"
ecx [ebp-4],"rgb(14, 150, 156)"
mov [ebp+var_20],"rgb(14, 149, 157)"
[esi+14h] ebx,"rgb(14, 148, 158)"
eax [ebx],"rgb(14, 147, 159)"
edx 4,"rgb(13, 159, 148)"
cmp [eax],"rgb(13, 158, 149)"
ptr [eax+4],"rgb(13, 157, 150)"
ecx [eax+14h],"rgb(13, 156, 151)"
mov [ebp-4],"rgb(13, 155, 152)"
[ecx] edi,"rgb(13, 154, 153)"
cl [eax],"rgb(13, 153, 154)"
or dword,"rgb(13, 152, 155)"
edi 8,"rgb(13, 151, 156)"
push [ebp+var_4],"rgb(13, 150, 157)"
ebp ecx,"rgb(13, 149, 158)"
eax [esi],"rgb(13, 148, 159)"
cl 1,"rgb(12, 159, 149)"
ptr [ebp-8],"rgb(12, 158, 150)"
esi 10h,"rgb(12, 157, 151)"
ebx 1,"rgb(12, 156, 152)"
cl al,"rgb(12, 155, 153)"
push 0FFFFFFF4h,"rgb(12, 154, 154)"
edx [ebp+arg_0],"rgb(12, 153, 155)"
shr ebx,"rgb(12, 152, 156)"
inc ebp,"rgb(12, 151, 157)"
al cl,"rgb(12, 150, 158)"
eax 0FFh,"rgb(12, 149, 159)"
ptr [eax+8],"rgb(11, 159, 150)"
ecx [ebp+var_10],"rgb(11, 158, 151)"
push 16h,"rgb(11, 157, 152)"
[eax+14h] ecx,"rgb(11, 156, 153)"
ecx [eax+6],"rgb(11, 155, 154)"
[ecx] ebx,"rgb(11, 154, 155)"
push 0Ch,"rgb(11, 153, 156)"
[ebp+var_14] eax,"rgb(11, 152, 157)"
ecx [ebp-8],"rgb(11, 151, 158)"
[ebp+var_8] ecx,"rgb(11, 150, 159)"
ecx [eax+8],"rgb(10, 159, 151)"
[ecx+14h] eax,"rgb(10, 158, 152)"
ebx,"rgb(10, 157, 153)"
ecx [ebp+var_C],"rgb(10, 156, 154)"
ptr [eax+14h],"rgb(10, 155, 155)"
mov [esi+60h],"rgb(10, 154, 156)"
mov [esi+8],"rgb(10, 153, 157)"
and [edi],"rgb(10, 152, 158)"
and [ebx],"rgb(10, 151, 159)"
ptr [ecx+50h],"rgb(9, 159, 152)"
test [ebx],"rgb(9, 158, 153)"
eax 0Eh,"rgb(9, 157, 154)"
mov [eax+38h],"rgb(9, 156, 155)"
eax [ebp+var_24],"rgb(9, 155, 156)"
[ebp+var_20] ecx,"rgb(9, 154, 157)"
edi [ebp+var_10],"rgb(9, 153, 158)"
mov [eax+18h],"rgb(9, 152, 159)"
[ebp+var_1C] ecx,"rgb(8, 159, 153)"
[ebp+var_10] ebx,"rgb(8, 158, 154)"
edi [ebp+var_C],"rgb(8, 157, 155)"
ecx [edx-14h],"rgb(8, 156, 156)"
[ebp+var_C] edi,"rgb(8, 155, 157)"
eax 0Dh,"rgb(8, 154, 158)"
[ebp+var_14] ecx,"rgb(8, 153, 159)"
ptr [ecx+8],"rgb(7, 159, 154)"
[ecx+4] ebx,"rgb(7, 158, 155)"
esi [ebp+var_20],"rgb(7, 157, 156)"
and [ebp+var_20],"rgb(7, 156, 157)"
or [ebp+var_20],"rgb(7, 155, 158)"
edx [ebp+var_1C],"rgb(7, 154, 159)"
ecx [ebp+var_24],"rgb(6, 159, 155)"
dl cl,"rgb(6, 158, 156)"
mov [esi+18h],"rgb(6, 157, 157)"
ebx [ebp+var_20],"rgb(6, 156, 158)"
edi [ebp+var_2C],"rgb(6, 155, 159)"
esi [ebp+var_2C],"rgb(5, 159, 156)"
ptr [esi+38h],"rgb(5, 158, 157)"
ptr [ecx+58h],"rgb(5, 157, 158)"
edi [ebp+arg_4],"rgb(5, 156, 159)"
push 44h,"rgb(4, 159, 157)"
ecx 0FFh,"rgb(4, 158, 158)"
al al,"rgb(4, 157, 159)"
ptr [edi],"rgb(3, 159, 158)"
[ebp+var_14] 1,"rgb(3, 158, 159)"
[ebp+var_14] 3,"rgb(2, 159, 159)"
[ebp+var_14] 2,"rgb(14, 159, 146)"
ptr [esi+24h],"rgb(14, 158, 147)"
eax [esi+6Ch],"rgb(14, 157, 148)"
mov [edx],"rgb(14, 156, 149)"
ebx [ebx],"rgb(14, 155, 150)"
ptr [ebp-14h],"rgb(14, 154, 151)"
mov [ebp-8],"rgb(14, 153, 152)"
ah 40h,"rgb(14, 152, 153)"
edi [esi+14h],"rgb(14, 151, 154)"
eax [ecx],"rgb(14, 150, 155)"
push 40h,"rgb(14, 149, 156)"
ptr [eax+10h],"rgb(14, 148, 157)"
call ds:LoadLibraryA,"rgb(14, 147, 158)"
ecx [ebp+var_28],"rgb(14, 146, 159)"
mov [eax+34h],"rgb(13, 159, 147)"
mov [esi+74h],"rgb(13, 158, 148)"
xor al,"rgb(13, 157, 149)"
ecx [ebp-28h],"rgb(13, 156, 150)"
mov [esi+48h],"rgb(13, 155, 151)"
ecx [eax+4],"rgb(13, 154, 152)"
mov [ebp-1Ch],"rgb(13, 153, 153)"
[ebp-10h] ecx,"rgb(13, 152, 154)"
eax [ebp+var_50],"rgb(13, 151, 155)"
mov [edi+18h],"rgb(13, 150, 156)"
ebx 4,"rgb(13, 149, 157)"
ecx [edi+4],"rgb(13, 148, 158)"
mov [eax+24h],"rgb(13, 147, 159)"
ecx [ebp+var_50],"rgb(12, 159, 148)"
edi 0FFFFFFFEh,"rgb(12, 158, 149)"
esi [eax],"rgb(12, 157, 150)"
ptr [ebx+edi],"rgb(12, 156, 151)"
dw 6,"rgb(12, 155, 152)"
ebx 8,"rgb(12, 154, 153)"
edx [ebx+4],"rgb(12, 153, 154)"
esi 0Fh,"rgb(12, 152, 155)"
[ecx+18h] edi,"rgb(12, 151, 156)"
ptr [ecx+14h],"rgb(12, 150, 157)"
[ecx+18h] esi,"rgb(12, 149, 158)"
ebx [esi+4],"rgb(12, 148, 159)"
mov [eax+20h],"rgb(11, 159, 149)"
ecx [esi],"rgb(11, 158, 150)"
eax [ebp-10h],"rgb(11, 157, 151)"
edx [esi],"rgb(11, 156, 152)"
[eax] edx,"rgb(11, 155, 153)"
dl [eax],"rgb(11, 154, 154)"
esi 8,"rgb(11, 153, 155)"
mov [ecx+10h],"rgb(11, 152, 156)"
ptr [esi+8],"rgb(11, 151, 157)"
offset LibFileName,"rgb(11, 150, 158)"
[esi] eax,"rgb(11, 149, 159)"
mov [esi+20h],"rgb(10, 159, 150)"
ecx [esi+8],"rgb(10, 158, 151)"
[eax+4] ecx,"rgb(10, 157, 152)"
[ebp+var_14] edi,"rgb(10, 156, 153)"
mov [edi+14h],"rgb(10, 155, 154)"
mov [esi+64h],"rgb(10, 154, 155)"
mov [esi+10h],"rgb(10, 153, 156)"
call ds:GetLastError,"rgb(10, 152, 157)"
dw 0,"rgb(10, 151, 158)"
[ecx] dl,"rgb(10, 150, 159)"
ecx [eax+10h],"rgb(9, 159, 151)"
edx 2,"rgb(9, 158, 152)"
[eax] dl,"rgb(9, 157, 153)"
edi [ebp+var_14],"rgb(9, 156, 154)"
mov [ecx+3Ch],"rgb(9, 155, 155)"
ecx [eax+0Ch],"rgb(9, 154, 156)"
mov [esi+1Ch],"rgb(9, 153, 157)"
eax [esi+10h],"rgb(9, 152, 158)"
mov [esi+24h],"rgb(9, 151, 159)"
ptr [eax+18h],"rgb(8, 159, 152)"
[ecx+14h] esi,"rgb(8, 158, 153)"
mov [eax+10h],"rgb(8, 157, 154)"
edx [esi+14h],"rgb(8, 156, 155)"
[ebp-4] eax,"rgb(8, 155, 156)"
ebx [edi+18h],"rgb(8, 154, 157)"
mov [esi+68h],"rgb(8, 153, 158)"
[esi+18h] ebx,"rgb(8, 152, 159)"
[ebp+var_4] 2,"rgb(7, 159, 153)"
sub dword,"rgb(7, 158, 154)"
[ecx+14h] edi,"rgb(7, 157, 155)"
mov [esi+70h],"rgb(7, 156, 156)"
push 20h,"rgb(7, 155, 157)"
call ds:Sleep,"rgb(7, 154, 158)"
ecx [edx-1Ch],"rgb(7, 153, 159)"
esi [eax+14h],"rgb(6, 159, 154)"
esp,"rgb(6, 158, 155)"
esi [ebp-14h],"rgb(6, 157, 156)"
eax [ebp-0Ch],"rgb(6, 156, 157)"
cl 10h,"rgb(6, 155, 158)"
ptr [ebp-0Ch],"rgb(6, 154, 159)"
call GetModuleHandleA,"rgb(5, 159, 155)"
ptr [ebp-10h],"rgb(5, 158, 156)"
al bl,"rgb(5, 157, 157)"
mov [esi+78h],"rgb(5, 156, 158)"
call IsWindow,"rgb(5, 155, 159)"
call TlsGetValue,"rgb(4, 159, 156)"
ptr [ebp-20h],"rgb(4, 158, 157)"
al [ecx],"rgb(4, 157, 158)"
call CloseHandle,"rgb(4, 156, 159)"
ecx 1Fh,"rgb(3, 159, 157)"
mov [eax+64h],"rgb(3, 158, 158)"
ecx [esi+14h],"rgb(3, 157, 159)"
edx 18h,"rgb(2, 159, 158)"
[eax] edi,"rgb(2, 158, 159)"
call SetFocus,"rgb(1, 159, 159)"
call GlobalUnlock,"rgb(14, 159, 145)"
mov [eax+70h],"rgb(14, 158, 146)"
call GetDC,"rgb(14, 157, 147)"
[ebp-8] ecx,"rgb(14, 156, 148)"
mov [eax+2Ch],"rgb(14, 155, 149)"
eax [ecx+8],"rgb(14, 154, 150)"
mov [eax+28h],"rgb(14, 153, 151)"
mov [ecx+8],"rgb(14, 152, 152)"
ecx [edx-54h],"rgb(14, 151, 153)"
mov [esi+58h],"rgb(14, 150, 154)"
mov ah,"rgb(14, 149, 155)"
mov [esi+7Ch],"rgb(14, 148, 156)"
eax 90h,"rgb(14, 147, 157)"
mov [eax+44h],"rgb(14, 146, 158)"
wait,"rgb(14, 145, 159)"
call near,"rgb(13, 159, 146)"
ptr [esi+88h],"rgb(13, 158, 147)"
eax 1Fh,"rgb(13, 157, 148)"
mov [eax+68h],"rgb(13, 156, 149)"
[ecx+18h] ebx,"rgb(13, 155, 150)"
[esi+34h] ebx,"rgb(13, 154, 151)"
ptr [esi+34h],"rgb(13, 153, 152)"
edx [esi+6Ch],"rgb(13, 152, 153)"
cl 20h,"rgb(13, 151, 154)"
edx [eax+14h],"rgb(13, 150, 155)"
edx [esi+8],"rgb(13, 149, 156)"
retn 40h,"rgb(13, 148, 157)"
edi 1,"rgb(13, 147, 158)"
al ah,"rgb(13, 146, 159)"
edx 3,"rgb(12, 159, 147)"
ptr [ecx+38h],"rgb(12, 158, 148)"
call ds:GetACP,"rgb(12, 157, 149)"
[ebp+var_10] esi,"rgb(12, 156, 150)"
mov [ecx+30h],"rgb(12, 155, 151)"
push 18h,"rgb(12, 154, 152)"
call ds:HeapDestroy,"rgb(12, 153, 153)"
call ds:TlsGetValue,"rgb(12, 152, 154)"
edx 1Eh,"rgb(12, 151, 155)"
mov [eax+40h],"rgb(12, 150, 156)"
[eax+8] edx,"rgb(12, 149, 157)"
call ds:GetModuleHandleA,"rgb(12, 148, 158)"
mov [eax+48h],"rgb(12, 147, 159)"
eax [esi+8],"rgb(11, 159, 148)"
ptr [esi+90h],"rgb(11, 158, 149)"
call ds:IsWindow,"rgb(11, 157, 150)"
mov [ebp-28h],"rgb(11, 156, 151)"
edx 8,"rgb(11, 155, 152)"
mov [eax+4Ch],"rgb(11, 154, 153)"
call ds:SetLastError,"rgb(11, 153, 154)"
call ds:GetDC,"rgb(11, 152, 155)"
edi [eax+14h],"rgb(11, 151, 156)"
mov [ecx+1Ch],"rgb(11, 150, 157)"
call ds:FindClose,"rgb(11, 149, 158)"
esi 7,"rgb(11, 148, 159)"
[ebp-0Ch] ebx,"rgb(10, 159, 149)"
mov [eax+50h],"rgb(10, 158, 150)"
call ebx,"rgb(10, 157, 151)"
[ebp+var_C] 1,"rgb(10, 156, 152)"
mov [ebp-30h],"rgb(10, 155, 153)"
mov [ecx+20h],"rgb(10, 154, 154)"
ptr [esi+10h],"rgb(10, 153, 155)"
mov [ecx+2Ch],"rgb(10, 152, 156)"
