ngram,random_color
0x438] 0xfffffffd,"rgb(137,147,25)"
0x438] 0xffffffff,"rgb(71,107,65)"
sete bl,"rgb(245,147,237)"
0x43c] ecx,"rgb(75,252,16)"
xor edx,"rgb(200,173,37)"
edx edx,"rgb(3,8,101)"
eax 0xfffffffb,"rgb(132,104,107)"
push edx,"rgb(250,162,180)"
cmove eax,"rgb(66,80,79)"
0x438] eax,"rgb(59,80,181)"
test bl,"rgb(21,185,157)"
bl bl,"rgb(84,221,174)"
je 0x1350,"rgb(211,243,203)"
0xc] 0,"rgb(138,136,111)"
jne 0x1350,"rgb(28,174,13)"
fs:[0] ecx,"rgb(1,11,17)"
pop ebx,"rgb(61,195,1)"
xor ecx,"rgb(209,102,91)"
ecx ebp,"rgb(195,70,94)"
call 0x10d40,"rgb(192,115,78)"
mov esp,"rgb(51,132,170)"
esp ebp,"rgb(201,237,55)"
0x438] 0xfffffffe,"rgb(6,165,96)"
jmp 0x1448,"rgb(95,66,76)"
edi ecx,"rgb(253,60,42)"
ptr [edi],"rgb(228,247,107)"
jne 0x16d2,"rgb(147,51,172)"
nop,"rgb(214,55,102)"
call 0x2490,"rgb(235,31,102)"
push 0x18,"rgb(133,134,124)"
je 0x16b0,"rgb(171,81,7)"
push 0x411f00,"rgb(156,40,43)"
call 0x1ae0,"rgb(82,186,5)"
je 0x1719,"rgb(177,61,229)"
+ 0x30],"rgb(20,229,164)"
je 0x1727,"rgb(70,104,110)"
je 0x1735,"rgb(72,54,146)"
+ 0x34],"rgb(52,239,65)"
je 0x1743,"rgb(166,40,6)"
je 0x1751,"rgb(26,204,163)"
ptr [0x414044],"rgb(128,175,226)"
+ 0x84],"rgb(53,242,69)"
ecx 8,"rgb(21,191,167)"
jb 0x1798,"rgb(43,247,198)"
+ 0x70],"rgb(192,241,80)"
ecx [ecx*2,"rgb(114,202,124)"
[ecx*2 +,"rgb(180,173,229)"
+ 2],"rgb(26,36,56)"
ecx 0x1000,"rgb(233,22,108)"
jb 0x178e,"rgb(137,229,100)"
add ecx,"rgb(109,22,183)"
ecx 0x23,"rgb(143,122,138)"
ja 0x1896,"rgb(95,54,85)"
+ 0x80],"rgb(23,25,112)"
0x80] 0,"rgb(73,31,129)"
0x84] 7,"rgb(191,248,195)"
mov word,"rgb(251,35,43)"
word ptr,"rgb(203,215,5)"
0x70] ax,"rgb(144,168,254)"
+ 0x6c],"rgb(220,215,164)"
jb 0x17ec,"rgb(209,98,25)"
+ 0x58],"rgb(230,246,22)"
jb 0x17e2,"rgb(123,90,221)"
+ 0x68],"rgb(252,202,219)"
0x68] 0,"rgb(114,142,190)"
0x6c] 7,"rgb(240,243,150)"
0x58] ax,"rgb(4,36,132)"
+ 0x54],"rgb(136,150,13)"
jb 0x1836,"rgb(251,98,51)"
+ 0x40],"rgb(11,33,41)"
jb 0x182c,"rgb(28,183,198)"
+ 0x50],"rgb(160,134,159)"
0x50] 0,"rgb(249,123,167)"
0x54] 7,"rgb(232,46,168)"
lea edi,"rgb(73,214,5)"
edi [esi,"rgb(247,114,50)"
0x40] ax,"rgb(188,99,56)"
jne 0x187a,"rgb(154,43,227)"
je 0x1858,"rgb(130,122,39)"
push 0x411f3d,"rgb(114,41,55)"
esp 0x38,"rgb(44,78,199)"
- 0x14],"rgb(175,186,120)"
0x14] eax,"rgb(186,36,85)"
movlpd qword,"rgb(229,132,197)"
- 0x34],"rgb(1,206,55)"
0x34] xmm0,"rgb(140,205,106)"
0x34] 0,"rgb(54,144,88)"
mov byte,"rgb(240,222,16)"
- 0x30],"rgb(125,248,51)"
0x30] 0,"rgb(173,115,156)"
4] 1,"rgb(7,201,27)"
- 0x40],"rgb(132,70,193)"
0x40] xmm0,"rgb(14,23,116)"
- 0x38],"rgb(126,141,68)"
0x38] 0,"rgb(70,70,215)"
ptr [0x414048],"rgb(10,49,126)"
eax 0,"rgb(191,218,241)"
je 0x19cb,"rgb(189,196,157)"
eax 1,"rgb(38,97,34)"
je 0x1922,"rgb(219,30,127)"
esi 8,"rgb(77,92,150)"
jmp 0x1ab8,"rgb(209,178,192)"
lea edx,"rgb(53,137,106)"
edx [esi,"rgb(191,90,177)"
- 0x2c],"rgb(171,107,100)"
call 0x1c00,"rgb(154,157,35)"
0x18] 8,"rgb(11,10,186)"
cmovae eax,"rgb(98,162,193)"
ptr [0x41405c],"rgb(97,190,206)"
jne 0x198b,"rgb(3,163,186)"
edx 8,"rgb(146,226,236)"
jb 0x1981,"rgb(132,124,19)"
edx [edx*2,"rgb(100,167,16)"
[edx*2 +,"rgb(199,105,154)"
edx 0x1000,"rgb(246,159,178)"
jb 0x1977,"rgb(245,183,196)"
[ecx -,"rgb(238,108,49)"
add edx,"rgb(162,217,211)"
edx 0x23,"rgb(184,248,66)"
jbe 0x1977,"rgb(242,146,145)"
esi 4,"rgb(105,227,127)"
jb 0x19c4,"rgb(88,220,113)"
jb 0x19ba,"rgb(75,105,131)"
jbe 0x19ba,"rgb(187,29,237)"
push 1,"rgb(161,23,179)"
ptr [0x414058],"rgb(128,229,211)"
8] eax,"rgb(144,210,240)"
jne 0x19ec,"rgb(110,219,250)"
lea esi,"rgb(52,110,235)"
esi [eax,"rgb(223,34,138)"
ecx [esi,"rgb(237,90,202)"
4] 4,"rgb(117,28,90)"
je 0x1a16,"rgb(134,242,72)"
call 0x1f40,"rgb(184,237,65)"
push 0x3e8,"rgb(226,249,43)"
push 0xe,"rgb(184,255,214)"
push 0x80003,"rgb(236,32,239)"
ptr [0x4140f8],"rgb(102,23,141)"
0x2c] eax,"rgb(136,135,124)"
- 0x3c],"rgb(199,50,65)"
je 0x1a4d,"rgb(121,244,55)"
ptr [0x414040],"rgb(18,140,211)"
0x2c] -1,"rgb(47,137,186)"
jne 0x1a65,"rgb(130,255,171)"
ptr [0x414028],"rgb(171,177,246)"
- 5],"rgb(5,132,74)"
neg esi,"rgb(193,192,172)"
sbb esi,"rgb(52,230,180)"
add esi,"rgb(178,132,109)"
esi 3,"rgb(118,171,229)"
jmp 0x1a7c,"rgb(243,169,211)"
ptr [0x414038],"rgb(37,81,182)"
call 0x12d0,"rgb(190,141,223)"
esi eax,"rgb(110,109,171)"
jb 0x1ab8,"rgb(87,188,225)"
jb 0x1aae,"rgb(254,68,51)"
jbe 0x1aae,"rgb(18,161,179)"
ret 0xc,"rgb(216,251,188)"
and esp,"rgb(100,17,176)"
esp 0xfffffff8,"rgb(151,240,94)"
esp 0x82c,"rgb(107,147,64)"
eax esp,"rgb(29,70,192)"
ptr [esp,"rgb(107,127,251)"
[esp +,"rgb(58,252,224)"
+ 0x828],"rgb(249,97,185)"
0x828] eax,"rgb(123,245,181)"
0x10] 1,"rgb(127,112,249)"
je 0x1be1,"rgb(116,36,254)"
eax [esp,"rgb(14,152,143)"
+ 0x1c],"rgb(41,211,16)"
+ 0x430],"rgb(103,131,136)"
+ 0x428],"rgb(128,50,196)"
0x428] 0,"rgb(45,149,16)"
+ 0x434],"rgb(117,30,198)"
0x434] 0,"rgb(194,113,157)"
esp 0x18,"rgb(226,33,226)"
8] 0,"rgb(120,48,81)"
push 4,"rgb(188,16,247)"
ecx [esp,"rgb(183,188,224)"
+ 0x20],"rgb(131,96,247)"
0x20] 1,"rgb(150,241,128)"
+ 0x24],"rgb(8,16,245)"
0x24] 1,"rgb(184,226,158)"
+ 0x28],"rgb(195,108,186)"
0x28] 4,"rgb(41,6,28)"
call 0x1040,"rgb(66,2,216)"
esp 0x14,"rgb(56,188,55)"
0x14] 8,"rgb(123,139,178)"
jb 0x1ba1,"rgb(166,44,189)"
call 0x1cf0,"rgb(172,61,46)"
push 0x7d0,"rgb(229,37,229)"
+ 0x82c],"rgb(254,38,219)"
ecx esp,"rgb(148,67,195)"
push 0x411f8e,"rgb(154,143,197)"
edi edx,"rgb(24,79,43)"
0x10] esi,"rgb(11,140,95)"
0x18] esi,"rgb(17,249,87)"
0x14] 0,"rgb(218,215,33)"
push 0x12,"rgb(186,200,98)"
0x14] 7,"rgb(234,205,122)"
push 0x4148c8,"rgb(80,48,242)"
[esi] ax,"rgb(53,167,165)"
edx edi,"rgb(105,49,121)"
0x14] 1,"rgb(99,208,219)"
jb 0x1c77,"rgb(54,135,139)"
eax ebx,"rgb(96,100,133)"
ja 0x1cc6,"rgb(157,199,48)"
+ ecx],"rgb(55,91,82)"
0x10] eax,"rgb(241,183,143)"
edi esi,"rgb(37,155,187)"
jb 0x1c99,"rgb(104,214,254)"
ecx [edi,"rgb(252,71,80)"
+ ebx*2],"rgb(239,124,11)"
call 0x11d6e,"rgb(25,20,241)"
+ eax*2],"rgb(150,67,175)"
eax*2] cx,"rgb(229,24,15)"
ecx esi,"rgb(216,95,60)"
call 0x20e0,"rgb(116,102,55)"
4] eax,"rgb(153,240,247)"
0xc] eax,"rgb(182,110,249)"
je 0x1de5,"rgb(238,36,130)"
ptr [0x414108],"rgb(220,101,110)"
push 0x190000,"rgb(120,19,66)"
push 3,"rgb(241,86,133)"
push 0xc0000000,"rgb(149,78,168)"
ptr [0x41401c],"rgb(163,33,163)"
edi eax,"rgb(18,108,254)"
cmp edi,"rgb(227,249,88)"
edi -1,"rgb(42,169,24)"
jne 0x1d80,"rgb(155,154,187)"
eax 0xe7,"rgb(160,231,160)"
jne 0x1dd0,"rgb(160,201,133)"
je 0x1dd0,"rgb(56,231,208)"
ptr [0x414054],"rgb(82,209,136)"
eax 3,"rgb(63,83,133)"
jne 0x1dc9,"rgb(25,103,216)"
- 8],"rgb(145,56,74)"
8] 2,"rgb(44,187,99)"
ptr [0x41410c],"rgb(56,47,134)"
je 0x1dc4,"rgb(155,196,71)"
ptr [0x414050],"rgb(16,184,252)"
ret 0x20,"rgb(18,176,43)"
push 0x411fbd,"rgb(224,41,51)"
ebx ecx,"rgb(71,193,214)"
jne 0x1e60,"rgb(63,249,98)"
eax edi,"rgb(212,185,215)"
ptr [edx],"rgb(205,254,230)"
jae 0x1e51,"rgb(241,134,216)"
jmp 0x1e5a,"rgb(13,115,194)"
esi 1,"rgb(191,210,190)"
je 0x1e43,"rgb(249,180,22)"
jne 0x1e70,"rgb(155,185,247)"
jae 0x1ec2,"rgb(6,54,64)"
4] 0xaaaaaaa,"rgb(19,54,175)"
je 0x1ed9,"rgb(83,217,27)"
0x18] ebx,"rgb(129,152,123)"
call 0x10d51,"rgb(51,67,135)"
edx eax,"rgb(139,134,7)"
ecx ebx,"rgb(123,188,154)"
ptr [edx,"rgb(241,67,8)"
[edx +,"rgb(150,125,107)"
[edx] eax,"rgb(103,80,116)"
call 0x2260,"rgb(131,165,24)"
call 0x1280,"rgb(49,182,222)"
jb 0x1f18,"rgb(159,87,169)"
jb 0x1f0e,"rgb(75,247,33)"
ja 0x1f2d,"rgb(136,52,139)"
8] edx,"rgb(78,177,207)"
0xc] ecx,"rgb(189,69,199)"
ja 0x1f8c,"rgb(170,107,75)"
ebx edi,"rgb(49,37,180)"
jb 0x1f6a,"rgb(146,187,103)"
+ eax],"rgb(152,201,218)"
+ ebx],"rgb(21,46,161)"
ebx] ax,"rgb(106,134,91)"
ret 8,"rgb(87,85,147)"
eax 0x7ffffffe,"rgb(115,67,173)"
ja 0x208c,"rgb(24,228,227)"
or esi,"rgb(113,170,159)"
esi 7,"rgb(244,109,230)"
esi 0x7ffffffe,"rgb(247,208,146)"
jbe 0x1fb0,"rgb(158,35,218)"
eax 0xfffffffe,"rgb(18,7,132)"
jmp 0x1fea,"rgb(54,225,59)"
edx ecx,"rgb(136,181,243)"
shr edx,"rgb(47,167,206)"
edx 1,"rgb(234,195,105)"
jbe 0x1fcb,"rgb(45,63,169)"
eax [edx,"rgb(147,17,167)"
cmovb esi,"rgb(200,241,4)"
+ 1],"rgb(226,61,151)"
eax 0x7fffffff,"rgb(188,36,200)"
ja 0x2087,"rgb(83,29,124)"
eax 0x1000,"rgb(209,12,175)"
jb 0x200d,"rgb(188,202,102)"
ecx [eax,"rgb(206,62,75)"
+ 0x23],"rgb(230,56,26)"
jbe 0x2087,"rgb(140,163,13)"
je 0x2081,"rgb(13,195,57)"
lea ebx,"rgb(238,23,78)"
ebx [eax,"rgb(46,128,242)"
and ebx,"rgb(89,72,249)"
ebx 0xffffffe0,"rgb(170,83,240)"
[ebx -,"rgb(7,153,186)"
jmp 0x2020,"rgb(143,142,199)"
je 0x201e,"rgb(34,249,26)"
ebx eax,"rgb(203,134,187)"
xor ebx,"rgb(116,127,121)"
0x14] esi,"rgb(0,115,45)"
eax 8,"rgb(12,38,12)"
jb 0x2074,"rgb(251,129,88)"
ecx [eax*2,"rgb(130,164,133)"
[eax*2 +,"rgb(77,234,234)"
jb 0x206a,"rgb(12,233,146)"
ja 0x2081,"rgb(61,82,139)"
[edi] ebx,"rgb(33,108,223)"
call 0x11a0,"rgb(53,201,247)"
call 0x1270,"rgb(63,30,63)"
jb 0x20c3,"rgb(123,166,31)"
ja 0x20cf,"rgb(6,242,195)"
jmp 0x10d81,"rgb(231,160,223)"
ecx 0x7ffffffe,"rgb(209,124,103)"
4] esi,"rgb(224,19,123)"
jb 0x2258,"rgb(110,210,222)"
+ edx],"rgb(5,81,43)"
or edi,"rgb(235,126,111)"
edi 7,"rgb(167,152,70)"
0xc] esi,"rgb(162,121,109)"
jbe 0x2129,"rgb(248,63,105)"
jmp 0x215d,"rgb(119,17,100)"
shr eax,"rgb(12,103,10)"
sub ecx,"rgb(230,221,42)"
jbe 0x213f,"rgb(134,69,46)"
edi 0x7ffffffe,"rgb(5,81,126)"
cmovb edi,"rgb(13,154,160)"
eax [edi,"rgb(103,85,185)"
ja 0x2253,"rgb(85,170,217)"
jb 0x2184,"rgb(113,185,180)"
jbe 0x2253,"rgb(200,213,174)"
je 0x2222,"rgb(254,26,191)"
and esi,"rgb(101,230,140)"
esi 0xffffffe0,"rgb(121,79,70)"
[esi -,"rgb(215,0,124)"
jmp 0x2197,"rgb(61,7,46)"
je 0x2195,"rgb(91,148,97)"
0x14] edi,"rgb(247,97,168)"
edx [ecx,"rgb(33,113,167)"
+ esi],"rgb(235,142,253)"
edi [eax,"rgb(230,116,22)"
0xc] 8,"rgb(94,92,241)"
jb 0x2228,"rgb(160,165,58)"
[eax] cx,"rgb(147,167,225)"
jb 0x220b,"rgb(5,147,189)"
[edi -,"rgb(230,144,115)"
sub edi,"rgb(93,168,152)"
ja 0x2222,"rgb(16,17,111)"
[ebx] esi,"rgb(185,212,74)"
ret 0x10,"rgb(213,1,114)"
inc dword,"rgb(57,193,176)"
8] ecx,"rgb(170,118,17)"
4] edx,"rgb(248,82,192)"
jne 0x2292,"rgb(222,126,78)"
[ecx] eax,"rgb(187,58,166)"
0xc] 1,"rgb(154,248,27)"
jne 0x22a5,"rgb(89,13,88)"
jne 0x22ad,"rgb(148,9,49)"
jmp 0x22ad,"rgb(153,184,128)"
jne 0x2455,"rgb(237,153,118)"
edi [edx,"rgb(174,68,92)"
ebx [ecx,"rgb(52,176,52)"
jne 0x2390,"rgb(1,83,177)"
je 0x2396,"rgb(178,108,87)"
edx esi,"rgb(165,129,64)"
jne 0x2331,"rgb(79,201,8)"
jne 0x22fc,"rgb(87,182,210)"
jne 0x2316,"rgb(218,140,240)"
edi ebx,"rgb(223,60,12)"
[esi] edx,"rgb(185,163,26)"
jmp 0x2333,"rgb(197,151,89)"
jne 0x2326,"rgb(214,213,15)"
[eax] esi,"rgb(251,75,90)"
8] esi,"rgb(166,152,165)"
jne 0x2358,"rgb(73,82,204)"
4] ecx,"rgb(17,128,91)"
jne 0x2373,"rgb(240,251,12)"
jmp 0x243f,"rgb(183,223,139)"
jne 0x2386,"rgb(240,41,7)"
jne 0x23b1,"rgb(187,231,134)"
jmp 0x2442,"rgb(252,94,90)"
jne 0x23f5,"rgb(179,124,162)"
jne 0x23cc,"rgb(222,50,141)"
jne 0x23e0,"rgb(131,188,185)"
jmp 0x23ee,"rgb(255,102,105)"
jne 0x23ec,"rgb(241,232,67)"
[eax] ecx,"rgb(182,224,164)"
[ebx] ecx,"rgb(13,160,40)"
jne 0x241a,"rgb(84,8,205)"
jne 0x242f,"rgb(9,160,83)"
jmp 0x243d,"rgb(9,63,183)"
jne 0x243a,"rgb(187,94,204)"
[esi] ecx,"rgb(223,95,10)"
je 0x22c0,"rgb(197,80,205)"
je 0x2482,"rgb(149,235,156)"
jne 0x24c4,"rgb(97,208,117)"
je 0x24a4,"rgb(107,196,227)"
jb 0x2508,"rgb(78,22,89)"
jbe 0x11a0,"rgb(151,142,144)"
je 0x2502,"rgb(180,240,233)"
and eax,"rgb(6,29,69)"
eax 0xffffffe0,"rgb(165,48,40)"
je 0x2515,"rgb(62,190,159)"
jmp 0x10d51,"rgb(121,71,235)"
push 0x411ffb,"rgb(212,2,202)"
call 0xf606,"rgb(134,173,134)"
je 0x25cc,"rgb(3,59,209)"
call 0x10db3,"rgb(208,239,81)"
push 2,"rgb(71,201,214)"
je 0x25f5,"rgb(136,226,209)"
push 0x412053,"rgb(163,109,222)"
esp 0x20,"rgb(77,212,132)"
0x2c] edi,"rgb(137,237,223)"
movups xmmword,"rgb(98,22,103)"
xmmword ptr,"rgb(137,122,136)"
0x28] xmm0,"rgb(162,215,239)"
0x28] 0,"rgb(101,252,29)"
0x18] xmm0,"rgb(129,52,40)"
0x18] 0,"rgb(222,204,83)"
4] 2,"rgb(17,48,5)"
call 0xf2d0,"rgb(220,98,105)"
[edi] 0,"rgb(92,117,209)"
