Term,RGB
lea ebx,"rgb(54, 193, 48)"
eax 1,"rgb(54, 192, 49)"
cmp ebx,"rgb(53, 199, 43)"
and eax,"rgb(53, 198, 44)"
xor edi,"rgb(53, 197, 45)"
xor ebx,"rgb(53, 196, 46)"
ebx eax,"rgb(53, 195, 47)"
eax edx,"rgb(53, 194, 48)"
and dword,"rgb(53, 193, 49)"
jbe short,"rgb(52, 199, 44)"
xor esi,"rgb(52, 198, 45)"
test edi,"rgb(52, 197, 46)"
test ecx,"rgb(52, 196, 47)"
cmp edx,"rgb(52, 195, 48)"
call esi,"rgb(52, 194, 49)"
mov [eax],"rgb(51, 199, 45)"
xor edx,"rgb(51, 198, 46)"
eax [esi],"rgb(51, 197, 47)"
mov cl,"rgb(51, 196, 48)"
ecx edi,"rgb(51, 195, 49)"
or eax,"rgb(50, 199, 46)"
sub ecx,"rgb(50, 198, 47)"
cmp byte,"rgb(50, 197, 48)"
retn 8,"rgb(50, 196, 49)"
test al,"rgb(54, 199, 41)"
esp 2Ch,"rgb(54, 198, 42)"
eax 0,"rgb(54, 197, 43)"
al al,"rgb(54, 196, 44)"
esp 20h,"rgb(54, 195, 45)"
eax 0FFFFFFFFh,"rgb(54, 194, 46)"
dup(0),"rgb(54, 193, 47)"
edx ecx,"rgb(54, 192, 48)"
ptr [ecx],"rgb(54, 191, 49)"
ecx [ebp+arg_0],"rgb(53, 199, 42)"
esp 28h,"rgb(53, 198, 43)"
edx eax,"rgb(53, 197, 44)"
ecx offset,"rgb(53, 196, 45)"
edx 0,"rgb(53, 195, 46)"
esp 24h,"rgb(53, 194, 47)"
mov esp,"rgb(53, 193, 48)"
eax,"rgb(53, 192, 49)"
esp 14h,"rgb(52, 199, 43)"
ecx ebx,"rgb(52, 198, 44)"
and ecx,"rgb(52, 197, 45)"
esp 4Ch,"rgb(52, 196, 46)"
ecx [ebp+var_4],"rgb(52, 195, 47)"
ecx 0,"rgb(52, 194, 48)"
ecx edx,"rgb(52, 193, 49)"
esi offset,"rgb(51, 199, 44)"
esp 3Ch,"rgb(51, 198, 45)"
mov [esi],"rgb(51, 197, 46)"
mov dl,"rgb(51, 196, 47)"
esp 5Ch,"rgb(51, 195, 48)"
esp 44h,"rgb(51, 194, 49)"
edi offset,"rgb(50, 199, 45)"
test ebx,"rgb(50, 198, 46)"
ja short,"rgb(50, 197, 47)"
esp 30h,"rgb(50, 196, 48)"
esp 34h,"rgb(50, 195, 49)"
esp 40h,"rgb(54, 199, 40)"
inc esi,"rgb(54, 198, 41)"
eax [ebp+var_4],"rgb(54, 197, 42)"
[ebp+var_4] eax,"rgb(54, 196, 43)"
retn 0Ch,"rgb(54, 195, 44)"
esp 48h,"rgb(54, 194, 45)"
dd 0,"rgb(54, 193, 46)"
esp 38h,"rgb(54, 192, 47)"
esp 54h,"rgb(54, 191, 48)"
esp 50h,"rgb(54, 190, 49)"
edi 0,"rgb(53, 199, 41)"
esp 58h,"rgb(53, 198, 42)"
esp 60h,"rgb(53, 197, 43)"
esp 1Ch,"rgb(53, 196, 44)"
test edx,"rgb(53, 195, 45)"
mov [ebp+var_8],"rgb(53, 194, 46)"
jg short,"rgb(53, 193, 47)"
test byte,"rgb(53, 192, 48)"
eax [ebp+arg_4],"rgb(53, 191, 49)"
sub edx,"rgb(52, 199, 42)"
and edx,"rgb(52, 198, 43)"
esi ebx,"rgb(52, 197, 44)"
push 0FFFFFFFFh,"rgb(52, 196, 45)"
esi 0,"rgb(52, 195, 46)"
ebx 0,"rgb(52, 194, 47)"
push 2,"rgb(52, 193, 48)"
ecx 2,"rgb(52, 192, 49)"
ptr [ebp-4],"rgb(51, 199, 43)"
mov [edi],"rgb(51, 198, 44)"
cmp al,"rgb(51, 197, 45)"
inc edi,"rgb(51, 196, 46)"
mov [ebp+var_1C],"rgb(51, 195, 47)"
ptr [edi],"rgb(51, 194, 48)"
mov [ecx],"rgb(51, 193, 49)"
eax 4,"rgb(50, 199, 44)"
esi edi,"rgb(50, 198, 45)"
rep retn,"rgb(50, 197, 46)"
eax [eax],"rgb(50, 196, 47)"
ptr [esi+4],"rgb(50, 195, 48)"
edx offset,"rgb(50, 194, 49)"
shr ecx,"rgb(54, 199, 39)"
ecx 4,"rgb(54, 198, 40)"
ebx offset,"rgb(54, 197, 41)"
sub esi,"rgb(54, 196, 42)"
eax [ecx],"rgb(54, 195, 43)"
eax 2,"rgb(54, 194, 44)"
edx esi,"rgb(54, 193, 45)"
near ptr,"rgb(54, 192, 46)"
edi ebx,"rgb(54, 191, 47)"
call ebx,"rgb(54, 190, 48)"
[ebp+var_4] 0,"rgb(54, 189, 49)"
edi ecx,"rgb(53, 199, 40)"
movsd,"rgb(53, 198, 41)"
eax 3,"rgb(53, 197, 42)"
mov [ebp+var_10],"rgb(53, 196, 43)"
mov [ebp+var_C],"rgb(53, 195, 44)"
push 4,"rgb(53, 194, 45)"
eax ebp,"rgb(53, 193, 46)"
ptr [ebx],"rgb(53, 192, 47)"
retn 10h,"rgb(53, 191, 48)"
eax [ebp+arg_8],"rgb(53, 190, 49)"
or dword,"rgb(52, 199, 41)"
sbb eax,"rgb(52, 198, 42)"
ptr [ecx+8],"rgb(52, 197, 43)"
sub edi,"rgb(52, 196, 44)"
eax [ebp+var_8],"rgb(52, 195, 45)"
[eax] 0,"rgb(52, 194, 46)"
pop dword,"rgb(52, 193, 47)"
inc ebx,"rgb(52, 192, 48)"
esp 18h,"rgb(52, 191, 49)"
esi edx,"rgb(51, 199, 42)"
edx ebx,"rgb(51, 198, 43)"
ebx ecx,"rgb(51, 197, 44)"
edi esi,"rgb(51, 196, 45)"
neg eax,"rgb(51, 195, 46)"
ecx 1,"rgb(51, 194, 47)"
inc ecx,"rgb(51, 193, 48)"
mov [ebp+var_20],"rgb(51, 192, 49)"
mov [esi+8],"rgb(50, 199, 43)"
ecx [ebp+var_8],"rgb(50, 198, 44)"
eax [esi+4],"rgb(50, 197, 45)"
qword ptr,"rgb(50, 196, 46)"
eax [edi],"rgb(50, 195, 47)"
or ecx,"rgb(50, 194, 48)"
ptr [eax+4],"rgb(50, 193, 49)"
esi 4,"rgb(54, 199, 38)"
retn 0,"rgb(54, 198, 39)"
ptr [edx],"rgb(54, 197, 40)"
or edx,"rgb(54, 196, 41)"
ecx [ebp+arg_4],"rgb(54, 195, 42)"
edx [ebp+arg_0],"rgb(54, 194, 43)"
inc dword,"rgb(54, 193, 44)"
inc edx,"rgb(54, 192, 45)"
mov [esi+4],"rgb(54, 191, 46)"
[esi] eax,"rgb(54, 190, 47)"
eax 8,"rgb(54, 189, 48)"
eax [esi+8],"rgb(54, 188, 49)"
edx 1,"rgb(53, 199, 39)"
edx edi,"rgb(53, 198, 40)"
sub ebx,"rgb(53, 197, 41)"
short near,"rgb(53, 196, 42)"
mov [ebp+var_14],"rgb(53, 195, 43)"
eax [ebp+var_10],"rgb(53, 194, 44)"
ecx 8,"rgb(53, 193, 45)"
ecx [ebp-10h],"rgb(53, 192, 46)"
and esi,"rgb(53, 191, 47)"
edi edx,"rgb(53, 190, 48)"
ptr [esi+8],"rgb(53, 189, 49)"
ecx,"rgb(52, 199, 40)"
mov [eax+4],"rgb(52, 198, 41)"
mov word,"rgb(52, 197, 42)"
cmp [ebp+arg_4],"rgb(52, 196, 43)"
ebx edi,"rgb(52, 195, 44)"
eax [ebp+var_C],"rgb(52, 194, 45)"
ebp eax,"rgb(52, 193, 46)"
[eax] ecx,"rgb(52, 192, 47)"
mov [edx],"rgb(52, 191, 48)"
ecx 3,"rgb(52, 190, 49)"
[ecx] eax,"rgb(51, 199, 41)"
ecx ebp,"rgb(51, 198, 42)"
ecx [ebp+var_C],"rgb(51, 197, 43)"
edx [eax],"rgb(51, 196, 44)"
ecx [ebp+var_10],"rgb(51, 195, 45)"
ptr [esi+0Ch],"rgb(51, 194, 46)"
ebx edx,"rgb(51, 193, 47)"
ecx [esi],"rgb(51, 192, 48)"
[ebp+var_8] eax,"rgb(51, 191, 49)"
edx 4,"rgb(50, 199, 42)"
cl cl,"rgb(50, 198, 43)"
eax esp,"rgb(50, 197, 44)"
ebx esi,"rgb(50, 196, 45)"
eax [ebp+var_1C],"rgb(50, 195, 46)"
edx [ecx],"rgb(50, 194, 47)"
push 8,"rgb(50, 193, 48)"
ptr [eax+8],"rgb(50, 192, 49)"
and edi,"rgb(54, 199, 37)"
cdq,"rgb(54, 198, 38)"
eax [ebx],"rgb(54, 197, 39)"
push 3,"rgb(54, 196, 40)"
shr eax,"rgb(54, 195, 41)"
ecx [ebp+arg_8],"rgb(54, 194, 42)"
push 0Ch,"rgb(54, 193, 43)"
esi [ebp+arg_4],"rgb(54, 192, 44)"
mov [ebx],"rgb(54, 191, 45)"
mov [ebp+var_18],"rgb(54, 190, 46)"
or esi,"rgb(54, 189, 47)"
edi 4,"rgb(54, 188, 48)"
mov [ebp+var_24],"rgb(54, 187, 49)"
mov bl,"rgb(53, 199, 38)"
ptr [ecx+4],"rgb(53, 198, 39)"
ecx [esi+4],"rgb(53, 197, 40)"
edx,"rgb(53, 196, 41)"
[ebp+var_1C] eax,"rgb(53, 195, 42)"
and ebx,"rgb(53, 194, 43)"
shr edx,"rgb(53, 193, 44)"
call edx,"rgb(53, 192, 45)"
call ds:GetLastError,"rgb(53, 191, 46)"
eax 20h,"rgb(53, 190, 47)"
eax [esi+0Ch],"rgb(53, 189, 48)"
esi,"rgb(53, 188, 49)"
edi 1,"rgb(52, 199, 39)"
jmp dword,"rgb(52, 198, 40)"
edi,"rgb(52, 197, 41)"
esi 1,"rgb(52, 196, 42)"
eax 10h,"rgb(52, 195, 43)"
ecx [eax+4],"rgb(52, 194, 44)"
edx [ebp+var_4],"rgb(52, 193, 45)"
stosd,"rgb(52, 192, 46)"
ptr [esi+10h],"rgb(52, 191, 47)"
[esi+8] eax,"rgb(52, 190, 48)"
mov [eax+8],"rgb(52, 189, 49)"
or edi,"rgb(51, 199, 40)"
[esp] eax,"rgb(51, 198, 41)"
[ebp+var_4] ecx,"rgb(51, 197, 42)"
imul eax,"rgb(51, 196, 43)"
dw 0,"rgb(51, 195, 44)"
or ebx,"rgb(51, 194, 45)"
mov [esi+0Ch],"rgb(51, 193, 46)"
edx [ebp+arg_4],"rgb(51, 192, 47)"
push 10h,"rgb(51, 191, 48)"
push 0FFFFFFF4h,"rgb(51, 190, 49)"
offset GetModuleHandleA,"rgb(50, 199, 41)"
eax [ebp-10h],"rgb(50, 198, 42)"
mov [ecx+4],"rgb(50, 197, 43)"
and [ebp+var_4],"rgb(50, 196, 44)"
ecx [ebp+var_14],"rgb(50, 195, 45)"
ptr [eax+0Ch],"rgb(50, 194, 46)"
esi 2,"rgb(50, 193, 47)"
eax [edx],"rgb(50, 192, 48)"
edx 3,"rgb(50, 191, 49)"
[eax] edx,"rgb(54, 199, 36)"
cmp [eax],"rgb(54, 198, 37)"
[ebp+var_C] eax,"rgb(54, 197, 38)"
ecx [ebp-0Ch],"rgb(54, 196, 39)"
push es,"rgb(54, 195, 40)"
ecx 0FFFFFFFFh,"rgb(54, 194, 41)"
eax dword,"rgb(54, 193, 42)"
push [ebp+var_4],"rgb(54, 192, 43)"
eax [ebp+var_18],"rgb(54, 191, 44)"
[esi+4] eax,"rgb(54, 190, 45)"
shr ebx,"rgb(54, 189, 46)"
eax [ebp+var_14],"rgb(54, 188, 47)"
eax [ebp+var_20],"rgb(54, 187, 48)"
[ebp+var_20] eax,"rgb(54, 186, 49)"
mov [ebp+var_28],"rgb(53, 199, 37)"
pusha,"rgb(53, 198, 38)"
ebx 1,"rgb(53, 197, 39)"
eax 5,"rgb(53, 196, 40)"
edx 2,"rgb(53, 195, 41)"
ebx 4,"rgb(53, 194, 42)"
ptr [eax+10h],"rgb(53, 193, 43)"
eax 1Fh,"rgb(53, 192, 44)"
ptr [eax+18h],"rgb(53, 191, 45)"
ecx [ecx],"rgb(53, 190, 46)"
mov [ebx+8],"rgb(53, 189, 47)"
neg ecx,"rgb(53, 188, 48)"
mov [ebp-4],"rgb(53, 187, 49)"
[eax] esi,"rgb(52, 199, 38)"
mov [ebp-10h],"rgb(52, 198, 39)"
cl [eax],"rgb(52, 197, 40)"
ptr [eax+14h],"rgb(52, 196, 41)"
sbb edx,"rgb(52, 195, 42)"
edx [esi],"rgb(52, 194, 43)"
ecx [ebp-14h],"rgb(52, 193, 44)"
ptr [esi+14h],"rgb(52, 192, 45)"
push 0Ah,"rgb(52, 191, 46)"
edx [ebp+var_8],"rgb(52, 190, 47)"
[eax+4] ecx,"rgb(52, 189, 48)"
call near,"rgb(52, 188, 49)"
edi [ebp+arg_4],"rgb(51, 199, 39)"
[ebp+var_4] ebx,"rgb(51, 198, 40)"
ecx [esi+8],"rgb(51, 197, 41)"
mov [ebp+var_2C],"rgb(51, 196, 42)"
mov ah,"rgb(51, 195, 43)"
mov [ebp-1Ch],"rgb(51, 194, 44)"
eax [ebx+4],"rgb(51, 193, 45)"
[ebp+var_10] eax,"rgb(51, 192, 46)"
eax [esi+10h],"rgb(51, 191, 47)"
mov [ecx+8],"rgb(51, 190, 48)"
ecx [ebp+var_1C],"rgb(51, 189, 49)"
call ds:GetModuleHandleA,"rgb(50, 199, 40)"
esi 8,"rgb(50, 198, 41)"
ecx [eax+8],"rgb(50, 197, 42)"
jmp eax,"rgb(50, 196, 43)"
ptr [esi+18h],"rgb(50, 195, 44)"
ecx [ebp+var_18],"rgb(50, 194, 45)"
edi 2,"rgb(50, 193, 46)"
[edi] eax,"rgb(50, 192, 47)"
dw 6,"rgb(50, 191, 48)"
[ebp+var_8] 0,"rgb(50, 190, 49)"
sbb ecx,"rgb(54, 199, 35)"
ecx [edx],"rgb(54, 198, 36)"
ebx,"rgb(54, 197, 37)"
call ds:SetLastError,"rgb(54, 196, 38)"
[eax] edi,"rgb(54, 195, 39)"
[ebp+var_8] ecx,"rgb(54, 194, 40)"
eax 30h,"rgb(54, 193, 41)"
eax [ebp-14h],"rgb(54, 192, 42)"
push 14h,"rgb(54, 191, 43)"
eax [ebx+8],"rgb(54, 190, 44)"
call ds:TlsGetValue,"rgb(54, 189, 45)"
[eax] ebx,"rgb(54, 188, 46)"
edx [ebp+arg_8],"rgb(54, 187, 47)"
call GetModuleHandleA,"rgb(54, 186, 48)"
mov [esi+10h],"rgb(54, 185, 49)"
edi 3,"rgb(53, 199, 36)"
sbb esi,"rgb(53, 198, 37)"
[ebp+var_14] eax,"rgb(53, 197, 38)"
eax [edi+4],"rgb(53, 196, 39)"
[edi] 0,"rgb(53, 195, 40)"
ecx [esi+0Ch],"rgb(53, 194, 41)"
mov [ebp+var_30],"rgb(53, 193, 42)"
push 20h,"rgb(53, 192, 43)"
call CloseHandle,"rgb(53, 191, 44)"
eax [ebp+var_24],"rgb(53, 190, 45)"
call TlsGetValue,"rgb(53, 189, 46)"
shr edi,"rgb(53, 188, 47)"
call ReleaseMutex,"rgb(53, 187, 48)"
ecx [ebp+var_20],"rgb(53, 186, 49)"
js short,"rgb(52, 199, 37)"
mov [ebx+4],"rgb(52, 198, 38)"
eax 0Ch,"rgb(52, 197, 39)"
or byte,"rgb(52, 196, 40)"
[ebp+var_18] eax,"rgb(52, 195, 41)"
and al,"rgb(52, 194, 42)"
call SetLastError,"rgb(52, 193, 43)"
ebx [ebp+arg_4],"rgb(52, 192, 44)"
ptr [ebp-10h],"rgb(52, 191, 45)"
ptr [ecx+0Ch],"rgb(52, 190, 46)"
[ebp+var_4] 0FFFFFFFFh,"rgb(52, 189, 47)"
call ds:GetACP,"rgb(52, 188, 48)"
esi 3,"rgb(52, 187, 49)"
mov [eax+0Ch],"rgb(51, 199, 38)"
sub dword,"rgb(51, 198, 39)"
al bl,"rgb(51, 197, 40)"
eax [edx+0Ch],"rgb(51, 196, 41)"
[esi] edi,"rgb(51, 195, 42)"
ah 45h,"rgb(51, 194, 43)"
inc ebp,"rgb(51, 193, 44)"
call ecx,"rgb(51, 192, 45)"
[ebx] eax,"rgb(51, 191, 46)"
ptr [ecx+14h],"rgb(51, 190, 47)"
eax [esi+14h],"rgb(51, 189, 48)"
and byte,"rgb(51, 188, 49)"
push 5,"rgb(50, 199, 39)"
call ds:Sleep,"rgb(50, 198, 40)"
[ebp+var_4] edi,"rgb(50, 197, 41)"
call ds:IsWindow,"rgb(50, 196, 42)"
shr esi,"rgb(50, 195, 43)"
edx [ecx+8],"rgb(50, 194, 44)"
call ds:GetDC,"rgb(50, 193, 45)"
or al,"rgb(50, 192, 46)"
dd 1,"rgb(50, 191, 47)"
[ebp-1Ch] eax,"rgb(50, 190, 48)"
popa,"rgb(50, 189, 49)"
ecx 10h,"rgb(54, 199, 34)"
push 40h,"rgb(54, 198, 35)"
mov [esi+14h],"rgb(54, 197, 36)"
ecx 1Fh,"rgb(54, 196, 37)"
eax [edi+8],"rgb(54, 195, 38)"
[ebp+var_C] 0,"rgb(54, 194, 39)"
mov [edi+8],"rgb(54, 193, 40)"
eax 0FFFFFFFEh,"rgb(54, 192, 41)"
mov [ebp+var_34],"rgb(54, 191, 42)"
eax 0FFh,"rgb(54, 190, 43)"
eax [ecx+4],"rgb(54, 189, 44)"
call ds:FindClose,"rgb(54, 188, 45)"
mov [ebx+0Ch],"rgb(54, 187, 46)"
[ebp+var_4] edx,"rgb(54, 186, 47)"
edx [ecx+4],"rgb(54, 185, 48)"
[ebp+arg_4] eax,"rgb(54, 184, 49)"
[ecx] edx,"rgb(53, 199, 35)"
al ah,"rgb(53, 198, 36)"
ptr [eax+70h],"rgb(53, 197, 37)"
eax [ebp+var_2C],"rgb(53, 196, 38)"
ptr [ebx+4],"rgb(53, 195, 39)"
call Sleep,"rgb(53, 194, 40)"
[ebp+var_4] esi,"rgb(53, 193, 41)"
ecx [ebx],"rgb(53, 192, 42)"
xchg eax,"rgb(53, 191, 43)"
push 6,"rgb(53, 190, 44)"
edx [ebp+var_1C],"rgb(53, 189, 45)"
esi [esi],"rgb(53, 188, 46)"
edx [eax+4],"rgb(53, 187, 47)"
ptr [ebx+8],"rgb(53, 186, 48)"
sub al,"rgb(53, 185, 49)"
xor al,"rgb(52, 199, 36)"
call ds:HeapDestroy,"rgb(52, 198, 37)"
edx 1Fh,"rgb(52, 197, 38)"
[ebp+var_24] eax,"rgb(52, 196, 39)"
ecx [eax+0Ch],"rgb(52, 195, 40)"
[ebp+var_10] ecx,"rgb(52, 194, 41)"
edx 8,"rgb(52, 193, 42)"
ecx 0Ch,"rgb(52, 192, 43)"
ecx [ebp+var_24],"rgb(52, 191, 44)"
imul edx,"rgb(52, 190, 45)"
esi [eax],"rgb(52, 189, 46)"
ecx [edi],"rgb(52, 188, 47)"
mov [edi+4],"rgb(52, 187, 48)"
sub ebp,"rgb(52, 186, 49)"
push 3Fh,"rgb(51, 199, 37)"
eax [ecx+8],"rgb(51, 198, 38)"
edi [edi],"rgb(51, 197, 39)"
ptr [esi+1Ch],"rgb(51, 196, 40)"
ebx 2,"rgb(51, 195, 41)"
[ecx] 0,"rgb(51, 194, 42)"
edx [ebp+var_C],"rgb(51, 193, 43)"
esi 0FFFFFFFFh,"rgb(51, 192, 44)"
call ds:GetFocus,"rgb(51, 191, 45)"
ptr [ebp-14h],"rgb(51, 190, 46)"
eax 6,"rgb(51, 189, 47)"
ecx [ebp-18h],"rgb(51, 188, 48)"
mov [ebp-14h],"rgb(51, 187, 49)"
eax [esi+18h],"rgb(50, 199, 38)"
eax 0FFFFFFFCh,"rgb(50, 198, 39)"
ebp ecx,"rgb(50, 197, 40)"
ecx [ebp-1Ch],"rgb(50, 196, 41)"
ptr [ecx+18h],"rgb(50, 195, 42)"
push [ebp+var_8],"rgb(50, 194, 43)"
eax [ebp+var_28],"rgb(50, 193, 44)"
al [eax],"rgb(50, 192, 45)"
ebx 8,"rgb(50, 191, 46)"
[edx] eax,"rgb(50, 190, 47)"
ptr [ecx+10h],"rgb(50, 189, 48)"
std,"rgb(50, 188, 49)"
mov [edx+4],"rgb(54, 199, 33)"
ptr [edi+4],"rgb(54, 198, 34)"
edi [esi],"rgb(54, 197, 35)"
[edx] ecx,"rgb(54, 196, 36)"
push 0Dh,"rgb(54, 195, 37)"
ptr [edi+8],"rgb(54, 194, 38)"
ecx 5,"rgb(54, 193, 39)"
ecx [edx+4],"rgb(54, 192, 40)"
dl [eax],"rgb(54, 191, 41)"
eax [esi+1Ch],"rgb(54, 190, 42)"
ecx [edi+4],"rgb(54, 189, 43)"
edx [eax+8],"rgb(54, 188, 44)"
ebx [ebp+var_4],"rgb(54, 187, 45)"
mov [eax+14h],"rgb(54, 186, 46)"
al cl,"rgb(54, 185, 47)"
ecx [ebx+4],"rgb(54, 184, 48)"
ecx [eax+10h],"rgb(54, 183, 49)"
[eax] cl,"rgb(53, 199, 34)"
al [ecx],"rgb(53, 198, 35)"
ecx dword,"rgb(53, 197, 36)"
ptr [ebp-1Ch],"rgb(53, 196, 37)"
[ebp+var_1C] 0,"rgb(53, 195, 38)"
ptr [ebx+0Ch],"rgb(53, 194, 39)"
eax [edx+4],"rgb(53, 193, 40)"
sbb dword,"rgb(53, 192, 41)"
call ds:UnmapViewOfFile,"rgb(53, 191, 42)"
ptr [esi+20h],"rgb(53, 190, 43)"
edi 0FFFFFFFFh,"rgb(53, 189, 44)"
mov [esi+18h],"rgb(53, 188, 45)"
xor dword,"rgb(53, 187, 46)"
edx 10h,"rgb(53, 186, 47)"
edx [ebp+var_10],"rgb(53, 185, 48)"
eax 7,"rgb(53, 184, 49)"
[ecx] ebx,"rgb(52, 199, 35)"
mov [eax+10h],"rgb(52, 198, 36)"
push 9,"rgb(52, 197, 37)"
ecx 20h,"rgb(52, 196, 38)"
edx [ebp+var_14],"rgb(52, 195, 39)"
esi [ebp+var_1C],"rgb(52, 194, 40)"
[ebp+var_C] ecx,"rgb(52, 193, 41)"
mov [ebp+var_38],"rgb(52, 192, 42)"
push 16h,"rgb(52, 191, 43)"
eax 40h,"rgb(52, 190, 44)"
call ds:LocalUnlock,"rgb(52, 189, 45)"
edx [esi+4],"rgb(52, 188, 46)"
ptr [eax+1Ch],"rgb(52, 187, 47)"
[ebp+var_28] eax,"rgb(52, 186, 48)"
cl 20h,"rgb(52, 185, 49)"
call ds:GlobalFree,"rgb(51, 199, 36)"
cl 1,"rgb(51, 198, 37)"
[esi+10h] eax,"rgb(51, 197, 38)"
int 3,"rgb(51, 196, 39)"
eax [ebp-1Ch],"rgb(51, 195, 40)"
eax [ebp-0Ch],"rgb(51, 194, 41)"
neg edx,"rgb(51, 193, 42)"
ptr [esi+64h],"rgb(51, 192, 43)"
[eax+4] edx,"rgb(51, 191, 44)"
[ecx+4] eax,"rgb(51, 190, 45)"
[ebp+var_8] ebx,"rgb(51, 189, 46)"
[esp+3Ch+var_3C] ebx,"rgb(51, 188, 47)"
[esi] ecx,"rgb(51, 187, 48)"
mov [ebp+var_3C],"rgb(51, 186, 49)"
call ds:lstrlenA,"rgb(50, 199, 37)"
eax [ebp+var_30],"rgb(50, 198, 38)"
neg esi,"rgb(50, 197, 39)"
[ecx+4] ebx,"rgb(50, 196, 40)"
edx [edx],"rgb(50, 195, 41)"
[ebp+var_1C] edi,"rgb(50, 194, 42)"
call ds:lstrlenW,"rgb(50, 193, 43)"
eax [ecx+10h],"rgb(50, 192, 44)"
al 4,"rgb(50, 191, 45)"
or [ebp+var_4],"rgb(50, 190, 46)"
[ebp+var_20] 0,"rgb(50, 189, 47)"
edx [ebp+var_20],"rgb(50, 188, 48)"
cl al,"rgb(50, 187, 49)"
ebx [eax],"rgb(54, 199, 32)"
sbb ebx,"rgb(54, 198, 33)"
edx [ebx],"rgb(54, 197, 34)"
ptr [ecx+1Ch],"rgb(54, 196, 35)"
[eax+0Ch] ecx,"rgb(54, 195, 36)"
edx 0FFFFFFFFh,"rgb(54, 194, 37)"
ptr [esi+24h],"rgb(54, 193, 38)"
call ds:CloseHandle,"rgb(54, 192, 39)"
[ebp+var_1C] esi,"rgb(54, 191, 40)"
ecx [ebp+var_28],"rgb(54, 190, 41)"
push 7,"rgb(54, 189, 42)"
ecx [ebp+var_2C],"rgb(54, 188, 43)"
eax 14h,"rgb(54, 187, 44)"
ptr [ecx+70h],"rgb(54, 186, 45)"
ptr [eax+24h],"rgb(54, 185, 46)"
