Term,RGB
ebx 1,"rgb(150, 226, 214)"
push 2,"rgb(150, 225, 215)"
esi edx,"rgb(150, 224, 216)"
shr eax,"rgb(150, 223, 217)"
edx edi,"rgb(150, 222, 218)"
edx ebx,"rgb(150, 221, 219)"
mov cl,"rgb(150, 230, 209)"
edi ecx,"rgb(150, 229, 210)"
xor al,"rgb(150, 228, 211)"
esi ebx,"rgb(150, 227, 212)"
edi edx,"rgb(150, 226, 213)"
esi edi,"rgb(150, 225, 214)"
or edi,"rgb(150, 224, 215)"
edx 2,"rgb(150, 223, 216)"
and al,"rgb(150, 222, 217)"
ebx edi,"rgb(150, 221, 218)"
edx 4,"rgb(150, 230, 208)"
edi ebx,"rgb(150, 229, 209)"
sbb dword,"rgb(150, 228, 210)"
edi esi,"rgb(150, 227, 211)"
al ah,"rgb(150, 226, 212)"
esi 1,"rgb(150, 225, 213)"
ecx 8,"rgb(150, 224, 214)"
mov ah,"rgb(150, 223, 215)"
or ebx,"rgb(150, 222, 216)"
xor dword,"rgb(150, 221, 217)"
or byte,"rgb(150, 230, 207)"
edi 1,"rgb(150, 229, 208)"
ebx esi,"rgb(150, 228, 209)"
sub al,"rgb(150, 227, 210)"
eax 8,"rgb(150, 226, 211)"
or esi,"rgb(150, 225, 212)"
xor byte,"rgb(150, 224, 213)"
edi 4,"rgb(150, 223, 214)"
ptr [esp],"rgb(150, 222, 215)"
esi 4,"rgb(150, 221, 216)"
sbb al,"rgb(150, 230, 206)"
edx 3,"rgb(150, 229, 207)"
mov esp,"rgb(150, 228, 208)"
jmp eax,"rgb(150, 227, 209)"
[eax] eax,"rgb(150, 226, 210)"
inc dword,"rgb(150, 225, 211)"
or al,"rgb(150, 224, 212)"
mov dl,"rgb(150, 223, 213)"
ebx 4,"rgb(150, 222, 214)"
inc ecx,"rgb(150, 221, 215)"
eax ebp,"rgb(150, 230, 205)"
eax 3,"rgb(150, 229, 206)"
cl cl,"rgb(150, 228, 207)"
sub byte,"rgb(150, 227, 208)"
call esi,"rgb(150, 226, 209)"
edx 8,"rgb(150, 225, 210)"
ebp eax,"rgb(150, 224, 211)"
push 1,"rgb(150, 223, 212)"
sbb byte,"rgb(150, 222, 213)"
edi [edi],"rgb(150, 221, 214)"
sbb edx,"rgb(150, 230, 204)"
sbb ecx,"rgb(150, 229, 205)"
ecx 7,"rgb(150, 228, 206)"
edx 5,"rgb(150, 227, 207)"
sbb esi,"rgb(150, 226, 208)"
imul eax,"rgb(150, 225, 209)"
inc esi,"rgb(150, 224, 210)"
eax 7,"rgb(150, 223, 211)"
sbb ebx,"rgb(150, 222, 212)"
al cl,"rgb(150, 221, 213)"
shr edx,"rgb(150, 230, 203)"
sbb edi,"rgb(150, 229, 204)"
neg eax,"rgb(150, 228, 205)"
eax [eax],"rgb(150, 227, 206)"
ecx 3,"rgb(150, 226, 207)"
inc ebx,"rgb(150, 225, 208)"
inc edi,"rgb(150, 224, 209)"
ecx 5,"rgb(150, 223, 210)"
mov bl,"rgb(150, 222, 211)"
eax 5,"rgb(150, 221, 212)"
esi [esi],"rgb(150, 230, 202)"
leave,"rgb(150, 229, 203)"
ecx 6,"rgb(150, 228, 204)"
shr ecx,"rgb(150, 227, 205)"
ecx ebp,"rgb(150, 226, 206)"
inc edx,"rgb(150, 225, 207)"
al 4,"rgb(150, 224, 208)"
edx 6,"rgb(150, 223, 209)"
shr al,"rgb(150, 222, 210)"
[eax] ah,"rgb(150, 221, 211)"
esi 2,"rgb(150, 230, 201)"
ecx 9,"rgb(150, 229, 202)"
al 2,"rgb(150, 228, 203)"
al bl,"rgb(150, 227, 204)"
ebx 2,"rgb(150, 226, 205)"
[ecx] al,"rgb(150, 225, 206)"
call ebx,"rgb(150, 224, 207)"
ecx [ecx],"rgb(150, 223, 208)"
cdq,"rgb(150, 222, 209)"
ebp edi,"rgb(150, 221, 210)"
call ecx,"rgb(150, 230, 200)"
[ecx] eax,"rgb(150, 229, 201)"
push 4,"rgb(150, 228, 202)"
edx 7,"rgb(150, 227, 203)"
cl 1,"rgb(150, 226, 204)"
edi 2,"rgb(150, 225, 205)"
ebx 9,"rgb(150, 224, 206)"
ebp ecx,"rgb(150, 223, 207)"
eax 9,"rgb(150, 222, 208)"
al 5,"rgb(150, 221, 209)"
[eax] 0,"rgb(150, 230, 199)"
ebx 8,"rgb(150, 229, 200)"
ebx 7,"rgb(150, 228, 201)"
ebx [ebx],"rgb(150, 227, 202)"
eax 6,"rgb(150, 226, 203)"
inc esp,"rgb(150, 225, 204)"
in al,"rgb(150, 224, 205)"
call edx,"rgb(150, 223, 206)"
and dl,"rgb(150, 222, 207)"
rol byte,"rgb(150, 221, 208)"
ebx 5,"rgb(150, 230, 198)"
[esi] eax,"rgb(150, 229, 199)"
push 8,"rgb(150, 228, 200)"
dl al,"rgb(150, 227, 201)"
[eax] dl,"rgb(150, 226, 202)"
inc ebp,"rgb(150, 225, 203)"
ebx 3,"rgb(150, 224, 204)"
[edx] al,"rgb(150, 223, 205)"
edi 8,"rgb(150, 222, 206)"
[esp] eax,"rgb(150, 221, 207)"
sub ebp,"rgb(150, 230, 197)"
[ebx] al,"rgb(150, 229, 198)"
push 3,"rgb(150, 228, 199)"
or ah,"rgb(150, 227, 200)"
al 8,"rgb(150, 226, 201)"
shr ebx,"rgb(150, 225, 202)"
esi 8,"rgb(150, 224, 203)"
edx 9,"rgb(150, 223, 204)"
ebx 6,"rgb(150, 222, 205)"
cwde,"rgb(150, 221, 206)"
test dh,"rgb(150, 230, 196)"
dl 0,"rgb(150, 229, 197)"
pop ss,"rgb(150, 228, 198)"
[esi] ch,"rgb(150, 227, 199)"
[eax] dh,"rgb(150, 226, 200)"
[eax] ecx,"rgb(150, 225, 201)"
clc,"rgb(150, 224, 202)"
shr edi,"rgb(150, 223, 203)"
edi 3,"rgb(150, 222, 204)"
[ecx] 2,"rgb(150, 221, 205)"
imul edx,"rgb(150, 230, 195)"
pop es,"rgb(150, 229, 196)"
esi 3,"rgb(150, 228, 197)"
esi 7,"rgb(150, 227, 198)"
xor bl,"rgb(150, 226, 199)"
bl cl,"rgb(150, 225, 200)"
[eax] esi,"rgb(150, 224, 201)"
or dl,"rgb(150, 223, 202)"
neg ecx,"rgb(150, 222, 203)"
and esp,"rgb(150, 221, 204)"
cl al,"rgb(150, 230, 194)"
[eax] cl,"rgb(150, 229, 195)"
das,"rgb(150, 228, 196)"
[ecx] ah,"rgb(150, 227, 197)"
eax esp,"rgb(150, 226, 198)"
push 7,"rgb(150, 225, 199)"
[edi] eax,"rgb(150, 224, 200)"
or cl,"rgb(150, 223, 201)"
mov bh,"rgb(150, 222, 202)"
[esi] al,"rgb(150, 221, 203)"
neg edx,"rgb(150, 230, 193)"
inc byte,"rgb(150, 229, 194)"
push 5,"rgb(150, 228, 195)"
rcl byte,"rgb(150, 227, 196)"
[ebx] ecx,"rgb(150, 226, 197)"
shl byte,"rgb(150, 225, 198)"
push esp,"rgb(150, 224, 199)"
[edi] 0,"rgb(150, 223, 200)"
[ebx] eax,"rgb(150, 222, 201)"
[esp] 2,"rgb(150, 221, 202)"
and cl,"rgb(150, 230, 192)"
shr esi,"rgb(150, 229, 193)"
[edx] eax,"rgb(150, 228, 194)"
edi 5,"rgb(150, 227, 195)"
esi 5,"rgb(150, 226, 196)"
lahf,"rgb(150, 225, 197)"
push 6,"rgb(150, 224, 198)"
wait,"rgb(150, 223, 199)"
[ecx] 3,"rgb(150, 222, 200)"
[ecx] 0,"rgb(150, 221, 201)"
daa,"rgb(150, 230, 191)"
mov dh,"rgb(150, 229, 192)"
pop esp,"rgb(150, 228, 193)"
[esp] ebx,"rgb(150, 227, 194)"
[edx] cl,"rgb(150, 226, 195)"
esi 9,"rgb(150, 225, 196)"
edi 7,"rgb(150, 224, 197)"
al dx,"rgb(150, 223, 198)"
mov ch,"rgb(150, 222, 199)"
push cs,"rgb(150, 221, 200)"
xor dl,"rgb(150, 230, 190)"
dl cl,"rgb(150, 229, 191)"
[esi] bl,"rgb(150, 228, 192)"
ah dh,"rgb(150, 227, 193)"
rol dword,"rgb(150, 226, 194)"
[ecx] edx,"rgb(150, 225, 195)"
push ss,"rgb(150, 224, 196)"
test ch,"rgb(150, 223, 197)"
esi 6,"rgb(150, 222, 198)"
[ebx] cl,"rgb(150, 221, 199)"
al 7,"rgb(150, 230, 189)"
esi [ecx],"rgb(150, 229, 190)"
[eax] ch,"rgb(150, 228, 191)"
push 9,"rgb(150, 227, 192)"
[eax] ebx,"rgb(150, 226, 193)"
[edi] ah,"rgb(150, 225, 194)"
cli,"rgb(150, 224, 195)"
[esp] esi,"rgb(150, 223, 196)"
[eax] bh,"rgb(150, 222, 197)"
[eax] edx,"rgb(150, 221, 198)"
retf,"rgb(150, 230, 188)"
mul dword,"rgb(150, 229, 189)"
[esp] ecx,"rgb(150, 228, 190)"
std,"rgb(150, 227, 191)"
[eax] edi,"rgb(150, 226, 192)"
aaa,"rgb(150, 225, 193)"
[esi] edi,"rgb(150, 224, 194)"
[ebx] dl,"rgb(150, 223, 195)"
shr byte,"rgb(150, 222, 196)"
[esi] ecx,"rgb(150, 221, 197)"
aas,"rgb(150, 230, 187)"
sahf,"rgb(150, 229, 188)"
[esi] cl,"rgb(150, 228, 189)"
xor cl,"rgb(150, 227, 190)"
[esp] edx,"rgb(150, 226, 191)"
[ecx] dl,"rgb(150, 225, 192)"
[edx] dl,"rgb(150, 224, 193)"
neg ebx,"rgb(150, 223, 194)"
edi 9,"rgb(150, 222, 195)"
bl dl,"rgb(150, 221, 196)"
sbb bl,"rgb(150, 230, 186)"
[edx] edx,"rgb(150, 229, 187)"
[esp] edi,"rgb(150, 228, 188)"
esp 0,"rgb(150, 227, 189)"
neg edi,"rgb(150, 226, 190)"
[edx] ecx,"rgb(150, 225, 191)"
xor ch,"rgb(150, 224, 192)"
[ecx] bl,"rgb(150, 223, 193)"
sub cl,"rgb(150, 222, 194)"
neg dword,"rgb(150, 221, 195)"
push ds,"rgb(150, 230, 185)"
[ecx] esi,"rgb(150, 229, 186)"
xor esp,"rgb(150, 228, 187)"
and bh,"rgb(150, 227, 188)"
neg esi,"rgb(150, 226, 189)"
rdtsc,"rgb(150, 225, 190)"
dl ah,"rgb(150, 224, 191)"
[edi] edx,"rgb(150, 223, 192)"
dl bh,"rgb(150, 222, 193)"
[edi] cl,"rgb(150, 221, 194)"
ch 0,"rgb(150, 230, 184)"
sub dl,"rgb(150, 229, 185)"
xor bh,"rgb(150, 228, 186)"
cmc,"rgb(150, 227, 187)"
fninit,"rgb(150, 226, 188)"
[esi] edx,"rgb(150, 225, 189)"
[esi] ebx,"rgb(150, 224, 190)"
shl dword,"rgb(150, 223, 191)"
[eax] 1,"rgb(150, 222, 192)"
stc,"rgb(150, 221, 193)"
rcr byte,"rgb(150, 230, 183)"
edi 6,"rgb(150, 229, 184)"
sbb cl,"rgb(150, 228, 185)"
dh cl,"rgb(150, 227, 186)"
[edi] esi,"rgb(150, 226, 187)"
[edi] ecx,"rgb(150, 225, 188)"
and bl,"rgb(150, 224, 189)"
[edi] ebx,"rgb(150, 223, 190)"
[ecx] ebx,"rgb(150, 222, 191)"
[ebx] esi,"rgb(150, 221, 192)"
sal byte,"rgb(150, 230, 182)"
bh cl,"rgb(150, 229, 183)"
[edx] bl,"rgb(150, 228, 184)"
mov es,"rgb(150, 227, 185)"
fsubr dword,"rgb(150, 226, 186)"
eax [esp],"rgb(150, 225, 187)"
or bh,"rgb(150, 224, 188)"
[edx] ch,"rgb(150, 223, 189)"
[ecx] edi,"rgb(150, 222, 190)"
fcom dword,"rgb(150, 221, 191)"
[edi] edi,"rgb(150, 230, 181)"
ror dword,"rgb(150, 229, 182)"
[edx] 1,"rgb(150, 228, 183)"
bl ah,"rgb(150, 227, 184)"
cl ch,"rgb(150, 226, 185)"
ch dl,"rgb(150, 225, 186)"
[ecx] 1,"rgb(150, 224, 187)"
rcl dword,"rgb(150, 223, 188)"
[eax] 2,"rgb(150, 222, 189)"
ch bl,"rgb(150, 221, 190)"
bh bl,"rgb(150, 229, 181)"
lds eax,"rgb(150, 228, 182)"
fsubr qword,"rgb(150, 227, 183)"
shl cl,"rgb(150, 226, 184)"
les eax,"rgb(150, 225, 185)"
sar byte,"rgb(150, 224, 186)"
sub bh,"rgb(150, 223, 187)"
[edx] esi,"rgb(150, 222, 188)"
bh ch,"rgb(150, 221, 189)"
[esi] esi,"rgb(150, 228, 181)"
[eax] 4,"rgb(150, 227, 182)"
edi esp,"rgb(150, 226, 183)"
[esi] 3,"rgb(150, 225, 184)"
[edx] ebp,"rgb(150, 224, 185)"
[eax] esp,"rgb(150, 223, 186)"
fisub word,"rgb(150, 222, 187)"
sbb ch,"rgb(150, 221, 188)"
clts,"rgb(150, 227, 181)"
rcr dword,"rgb(150, 226, 182)"
sub ah,"rgb(150, 225, 183)"
sar dword,"rgb(150, 224, 184)"
[edx] edi,"rgb(150, 223, 185)"
mov fs,"rgb(150, 222, 186)"
[ecx] ecx,"rgb(150, 221, 187)"
ficomp word,"rgb(150, 226, 181)"
0 0,"rgb(150, 225, 182)"
[ebx] ebx,"rgb(150, 224, 183)"
sbb bh,"rgb(150, 223, 184)"
sbb ah,"rgb(150, 222, 185)"
mov gs,"rgb(150, 221, 186)"
[edx] ebx,"rgb(150, 225, 181)"
les edx,"rgb(150, 224, 182)"
les ebx,"rgb(150, 223, 183)"
les ebp,"rgb(150, 222, 184)"
sal dword,"rgb(150, 221, 185)"
xchg dl,"rgb(150, 224, 181)"
mov ds,"rgb(150, 223, 182)"
les edi,"rgb(150, 222, 183)"
[edx] esp,"rgb(150, 221, 184)"
fdiv st(5),"rgb(150, 223, 181)"
movlps qword,"rgb(150, 222, 182)"
sar dh,"rgb(150, 221, 183)"
xchg bl,"rgb(150, 222, 181)"
xchg ch,"rgb(150, 221, 182)"
[edx] 9,"rgb(150, 221, 181)"
