Term,RGB
xor edx,"rgb(156, 48, 158)"
ebp esp,"rgb(156, 47, 159)"
mov byte,"rgb(155, 49, 158)"
or eax,"rgb(155, 48, 159)"
movzx eax,"rgb(154, 49, 159)"
ecx esi,"rgb(159, 49, 153)"
mov al,"rgb(159, 48, 154)"
esi ecx,"rgb(159, 47, 155)"
word ptr,"rgb(159, 46, 156)"
test esi,"rgb(159, 45, 157)"
sub esi,"rgb(159, 44, 158)"
and edx,"rgb(159, 43, 159)"
edx eax,"rgb(158, 49, 154)"
cmp ecx,"rgb(158, 48, 155)"
and eax,"rgb(158, 47, 156)"
lea edx,"rgb(158, 46, 157)"
sub esp,"rgb(158, 45, 158)"
jl short,"rgb(158, 44, 159)"
imul eax,"rgb(157, 49, 155)"
retn 4,"rgb(157, 48, 156)"
eax edi,"rgb(157, 47, 157)"
eax ebx,"rgb(157, 46, 158)"
and ecx,"rgb(157, 45, 159)"
pop eax,"rgb(156, 49, 156)"
test ecx,"rgb(156, 48, 157)"
eax byte,"rgb(156, 47, 158)"
cmp dword,"rgb(156, 46, 159)"
edi eax,"rgb(155, 49, 157)"
esp 4,"rgb(155, 48, 158)"
ebx eax,"rgb(155, 47, 159)"
sub edx,"rgb(154, 49, 158)"
cmp esi,"rgb(154, 48, 159)"
cmp edx,"rgb(153, 49, 159)"
or edx,"rgb(159, 49, 152)"
call ??3@YAXPAX@Z,"rgb(159, 48, 153)"
push dword,"rgb(159, 47, 154)"
ecx edi,"rgb(159, 46, 155)"
movzx esi,"rgb(159, 45, 156)"
edi esi,"rgb(159, 44, 157)"
lea edi,"rgb(159, 43, 158)"
inc eax,"rgb(159, 42, 159)"
setnle al,"rgb(158, 49, 153)"
test edx,"rgb(158, 48, 154)"
jnb short,"rgb(158, 47, 155)"
eax offset,"rgb(158, 46, 156)"
imul ecx,"rgb(158, 45, 157)"
push 0,"rgb(158, 44, 158)"
xor ebx,"rgb(158, 43, 159)"
cmp edi,"rgb(157, 49, 154)"
ebx ebx,"rgb(157, 48, 155)"
mov cl,"rgb(157, 47, 156)"
esi edx,"rgb(157, 46, 157)"
mov dl,"rgb(157, 45, 158)"
xor esi,"rgb(157, 44, 159)"
or esi,"rgb(156, 49, 155)"
retn 8,"rgb(156, 48, 156)"
lea esi,"rgb(156, 47, 157)"
edx,"rgb(156, 46, 158)"
pushf,"rgb(156, 45, 159)"
ja short,"rgb(155, 49, 156)"
popf,"rgb(155, 48, 157)"
xor edi,"rgb(155, 47, 158)"
inc edx,"rgb(155, 46, 159)"
esi byte,"rgb(154, 49, 157)"
edi ecx,"rgb(154, 48, 158)"
xchg eax,"rgb(154, 47, 159)"
or ecx,"rgb(153, 49, 158)"
mov [ebp+var_4],"rgb(153, 48, 159)"
leave,"rgb(152, 49, 159)"
test edi,"rgb(159, 49, 151)"
shl eax,"rgb(159, 48, 152)"
esp 0Ch,"rgb(159, 47, 153)"
jbe short,"rgb(159, 46, 154)"
eax 5,"rgb(159, 45, 155)"
jns short,"rgb(159, 44, 156)"
movzx ecx,"rgb(159, 43, 157)"
ebx ecx,"rgb(159, 42, 158)"
shl esi,"rgb(159, 41, 159)"
movzx edx,"rgb(158, 49, 152)"
sar eax,"rgb(158, 48, 153)"
shl edx,"rgb(158, 47, 154)"
tbyte ptr,"rgb(158, 46, 155)"
mov word,"rgb(158, 45, 156)"
ptr [eax],"rgb(158, 44, 157)"
esi ebx,"rgb(158, 43, 158)"
cmp ebx,"rgb(158, 42, 159)"
pop edx,"rgb(157, 49, 153)"
ptr [esi],"rgb(157, 48, 154)"
imul edx,"rgb(157, 47, 155)"
edi edx,"rgb(157, 46, 156)"
esp 8,"rgb(157, 45, 157)"
esp 10h,"rgb(157, 44, 158)"
lea ebx,"rgb(157, 43, 159)"
ecx ebx,"rgb(156, 49, 154)"
and dword,"rgb(156, 48, 155)"
ecx offset,"rgb(156, 47, 156)"
edx esi,"rgb(156, 46, 157)"
edx cl,"rgb(156, 45, 158)"
imul esi,"rgb(156, 44, 159)"
esi edi,"rgb(155, 49, 155)"
eax 1,"rgb(155, 48, 156)"
stosd,"rgb(155, 47, 157)"
eax 3,"rgb(155, 46, 158)"
cdq,"rgb(155, 45, 159)"
edx ebx,"rgb(154, 49, 156)"
push 5,"rgb(154, 48, 157)"
esp 2Ch,"rgb(154, 47, 158)"
mov [ebp+var_10],"rgb(154, 46, 159)"
ebx edx,"rgb(153, 49, 157)"
retn 0Ch,"rgb(153, 48, 158)"
mov [ecx],"rgb(153, 47, 159)"
and esi,"rgb(152, 49, 158)"
mov [eax],"rgb(152, 48, 159)"
retn 10h,"rgb(151, 49, 159)"
sbb eax,"rgb(159, 49, 150)"
or edi,"rgb(159, 48, 151)"
edi ebx,"rgb(159, 47, 152)"
large fs:0,"rgb(159, 46, 153)"
esi cl,"rgb(159, 45, 154)"
qword ptr,"rgb(159, 44, 155)"
mul ecx,"rgb(159, 43, 156)"
push 2,"rgb(159, 42, 157)"
imul edi,"rgb(159, 41, 158)"
sub edi,"rgb(159, 40, 159)"
mul esi,"rgb(158, 49, 151)"
ptr [ebp+8],"rgb(158, 48, 152)"
ebx edi,"rgb(158, 47, 153)"
[esi] offset,"rgb(158, 46, 154)"
mov [ebp+var_C],"rgb(158, 45, 155)"
edx 1Fh,"rgb(158, 44, 156)"
edx edi,"rgb(158, 43, 157)"
esi [ecx],"rgb(158, 42, 158)"
imul ebx,"rgb(158, 41, 159)"
eax ebp,"rgb(157, 49, 152)"
sbb edx,"rgb(157, 48, 153)"
ebx esi,"rgb(157, 47, 154)"
ptr [ebp-4],"rgb(157, 46, 155)"
movsd,"rgb(157, 45, 156)"
eax 2,"rgb(157, 44, 157)"
cmp [ebp+arg_0],"rgb(157, 43, 158)"
ptr [esi+18h],"rgb(157, 42, 159)"
[ebp+arg_0] 0,"rgb(156, 49, 153)"
fld dword,"rgb(156, 48, 154)"
eax [ebp+arg_0],"rgb(156, 47, 155)"
edx 0FFFFFFE0h,"rgb(156, 46, 156)"
ptr [esp+0],"rgb(156, 45, 157)"
push 1Fh,"rgb(156, 44, 158)"
eax,"rgb(156, 43, 159)"
ecx [ebp+var_4],"rgb(155, 49, 154)"
esi,"rgb(155, 48, 155)"
sbb ecx,"rgb(155, 47, 156)"
mov [esi+14h],"rgb(155, 46, 157)"
eax cl,"rgb(155, 45, 158)"
mov bl,"rgb(155, 44, 159)"
shl edi,"rgb(154, 49, 155)"
edi cl,"rgb(154, 48, 156)"
shr edx,"rgb(154, 47, 157)"
xchg edi,"rgb(154, 46, 158)"
ecx 4,"rgb(154, 45, 159)"
mov [ecx+4],"rgb(153, 49, 156)"
0Bh 0,"rgb(153, 48, 157)"
inc esi,"rgb(153, 47, 158)"
mov large,"rgb(153, 46, 159)"
eax 4,"rgb(152, 49, 157)"
and [ebp+arg_0],"rgb(152, 48, 158)"
call esi,"rgb(152, 47, 159)"
sub ebx,"rgb(151, 49, 158)"
esp 1Ch,"rgb(151, 48, 159)"
esi 2,"rgb(150, 49, 159)"
test ebx,"rgb(159, 49, 149)"
eax 0FFFFFFFFh,"rgb(159, 48, 150)"
test byte,"rgb(159, 47, 151)"
eax [esi+4],"rgb(159, 46, 152)"
inc ecx,"rgb(159, 45, 153)"
[ebp+var_4] 0,"rgb(159, 44, 154)"
ptr [ecx],"rgb(159, 43, 155)"
mov [ecx+14h],"rgb(159, 42, 156)"
ebp eax,"rgb(159, 41, 157)"
test cl,"rgb(159, 40, 158)"
call eax,"rgb(159, 39, 159)"
xchg ebx,"rgb(158, 49, 150)"
esp 14h,"rgb(158, 48, 151)"
push 1,"rgb(158, 47, 152)"
[ebp+var_10] ecx,"rgb(158, 46, 153)"
ecx ebp,"rgb(158, 45, 154)"
eax 8,"rgb(158, 44, 155)"
ecx esp,"rgb(158, 43, 156)"
xchg esi,"rgb(158, 42, 157)"
eax [ebp+var_C],"rgb(158, 41, 158)"
push 3,"rgb(158, 40, 159)"
edx [esp+8],"rgb(157, 49, 151)"
or ebx,"rgb(157, 48, 152)"
[ebp+var_4] eax,"rgb(157, 47, 153)"
push 4,"rgb(157, 46, 154)"
eax [esp+8],"rgb(157, 45, 155)"
inc dword,"rgb(157, 44, 156)"
xchg ecx,"rgb(157, 43, 157)"
mov [ebp+arg_0],"rgb(157, 42, 158)"
eax word,"rgb(157, 41, 159)"
ecx [ebp+arg_0],"rgb(156, 49, 152)"
ptr [ebp+0Ch],"rgb(156, 48, 153)"
cmp ebp,"rgb(156, 47, 154)"
push 0FFFFFFFFh,"rgb(156, 46, 155)"
inc edi,"rgb(156, 45, 156)"
and [ebp+var_4],"rgb(156, 44, 157)"
call _atexit,"rgb(156, 43, 158)"
mov [ebp+var_8],"rgb(156, 42, 159)"
eax 10h,"rgb(155, 49, 153)"
ebp ebp,"rgb(155, 48, 154)"
sub [ebp+var_4],"rgb(155, 47, 155)"
[ebp+var_C] 0,"rgb(155, 46, 156)"
[ebp+var_4] edx,"rgb(155, 45, 157)"
sub al,"rgb(155, 44, 158)"
ecx [ebp+var_18],"rgb(155, 43, 159)"
cld,"rgb(154, 49, 154)"
push [ebp+var_4],"rgb(154, 48, 155)"
and [ebp+var_C],"rgb(154, 47, 156)"
and edi,"rgb(154, 46, 157)"
edx byte,"rgb(154, 45, 158)"
shr ecx,"rgb(154, 44, 159)"
std,"rgb(153, 49, 155)"
not edx,"rgb(153, 48, 156)"
mov [ebx],"rgb(153, 47, 157)"
[ebp+var_4] 20h,"rgb(153, 46, 158)"
div ecx,"rgb(153, 45, 159)"
inc [ebp+arg_0],"rgb(152, 49, 156)"
edi [ebp+var_20],"rgb(152, 48, 157)"
ecx word,"rgb(152, 47, 158)"
cmp al,"rgb(152, 46, 159)"
ptr [ecx+18h],"rgb(151, 49, 157)"
ecx byte,"rgb(151, 48, 158)"
ecx 1,"rgb(151, 47, 159)"
shr esi,"rgb(150, 49, 158)"
esi al,"rgb(150, 48, 159)"
mov [ebp+var_14],"rgb(149, 49, 159)"
shr eax,"rgb(159, 49, 148)"
and ebx,"rgb(159, 48, 149)"
eax [ebp+var_10],"rgb(159, 47, 150)"
[ebp+arg_0] 1,"rgb(159, 46, 151)"
jg short,"rgb(159, 45, 152)"
inc ebx,"rgb(159, 44, 153)"
ptr [esp],"rgb(159, 43, 154)"
eax [esi+14h],"rgb(159, 42, 155)"
lea ebp,"rgb(159, 41, 156)"
eax [ebp+8],"rgb(159, 40, 157)"
not edi,"rgb(159, 39, 158)"
mov esp,"rgb(159, 38, 159)"
[esi+14h] edi,"rgb(158, 49, 149)"
shl ecx,"rgb(158, 48, 150)"
ebx [ebp+arg_0],"rgb(158, 47, 151)"
esi 1,"rgb(158, 46, 152)"
esi offset,"rgb(158, 45, 153)"
edx word,"rgb(158, 44, 154)"
edi 0FFFFFFFFh,"rgb(158, 43, 155)"
ecx [ebp+arg_4],"rgb(158, 42, 156)"
[ebx] esi,"rgb(158, 41, 157)"
eax [ebp+var_1C],"rgb(158, 40, 158)"
fstp qword,"rgb(158, 39, 159)"
ptr [ebp+var_14],"rgb(157, 49, 150)"
esi [ebx],"rgb(157, 48, 151)"
ptr [eax+70h],"rgb(157, 47, 152)"
ecx,"rgb(157, 46, 153)"
edi ebp,"rgb(157, 45, 154)"
xchg edx,"rgb(157, 44, 155)"
edx 1,"rgb(157, 43, 156)"
eax [eax+eax],"rgb(157, 42, 157)"
[ebp+var_C] eax,"rgb(157, 41, 158)"
[eax+70h] 0FFFFFFFDh,"rgb(157, 40, 159)"
mov ax,"rgb(156, 49, 151)"
[ebp+var_C] esi,"rgb(156, 48, 152)"
esi [ebp+var_C],"rgb(156, 47, 153)"
cmp [ebp+var_18],"rgb(156, 46, 154)"
mov cx,"rgb(156, 45, 155)"
sub ebp,"rgb(156, 44, 156)"
esi [ebp+var_10],"rgb(156, 43, 157)"
test ah,"rgb(156, 42, 158)"
mov [ecx+18h],"rgb(156, 41, 159)"
[ebp+arg_0] esi,"rgb(155, 49, 152)"
cmp byte,"rgb(155, 48, 153)"
push 10h,"rgb(155, 47, 154)"
fs:0 eax,"rgb(155, 46, 155)"
[ebp+var_18] bl,"rgb(155, 45, 156)"
[ecx] offset,"rgb(155, 44, 157)"
eax [esp+4],"rgb(155, 43, 158)"
ecx [esi+1],"rgb(155, 42, 159)"
test ebp,"rgb(154, 49, 153)"
ecx [ebp+8],"rgb(154, 48, 154)"
eax large,"rgb(154, 47, 155)"
fld qword,"rgb(154, 46, 156)"
fs:0 ecx,"rgb(154, 45, 157)"
rep stosd,"rgb(154, 44, 158)"
eax [esp+10h],"rgb(154, 43, 159)"
esp ebp,"rgb(153, 49, 154)"
edx [ecx],"rgb(153, 48, 155)"
st(1) st,"rgb(153, 47, 156)"
call dword,"rgb(153, 46, 157)"
and al,"rgb(153, 45, 158)"
ecx [ebp-10h],"rgb(153, 44, 159)"
[eax] 0,"rgb(152, 49, 155)"
fmul dword,"rgb(152, 48, 156)"
mov [ebp-4],"rgb(152, 47, 157)"
edx 0FFFFFFFFh,"rgb(152, 46, 158)"
or al,"rgb(152, 45, 159)"
ptr [ebp+var_4],"rgb(151, 49, 156)"
eax [edx+0Ch],"rgb(151, 48, 157)"
esp 28h,"rgb(151, 47, 158)"
[ecx] edx,"rgb(151, 46, 159)"
push [ebp+arg_0],"rgb(150, 49, 157)"
not eax,"rgb(150, 48, 158)"
ptr [esp+8],"rgb(150, 47, 159)"
[edi] eax,"rgb(149, 49, 158)"
ecx [esp+arg_0],"rgb(149, 48, 159)"
mov dx,"rgb(148, 49, 159)"
mov [eax+14h],"rgb(159, 49, 147)"
ecx 2,"rgb(159, 48, 148)"
ptr [esp+14h],"rgb(159, 47, 149)"
ecx 10h,"rgb(159, 46, 150)"
mov [esp+10h+arg_0],"rgb(159, 45, 151)"
mov [esi],"rgb(159, 44, 152)"
eax 6,"rgb(159, 43, 153)"
mov [ebp+var_18],"rgb(159, 42, 154)"
shl ebx,"rgb(159, 41, 155)"
ecx 8,"rgb(159, 40, 156)"
push 8,"rgb(159, 39, 157)"
[eax] ecx,"rgb(159, 38, 158)"
eax [esp+arg_0],"rgb(159, 37, 159)"
eax [eax],"rgb(158, 49, 148)"
edi,"rgb(158, 48, 149)"
eax 0Ah,"rgb(158, 47, 150)"
al byte,"rgb(158, 46, 151)"
ecx [eax],"rgb(158, 45, 152)"
esi 0FFFFFFE0h,"rgb(158, 44, 153)"
push es,"rgb(158, 43, 154)"
eax 9,"rgb(158, 42, 155)"
ecx [esi+18h],"rgb(158, 41, 156)"
eax [edi+4],"rgb(158, 40, 157)"
ecx [ebp+var_8],"rgb(158, 39, 158)"
call edi,"rgb(158, 38, 159)"
neg eax,"rgb(157, 49, 149)"
esi [edx+1],"rgb(157, 48, 150)"
esp 18h,"rgb(157, 47, 151)"
eax [esp+0Ch],"rgb(157, 46, 152)"
eax 0Bh,"rgb(157, 45, 153)"
eax [ebp+var_4],"rgb(157, 44, 154)"
[ecx] eax,"rgb(157, 43, 155)"
esi ebp,"rgb(157, 42, 156)"
fld tbyte,"rgb(157, 41, 157)"
esi 4,"rgb(157, 40, 158)"
sub dl,"rgb(157, 39, 159)"
ptr [ebp-90h],"rgb(156, 49, 150)"
eax 7,"rgb(156, 48, 151)"
push 16h,"rgb(156, 47, 152)"
mov [eax+4],"rgb(156, 46, 153)"
[ebp+var_18] eax,"rgb(156, 45, 154)"
[ecx+14h] ebx,"rgb(156, 44, 155)"
push 0Ch,"rgb(156, 43, 156)"
edx ebp,"rgb(156, 42, 157)"
[ecx+18h] 0Fh,"rgb(156, 41, 158)"
or cl,"rgb(156, 40, 159)"
eax [ebp+var_28],"rgb(155, 49, 151)"
eax esp,"rgb(155, 48, 152)"
mov [ecx+38h],"rgb(155, 47, 153)"
ebx cl,"rgb(155, 46, 154)"
ecx [ebp-4],"rgb(155, 45, 155)"
ptr [ecx+4],"rgb(155, 44, 156)"
esi [ebp+arg_0],"rgb(155, 43, 157)"
cl byte,"rgb(155, 42, 158)"
eax 0Fh,"rgb(155, 41, 159)"
push 40h,"rgb(154, 49, 152)"
ecx 3,"rgb(154, 48, 153)"
mov [ebp-10h],"rgb(154, 47, 154)"
mov [ebp-0Ch],"rgb(154, 46, 155)"
[ebp-4] 0,"rgb(154, 45, 156)"
sub cl,"rgb(154, 44, 157)"
edi 4,"rgb(154, 43, 158)"
push [ebp+arg_8],"rgb(154, 42, 159)"
mul dword,"rgb(153, 49, 153)"
eax 0Ch,"rgb(153, 48, 154)"
[ebp+var_8] eax,"rgb(153, 47, 155)"
ebp ecx,"rgb(153, 46, 156)"
ebx offset,"rgb(153, 45, 157)"
test al,"rgb(153, 44, 158)"
near ptr,"rgb(153, 43, 159)"
or dl,"rgb(152, 49, 154)"
cl cl,"rgb(152, 48, 155)"
mov [ebp+var_1C],"rgb(152, 47, 156)"
push [ebp+var_8],"rgb(152, 46, 157)"
edx [esp+0Ch],"rgb(152, 45, 158)"
neg ecx,"rgb(152, 44, 159)"
push 0Ah,"rgb(151, 49, 155)"
eax [esi+18h],"rgb(151, 48, 156)"
not esi,"rgb(151, 47, 157)"
ecx [ebp+var_14],"rgb(151, 46, 158)"
ecx [ecx+edx],"rgb(151, 45, 159)"
ptr [esi+4],"rgb(150, 49, 156)"
call ??2@YAPAXI@Z,"rgb(150, 48, 157)"
xor ebp,"rgb(150, 47, 158)"
mov [esp+24h+lpProcName],"rgb(150, 46, 159)"
[esp+24h+lpProcName] offset,"rgb(149, 49, 157)"
ptr [ebx],"rgb(149, 48, 158)"
and dl,"rgb(149, 47, 159)"
eax [esi],"rgb(148, 49, 158)"
edx 10h,"rgb(148, 48, 159)"
shr edi,"rgb(147, 49, 159)"
edx [ecx+edx],"rgb(159, 49, 146)"
eax [ecx+4],"rgb(159, 48, 147)"
[eax] esi,"rgb(159, 47, 148)"
push 20h,"rgb(159, 46, 149)"
[esi+14h] eax,"rgb(159, 45, 150)"
ecx 20h,"rgb(159, 44, 151)"
mov [esi+4],"rgb(159, 43, 152)"
eax 0Dh,"rgb(159, 42, 153)"
ecx [esp+0Ch],"rgb(159, 41, 154)"
st st,"rgb(159, 40, 155)"
ptr [ebp-8],"rgb(159, 39, 156)"
ecx [esp+10h+var_C],"rgb(159, 38, 157)"
not ecx,"rgb(159, 37, 158)"
edx [edx+ecx],"rgb(159, 36, 159)"
mov [ebp+var_20],"rgb(158, 49, 147)"
test dl,"rgb(158, 48, 148)"
[ebp+var_10] esp,"rgb(158, 47, 149)"
eax [edi],"rgb(158, 46, 150)"
[eax] cx,"rgb(158, 45, 151)"
and cl,"rgb(158, 44, 152)"
[ebx] eax,"rgb(158, 43, 153)"
mov [eax+8],"rgb(158, 42, 154)"
ecx 8000h,"rgb(158, 41, 155)"
dl byte,"rgb(158, 40, 156)"
[ebp+var_14] eax,"rgb(158, 39, 157)"
dl al,"rgb(158, 38, 158)"
ptr [edx],"rgb(158, 37, 159)"
eax 0FFFFFFFEh,"rgb(157, 49, 148)"
ecx [esp+10h],"rgb(157, 48, 149)"
esi 10h,"rgb(157, 47, 150)"
edi offset,"rgb(157, 46, 151)"
ptr [esi+1Ch],"rgb(157, 45, 152)"
ptr [esi+14h],"rgb(157, 44, 153)"
edi 8,"rgb(157, 43, 154)"
ptr [esp+10h],"rgb(157, 42, 155)"
esi [esp+8],"rgb(157, 41, 156)"
jmp dword,"rgb(157, 40, 157)"
ecx [ebp+0Ch],"rgb(157, 39, 158)"
[ecx] esi,"rgb(157, 38, 159)"
mov [edi],"rgb(156, 49, 149)"
esi 0FFFFFFFFh,"rgb(156, 48, 150)"
call _free,"rgb(156, 47, 151)"
push 18h,"rgb(156, 46, 152)"
ecx 40h,"rgb(156, 45, 153)"
edx [ebp+0],"rgb(156, 44, 154)"
inc ebp,"rgb(156, 43, 155)"
eax 0Eh,"rgb(156, 42, 156)"
fword ptr,"rgb(156, 41, 157)"
edx [eax],"rgb(156, 40, 158)"
call __SEH_epilog4,"rgb(156, 39, 159)"
mov [ebp-8],"rgb(155, 49, 150)"
neg edx,"rgb(155, 48, 151)"
eax [eax+88h],"rgb(155, 47, 152)"
push 44h,"rgb(155, 46, 153)"
[esi+14h] 0,"rgb(155, 45, 154)"
eax [ebp+var_8],"rgb(155, 44, 155)"
faddp st(1),"rgb(155, 43, 156)"
ecx [ebp-8],"rgb(155, 42, 157)"
ebx 1,"rgb(155, 41, 158)"
eax [ebp+0Ch],"rgb(155, 40, 159)"
ebx [esp+4+arg_0],"rgb(154, 49, 151)"
short $+2,"rgb(154, 48, 152)"
ptr [eax+4],"rgb(154, 47, 153)"
ecx [esi+0Ch],"rgb(154, 46, 154)"
cmp [eax],"rgb(154, 45, 155)"
cl [eax],"rgb(154, 44, 156)"
edx 4,"rgb(154, 43, 157)"
eax 0FFh,"rgb(154, 42, 158)"
eax [ebx],"rgb(154, 41, 159)"
[ecx] edi,"rgb(153, 49, 152)"
ecx [ebp+var_10],"rgb(153, 48, 153)"
ebp edi,"rgb(153, 47, 154)"
ecx [eax+14h],"rgb(153, 46, 155)"
ptr [eax+0Ah],"rgb(153, 45, 156)"
eax [eax+edx],"rgb(153, 44, 157)"
al 0CDh,"rgb(153, 43, 158)"
[esi+14h] ebx,"rgb(153, 42, 159)"
push 6,"rgb(152, 49, 153)"
ebp,"rgb(152, 48, 154)"
eax [eax+ecx],"rgb(152, 47, 155)"
eax 3800h,"rgb(152, 46, 156)"
shr ebx,"rgb(152, 45, 157)"
dw 0C483h,"rgb(152, 44, 158)"
push 3Fh,"rgb(152, 43, 159)"
ebp [esi+4],"rgb(151, 49, 154)"
ecx [esp+4],"rgb(151, 48, 155)"
ebp [ebp+0],"rgb(151, 47, 156)"
cl al,"rgb(151, 46, 157)"
mov [esp+10h+arg_4],"rgb(151, 45, 158)"
edx [ebp+arg_0],"rgb(151, 44, 159)"
eax [edx+eax],"rgb(150, 49, 155)"
[ebp+var_8] ecx,"rgb(150, 48, 156)"
[ebp-4] 0FFFFFFFEh,"rgb(150, 47, 157)"
al bl,"rgb(150, 46, 158)"
cl 1,"rgb(150, 45, 159)"
call __SEH_prolog4,"rgb(149, 49, 156)"
dl dl,"rgb(149, 48, 157)"
edi [ebp+arg_4],"rgb(149, 47, 158)"
sub cx,"rgb(149, 46, 159)"
eax [ebp+Dst],"rgb(148, 49, 157)"
sar edx,"rgb(148, 48, 158)"
edx [edx+eax],"rgb(148, 47, 159)"
call ds:LoadLibraryA,"rgb(147, 49, 158)"
mov [esp+14h+var_4],"rgb(147, 48, 159)"
ecx [ebp+var_C],"rgb(146, 49, 159)"
jnp short,"rgb(159, 49, 145)"
[ebp+var_4] al,"rgb(159, 48, 146)"
push 7,"rgb(159, 47, 147)"
dl cl,"rgb(159, 46, 148)"
push 9,"rgb(159, 45, 149)"
cmp cl,"rgb(159, 44, 150)"
ptr [ebp+14h],"rgb(159, 43, 151)"
eax [esp+arg_4],"rgb(159, 42, 152)"
push [ebp+var_C],"rgb(159, 41, 153)"
ebp ebx,"rgb(159, 40, 154)"
eax [eax+eax*4],"rgb(159, 39, 155)"
al al,"rgb(159, 38, 156)"
ah 44h,"rgb(159, 37, 157)"
ptr [eax+8],"rgb(159, 36, 158)"
mov [esp+18h+var_4],"rgb(159, 35, 159)"
[ecx] ebx,"rgb(158, 49, 146)"
eax [ebp+var_24],"rgb(158, 48, 147)"
mov [eax+3Ch],"rgb(158, 47, 148)"
ebp esi,"rgb(158, 46, 149)"
[eax+14h] ecx,"rgb(158, 45, 150)"
[ebp-4] eax,"rgb(158, 44, 151)"
push 0Dh,"rgb(158, 43, 152)"
esi 8,"rgb(158, 42, 153)"
mov [esi+8],"rgb(158, 41, 154)"
push 1000h,"rgb(158, 40, 155)"
ecx [eax+8],"rgb(158, 39, 156)"
offset LibFileName,"rgb(158, 38, 157)"
eax [ebp-4],"rgb(158, 37, 158)"
[ebx] edx,"rgb(158, 36, 159)"
sar esi,"rgb(157, 49, 147)"
sar ecx,"rgb(157, 48, 148)"
mov [esi+38h],"rgb(157, 47, 149)"
push 0Eh,"rgb(157, 46, 150)"
retn 1Ch,"rgb(157, 45, 151)"
esi 0Fh,"rgb(157, 44, 152)"
[ecx+14h] eax,"rgb(157, 43, 153)"
dup(0CCh),"rgb(157, 42, 154)"
div esi,"rgb(157, 41, 155)"
mov [edx],"rgb(157, 40, 156)"
mov [esi+60h],"rgb(157, 39, 157)"
edi [esp+0Ch+arg_4],"rgb(157, 38, 158)"
jmp fword,"rgb(157, 37, 159)"
al 30h,"rgb(156, 49, 148)"
and [ebx],"rgb(156, 48, 149)"
ecx [eax+2],"rgb(156, 47, 150)"
bl al,"rgb(156, 46, 151)"
[ebp+var_C] edi,"rgb(156, 45, 152)"
push hHeap,"rgb(156, 44, 153)"
ecx [ebp+var_24],"rgb(156, 43, 154)"
push [ebp+arg_4],"rgb(156, 42, 155)"
[esi] 0,"rgb(156, 41, 156)"
and [edi],"rgb(156, 40, 157)"
mov [eax+38h],"rgb(156, 39, 158)"
ptr [ebp+10h],"rgb(156, 38, 159)"
test [edi],"rgb(155, 49, 149)"
mov [esi+18h],"rgb(155, 48, 150)"
ecx [eax+6],"rgb(155, 47, 151)"
edi [esi+edx],"rgb(155, 46, 152)"
edi [ebp+var_C],"rgb(155, 45, 153)"
ecx [ebp+4],"rgb(155, 44, 154)"
test [ebx],"rgb(155, 43, 155)"
mov [eax+18h],"rgb(155, 42, 156)"
[ecx+4] ebx,"rgb(155, 41, 157)"
edi [ebp+var_10],"rgb(155, 40, 158)"
[eax] 16h,"rgb(155, 39, 159)"
eax [ebp-10h],"rgb(154, 49, 150)"
mov [esi+6Ch],"rgb(154, 48, 151)"
mov [ebp-1Ch],"rgb(154, 47, 152)"
