Term,RGB
eax 2,"rgb(200, 131, 182)"
fld dword,"rgb(200, 130, 183)"
test byte,"rgb(200, 129, 184)"
eax cl,"rgb(200, 128, 185)"
edi ebx,"rgb(200, 127, 186)"
ebx edi,"rgb(200, 126, 187)"
shr edx,"rgb(200, 125, 188)"
edx edi,"rgb(200, 124, 189)"
edi cl,"rgb(200, 123, 190)"
esi edi,"rgb(200, 122, 191)"
xchg edi,"rgb(200, 121, 192)"
ptr [ecx],"rgb(200, 120, 193)"
imul ebx,"rgb(200, 119, 194)"
imul edi,"rgb(200, 118, 195)"
imul esi,"rgb(200, 117, 196)"
leave,"rgb(200, 116, 197)"
ecx dword,"rgb(200, 115, 198)"
ecx 4,"rgb(200, 114, 199)"
inc esi,"rgb(200, 131, 181)"
or ecx,"rgb(200, 130, 182)"
test cl,"rgb(200, 129, 183)"
eax ebp,"rgb(200, 128, 184)"
call esi,"rgb(200, 127, 185)"
cmp al,"rgb(200, 126, 186)"
mov bl,"rgb(200, 125, 187)"
or edi,"rgb(200, 124, 188)"
test al,"rgb(200, 123, 189)"
shl edi,"rgb(200, 122, 190)"
inc ecx,"rgb(200, 121, 191)"
ebx esi,"rgb(200, 120, 192)"
esi 2,"rgb(200, 119, 193)"
fstp dword,"rgb(200, 118, 194)"
xchg ebx,"rgb(200, 117, 195)"
eax 4,"rgb(200, 116, 196)"
pop edx,"rgb(200, 115, 197)"
ecx 1,"rgb(200, 114, 198)"
xchg esi,"rgb(200, 113, 199)"
ecx esp,"rgb(200, 131, 180)"
edx dword,"rgb(200, 130, 181)"
edx 1,"rgb(200, 129, 182)"
inc dword,"rgb(200, 128, 183)"
eax 8,"rgb(200, 127, 184)"
call eax,"rgb(200, 126, 185)"
mul edi,"rgb(200, 125, 186)"
xchg ecx,"rgb(200, 124, 187)"
al al,"rgb(200, 123, 188)"
eax word,"rgb(200, 122, 189)"
mul ebx,"rgb(200, 121, 190)"
ecx ebp,"rgb(200, 120, 191)"
inc edi,"rgb(200, 119, 192)"
sub al,"rgb(200, 118, 193)"
shr eax,"rgb(200, 117, 194)"
edx byte,"rgb(200, 116, 195)"
push 3,"rgb(200, 115, 196)"
shr ecx,"rgb(200, 114, 197)"
mul edx,"rgb(200, 113, 198)"
al byte,"rgb(200, 112, 199)"
ptr [esp],"rgb(200, 131, 179)"
and esi,"rgb(200, 130, 180)"
not edx,"rgb(200, 129, 181)"
cld,"rgb(200, 128, 182)"
std,"rgb(200, 127, 183)"
div ecx,"rgb(200, 126, 184)"
fnstsw ax,"rgb(200, 125, 185)"
esi al,"rgb(200, 124, 186)"
shr esi,"rgb(200, 123, 187)"
push 4,"rgb(200, 122, 188)"
push 1,"rgb(200, 121, 189)"
inc ebx,"rgb(200, 120, 190)"
call dword,"rgb(200, 119, 191)"
sub edi,"rgb(200, 118, 192)"
not edi,"rgb(200, 117, 193)"
test ebx,"rgb(200, 116, 194)"
ecx byte,"rgb(200, 115, 195)"
add dword,"rgb(200, 114, 196)"
esi 1,"rgb(200, 113, 197)"
or ebx,"rgb(200, 112, 198)"
fstp qword,"rgb(200, 111, 199)"
[ebx] esi,"rgb(200, 131, 178)"
add eax,"rgb(200, 130, 179)"
and al,"rgb(200, 129, 180)"
xchg edx,"rgb(200, 128, 181)"
test ah,"rgb(200, 127, 182)"
mov ax,"rgb(200, 126, 183)"
mov cx,"rgb(200, 125, 184)"
ecx word,"rgb(200, 124, 185)"
cmp ebp,"rgb(200, 123, 186)"
fld qword,"rgb(200, 122, 187)"
mov esp,"rgb(200, 121, 188)"
rep stosd,"rgb(200, 120, 189)"
fxch st(2),"rgb(200, 119, 190)"
ecx 2,"rgb(200, 118, 191)"
or al,"rgb(200, 117, 192)"
ebp ebp,"rgb(200, 116, 193)"
sub ebx,"rgb(200, 115, 194)"
lea ebp,"rgb(200, 114, 195)"
not eax,"rgb(200, 113, 196)"
fmul dword,"rgb(200, 112, 197)"
[eax] 0,"rgb(200, 111, 198)"
ptr [ebx],"rgb(200, 110, 199)"
[ecx] edx,"rgb(200, 131, 177)"
ecx 8,"rgb(200, 130, 178)"
edx word,"rgb(200, 129, 179)"
ebp eax,"rgb(200, 128, 180)"
[edi] eax,"rgb(200, 127, 181)"
edi ebp,"rgb(200, 126, 182)"
fxch st(3),"rgb(200, 125, 183)"
mov dx,"rgb(200, 124, 184)"
dec ebx,"rgb(200, 123, 185)"
test dl,"rgb(200, 122, 186)"
cl byte,"rgb(200, 121, 187)"
and ebx,"rgb(200, 120, 188)"
cmp word,"rgb(200, 119, 189)"
esp ebp,"rgb(200, 118, 190)"
esi dword,"rgb(200, 117, 191)"
ptr [edx],"rgb(200, 116, 192)"
[eax] ecx,"rgb(200, 115, 193)"
fldz,"rgb(200, 114, 194)"
[ecx] eax,"rgb(200, 113, 195)"
call edi,"rgb(200, 112, 196)"
sub dl,"rgb(200, 111, 197)"
push es,"rgb(200, 110, 198)"
cl cl,"rgb(200, 109, 199)"
or cl,"rgb(200, 131, 176)"
neg eax,"rgb(200, 130, 177)"
ebx cl,"rgb(200, 129, 178)"
eax 6,"rgb(200, 128, 179)"
eax esp,"rgb(200, 127, 180)"
eax 9,"rgb(200, 126, 181)"
ebx 1,"rgb(200, 125, 182)"
eax [eax],"rgb(200, 124, 183)"
eax 7,"rgb(200, 123, 184)"
edi dword,"rgb(200, 122, 185)"
sbb edx,"rgb(200, 121, 186)"
mul dword,"rgb(200, 120, 187)"
xmm0 xmmword,"rgb(200, 119, 188)"
sub cl,"rgb(200, 118, 189)"
dl byte,"rgb(200, 117, 190)"
or dl,"rgb(200, 116, 191)"
sbb eax,"rgb(200, 115, 192)"
shl ebx,"rgb(200, 114, 193)"
movups xmmword,"rgb(200, 113, 194)"
dl dl,"rgb(200, 112, 195)"
and dl,"rgb(200, 111, 196)"
not esi,"rgb(200, 110, 197)"
esi 4,"rgb(200, 109, 198)"
ecx 3,"rgb(200, 108, 199)"
not ecx,"rgb(200, 131, 175)"
edi 4,"rgb(200, 130, 176)"
shr edi,"rgb(200, 129, 177)"
neg ecx,"rgb(200, 128, 178)"
[eax] esi,"rgb(200, 127, 179)"
edx ebp,"rgb(200, 126, 180)"
dl al,"rgb(200, 125, 181)"
test ebp,"rgb(200, 124, 182)"
xor al,"rgb(200, 123, 183)"
add al,"rgb(200, 122, 184)"
[ebx] eax,"rgb(200, 121, 185)"
[eax] cx,"rgb(200, 120, 186)"
and cl,"rgb(200, 119, 187)"
ebx dword,"rgb(200, 118, 188)"
cmp cl,"rgb(200, 117, 189)"
or dword,"rgb(200, 116, 190)"
ptr [edi],"rgb(200, 115, 191)"
jmp dword,"rgb(200, 114, 192)"
movaps xmmword,"rgb(200, 113, 193)"
cmp dl,"rgb(200, 112, 194)"
sub ebp,"rgb(200, 111, 195)"
push 8,"rgb(200, 110, 196)"
[ecx] esi,"rgb(200, 109, 197)"
edx 2,"rgb(200, 108, 198)"
faddp st(1),"rgb(200, 107, 199)"
shl ecx,"rgb(200, 131, 174)"
not al,"rgb(200, 130, 175)"
ebp ecx,"rgb(200, 129, 176)"
cl 1,"rgb(200, 128, 177)"
neg edx,"rgb(200, 127, 178)"
al dl,"rgb(200, 126, 179)"
edi 8,"rgb(200, 125, 180)"
edx 4,"rgb(200, 124, 181)"
eax al,"rgb(200, 123, 182)"
test bl,"rgb(200, 122, 183)"
sbb ecx,"rgb(200, 121, 184)"
inc ebp,"rgb(200, 120, 185)"
shr ebx,"rgb(200, 119, 186)"
[ecx] edi,"rgb(200, 118, 187)"
cl al,"rgb(200, 117, 188)"
al 0,"rgb(200, 116, 189)"
sub cx,"rgb(200, 115, 190)"
and edi,"rgb(200, 114, 191)"
al 1,"rgb(200, 113, 192)"
not dl,"rgb(200, 112, 193)"
sar edx,"rgb(200, 111, 194)"
[ebx] edx,"rgb(200, 110, 195)"
edi 1,"rgb(200, 109, 196)"
[ecx] ebx,"rgb(200, 108, 197)"
xor ebp,"rgb(200, 107, 198)"
div esi,"rgb(200, 106, 199)"
cmp dx,"rgb(200, 131, 173)"
[esi] 0,"rgb(200, 130, 174)"
and byte,"rgb(200, 129, 175)"
ax word,"rgb(200, 128, 176)"
dl cl,"rgb(200, 127, 177)"
edx 3,"rgb(200, 126, 178)"
cl dl,"rgb(200, 125, 179)"
al cl,"rgb(200, 124, 180)"
rep movsd,"rgb(200, 123, 181)"
inc word,"rgb(200, 122, 182)"
test dword,"rgb(200, 121, 183)"
xmm1 xmmword,"rgb(200, 120, 184)"
ebx 8,"rgb(200, 119, 185)"
not cl,"rgb(200, 118, 186)"
cmp ax,"rgb(200, 117, 187)"
movsx eax,"rgb(200, 116, 188)"
edx 8,"rgb(200, 115, 189)"
and ax,"rgb(200, 114, 190)"
bh bh,"rgb(200, 113, 191)"
esi ebp,"rgb(200, 112, 192)"
[esi] eax,"rgb(200, 111, 193)"
[eax] bl,"rgb(200, 110, 194)"
esi 8,"rgb(200, 109, 195)"
fild dword,"rgb(200, 108, 196)"
al bl,"rgb(200, 107, 197)"
[eax] dl,"rgb(200, 106, 198)"
ebx [ebx],"rgb(200, 105, 199)"
[eax] edx,"rgb(200, 131, 172)"
movzx ebx,"rgb(200, 130, 173)"
movups xmm0,"rgb(200, 129, 174)"
ecx 7,"rgb(200, 128, 175)"
sar ecx,"rgb(200, 127, 176)"
[ecx] dl,"rgb(200, 126, 177)"
div edi,"rgb(200, 125, 178)"
fst qword,"rgb(200, 124, 179)"
fsubp st(1),"rgb(200, 123, 180)"
[eax] eax,"rgb(200, 122, 181)"
sub ax,"rgb(200, 121, 182)"
cmp cx,"rgb(200, 120, 183)"
fstp st(1),"rgb(200, 119, 184)"
dl bl,"rgb(200, 118, 185)"
cl 2,"rgb(200, 117, 186)"
cl bl,"rgb(200, 116, 187)"
or byte,"rgb(200, 115, 188)"
fild word,"rgb(200, 114, 189)"
div ebx,"rgb(200, 113, 190)"
[eax] edi,"rgb(200, 112, 191)"
fst dword,"rgb(200, 111, 192)"
[edi] al,"rgb(200, 110, 193)"
ptr es:[edi],"rgb(200, 109, 194)"
sbb al,"rgb(200, 108, 195)"
wait,"rgb(200, 107, 196)"
mov si,"rgb(200, 106, 197)"
ebx 4,"rgb(200, 105, 198)"
[ecx] al,"rgb(200, 104, 199)"
ebp edx,"rgb(200, 131, 171)"
ebp edi,"rgb(200, 130, 172)"
cl 8,"rgb(200, 129, 173)"
dx cl,"rgb(200, 128, 174)"
sub dx,"rgb(200, 127, 175)"
fld1,"rgb(200, 126, 176)"
imul ebp,"rgb(200, 125, 177)"
cl 4,"rgb(200, 124, 178)"
esi 7,"rgb(200, 123, 179)"
mov bx,"rgb(200, 122, 180)"
ebp ebx,"rgb(200, 121, 181)"
sar ebx,"rgb(200, 120, 182)"
and dx,"rgb(200, 119, 183)"
edx 5,"rgb(200, 118, 184)"
dx word,"rgb(200, 117, 185)"
or ax,"rgb(200, 116, 186)"
or dx,"rgb(200, 115, 187)"
al 4,"rgb(200, 114, 188)"
mov di,"rgb(200, 113, 189)"
rep movsb,"rgb(200, 112, 190)"
movzx edi,"rgb(200, 111, 191)"
ebx byte,"rgb(200, 110, 192)"
fchs,"rgb(200, 109, 193)"
bl bl,"rgb(200, 108, 194)"
bl al,"rgb(200, 107, 195)"
ecx 5,"rgb(200, 106, 196)"
rol eax,"rgb(200, 105, 197)"
fdiv dword,"rgb(200, 104, 198)"
ebp 8,"rgb(200, 103, 199)"
ebx 2,"rgb(200, 131, 170)"
cx dx,"rgb(200, 130, 171)"
edi 2,"rgb(200, 129, 172)"
not ax,"rgb(200, 128, 173)"
esi 3,"rgb(200, 127, 174)"
ror eax,"rgb(200, 126, 175)"
sub dword,"rgb(200, 125, 176)"
edx 0,"rgb(200, 124, 177)"
cx word,"rgb(200, 123, 178)"
fldcw word,"rgb(200, 122, 179)"
xmm0 qword,"rgb(200, 121, 180)"
eax 0,"rgb(200, 120, 181)"
bl dl,"rgb(200, 119, 182)"
xor byte,"rgb(200, 118, 183)"
xmm2 xmmword,"rgb(200, 117, 184)"
rcr eax,"rgb(200, 116, 185)"
cmp si,"rgb(200, 115, 186)"
and cx,"rgb(200, 114, 187)"
ecx 6,"rgb(200, 113, 188)"
push esp,"rgb(200, 112, 189)"
call ebx,"rgb(200, 111, 190)"
shr dx,"rgb(200, 110, 191)"
pop ds,"rgb(200, 109, 192)"
ebp 4,"rgb(200, 108, 193)"
cx di,"rgb(200, 107, 194)"
ch ch,"rgb(200, 106, 195)"
di di,"rgb(200, 105, 196)"
ror ecx,"rgb(200, 104, 197)"
ebx 5,"rgb(200, 103, 198)"
ror esi,"rgb(200, 102, 199)"
fdiv qword,"rgb(200, 131, 169)"
test di,"rgb(200, 130, 170)"
edx 6,"rgb(200, 129, 171)"
dx cx,"rgb(200, 128, 172)"
edx 7,"rgb(200, 127, 173)"
fsubp st(2),"rgb(200, 126, 174)"
push 6,"rgb(200, 125, 175)"
si si,"rgb(200, 124, 176)"
lock xadd,"rgb(200, 123, 177)"
test si,"rgb(200, 122, 178)"
dx byte,"rgb(200, 121, 179)"
ebx ebp,"rgb(200, 120, 180)"
push 7,"rgb(200, 119, 181)"
bl cl,"rgb(200, 118, 182)"
cmp bl,"rgb(200, 117, 183)"
ebp 2,"rgb(200, 116, 184)"
stmxcsr dword,"rgb(200, 115, 185)"
dx ax,"rgb(200, 114, 186)"
or cx,"rgb(200, 113, 187)"
al 2,"rgb(200, 112, 188)"
retf,"rgb(200, 111, 189)"
eax ax,"rgb(200, 110, 190)"
push 9,"rgb(200, 109, 191)"
rcr ebx,"rgb(200, 108, 192)"
ax cx,"rgb(200, 107, 193)"
cx cx,"rgb(200, 106, 194)"
xmm1 xmm0,"rgb(200, 105, 195)"
ebp 1,"rgb(200, 104, 196)"
and bl,"rgb(200, 103, 197)"
inc esp,"rgb(200, 102, 198)"
movups xmm1,"rgb(200, 101, 199)"
ebx 7,"rgb(200, 131, 168)"
or bl,"rgb(200, 130, 169)"
shl dword,"rgb(200, 129, 170)"
pop ss,"rgb(200, 128, 171)"
or ch,"rgb(200, 127, 172)"
ror edx,"rgb(200, 126, 173)"
al 8,"rgb(200, 125, 174)"
or word,"rgb(200, 124, 175)"
xor dl,"rgb(200, 123, 176)"
shr ebp,"rgb(200, 122, 177)"
[eax] ebx,"rgb(200, 121, 178)"
cx ax,"rgb(200, 120, 179)"
ax ax,"rgb(200, 119, 180)"
dl 1,"rgb(200, 118, 181)"
bl byte,"rgb(200, 117, 182)"
setl bl,"rgb(200, 116, 183)"
call ebp,"rgb(200, 115, 184)"
pop es,"rgb(200, 114, 185)"
adc al,"rgb(200, 113, 186)"
sbb byte,"rgb(200, 112, 187)"
[esi] al,"rgb(200, 111, 188)"
sub bl,"rgb(200, 110, 189)"
test cx,"rgb(200, 109, 190)"
rol esi,"rgb(200, 108, 191)"
shl ebp,"rgb(200, 107, 192)"
cmp di,"rgb(200, 106, 193)"
[eax] cl,"rgb(200, 105, 194)"
fld st(1),"rgb(200, 104, 195)"
ebp esi,"rgb(200, 103, 196)"
dec eax,"rgb(200, 102, 197)"
rol ecx,"rgb(200, 101, 198)"
cx si,"rgb(200, 131, 167)"
dl ah,"rgb(200, 130, 168)"
fsub dword,"rgb(200, 129, 169)"
clc,"rgb(200, 128, 170)"
[edx] cl,"rgb(200, 127, 171)"
mov dh,"rgb(200, 126, 172)"
ax dx,"rgb(200, 125, 173)"
repe cmpsb,"rgb(200, 124, 174)"
dl ch,"rgb(200, 123, 175)"
bl 1,"rgb(200, 122, 176)"
ecx 9,"rgb(200, 121, 177)"
lea esp,"rgb(200, 120, 178)"
ah 1,"rgb(200, 119, 179)"
[eax] ebp,"rgb(200, 118, 180)"
not cx,"rgb(200, 117, 181)"
esi [esi],"rgb(200, 116, 182)"
dx si,"rgb(200, 115, 183)"
ebp cl,"rgb(200, 114, 184)"
ch 1,"rgb(200, 113, 185)"
esp eax,"rgb(200, 112, 186)"
movsx edx,"rgb(200, 111, 187)"
edx dl,"rgb(200, 110, 188)"
and ebp,"rgb(200, 109, 189)"
sar esi,"rgb(200, 108, 190)"
movsx ecx,"rgb(200, 107, 191)"
adc eax,"rgb(200, 106, 192)"
[edx] eax,"rgb(200, 105, 193)"
shr al,"rgb(200, 104, 194)"
fabs,"rgb(200, 103, 195)"
aaa,"rgb(200, 102, 196)"
[eax] ah,"rgb(200, 101, 197)"
[edi] esi,"rgb(200, 131, 166)"
test ax,"rgb(200, 130, 167)"
sahf,"rgb(200, 129, 168)"
[ecx] bl,"rgb(200, 128, 169)"
fxam,"rgb(200, 127, 170)"
[ecx] 0,"rgb(200, 126, 171)"
add ah,"rgb(200, 125, 172)"
xmm6 xmmword,"rgb(200, 124, 173)"
fsubrp st(1),"rgb(200, 123, 174)"
neg ebx,"rgb(200, 122, 175)"
ebx 3,"rgb(200, 121, 176)"
[ebx] edi,"rgb(200, 120, 177)"
xmm1 qword,"rgb(200, 119, 178)"
edi 7,"rgb(200, 118, 179)"
fld st(2),"rgb(200, 117, 180)"
edi 3,"rgb(200, 116, 181)"
dec ecx,"rgb(200, 115, 182)"
shl cl,"rgb(200, 114, 183)"
al 3,"rgb(200, 113, 184)"
[edx] al,"rgb(200, 112, 185)"
al 9,"rgb(200, 111, 186)"
ymmword ptr,"rgb(200, 110, 187)"
rep stosb,"rgb(200, 109, 188)"
fcomp dword,"rgb(200, 108, 189)"
[esi] cl,"rgb(200, 107, 190)"
xmm0 xmm1,"rgb(200, 106, 191)"
0 0,"rgb(200, 105, 192)"
rol edx,"rgb(200, 104, 193)"
si di,"rgb(200, 103, 194)"
di si,"rgb(200, 102, 195)"
shr dword,"rgb(200, 101, 196)"
esi word,"rgb(200, 131, 165)"
[edx] ecx,"rgb(200, 130, 166)"
xmm3 xmm0,"rgb(200, 129, 167)"
fyl2x,"rgb(200, 128, 168)"
dx dx,"rgb(200, 127, 169)"
[ebx] ecx,"rgb(200, 126, 170)"
cl 3,"rgb(200, 125, 171)"
repne scasb,"rgb(200, 124, 172)"
mov ch,"rgb(200, 123, 173)"
push ss,"rgb(200, 122, 174)"
or bh,"rgb(200, 121, 175)"
and ah,"rgb(200, 120, 176)"
ldmxcsr dword,"rgb(200, 119, 177)"
mov ah,"rgb(200, 118, 178)"
[esi] bl,"rgb(200, 117, 179)"
fsub qword,"rgb(200, 116, 180)"
xmm3 xmmword,"rgb(200, 115, 181)"
or ah,"rgb(200, 114, 182)"
[esi] dl,"rgb(200, 113, 183)"
[eax] dh,"rgb(200, 112, 184)"
and esp,"rgb(200, 111, 185)"
al ah,"rgb(200, 110, 186)"
rol byte,"rgb(200, 109, 187)"
fcomp qword,"rgb(200, 108, 188)"
al 5,"rgb(200, 107, 189)"
ebp 3,"rgb(200, 106, 190)"
edx bl,"rgb(200, 105, 191)"
fscale,"rgb(200, 104, 192)"
rol edi,"rgb(200, 103, 193)"
push cs,"rgb(200, 102, 194)"
xor ch,"rgb(200, 101, 195)"
not ebx,"rgb(200, 131, 164)"
pop esp,"rgb(200, 130, 165)"
[eax] bh,"rgb(200, 129, 166)"
and bh,"rgb(200, 128, 167)"
ax di,"rgb(200, 127, 168)"
esi 5,"rgb(200, 126, 169)"
shr ax,"rgb(200, 125, 170)"
xor dh,"rgb(200, 124, 171)"
ror edi,"rgb(200, 123, 172)"
ebx 6,"rgb(200, 122, 173)"
fcom dword,"rgb(200, 121, 174)"
sub byte,"rgb(200, 120, 175)"
al 6,"rgb(200, 119, 176)"
ax cl,"rgb(200, 118, 177)"
movq qword,"rgb(200, 117, 178)"
edi byte,"rgb(200, 116, 179)"
ecx cx,"rgb(200, 115, 180)"
ah 2,"rgb(200, 114, 181)"
sbb dword,"rgb(200, 113, 182)"
das,"rgb(200, 112, 183)"
bh 2,"rgb(200, 111, 184)"
eax dx,"rgb(200, 110, 185)"
[esi] ecx,"rgb(200, 109, 186)"
fcom qword,"rgb(200, 108, 187)"
shl ah,"rgb(200, 107, 188)"
and word,"rgb(200, 106, 189)"
rol cl,"rgb(200, 105, 190)"
sar cl,"rgb(200, 104, 191)"
shl dx,"rgb(200, 103, 192)"
not bl,"rgb(200, 102, 193)"
add bl,"rgb(200, 101, 194)"
cwde,"rgb(200, 131, 163)"
dl 9,"rgb(200, 130, 164)"
daa,"rgb(200, 129, 165)"
cx bx,"rgb(200, 128, 166)"
fdivr qword,"rgb(200, 127, 167)"
fdivr dword,"rgb(200, 126, 168)"
test dh,"rgb(200, 125, 169)"
[edx] dh,"rgb(200, 124, 170)"
ebx 9,"rgb(200, 123, 171)"
dl 2,"rgb(200, 122, 172)"
ecx [ecx],"rgb(200, 121, 173)"
xmm0 dword,"rgb(200, 120, 174)"
[edx] 0,"rgb(200, 119, 175)"
al ch,"rgb(200, 118, 176)"
xor bl,"rgb(200, 117, 177)"
sar edi,"rgb(200, 116, 178)"
fpatan,"rgb(200, 115, 179)"
or ebp,"rgb(200, 114, 180)"
fptan,"rgb(200, 113, 181)"
fcomp st(1),"rgb(200, 112, 182)"
test dx,"rgb(200, 111, 183)"
ah al,"rgb(200, 110, 184)"
edi 6,"rgb(200, 109, 185)"
edx 9,"rgb(200, 108, 186)"
movaps xmm1,"rgb(200, 107, 187)"
fmul qword,"rgb(200, 106, 188)"
[esi] ax,"rgb(200, 105, 189)"
xmm0 xmm6,"rgb(200, 104, 190)"
si cx,"rgb(200, 103, 191)"
fldln2,"rgb(200, 102, 192)"
dx di,"rgb(200, 101, 193)"
[esi] ebx,"rgb(200, 131, 162)"
add dl,"rgb(200, 130, 163)"
cx byte,"rgb(200, 129, 164)"
ah 5,"rgb(200, 128, 165)"
fdivrp st(1),"rgb(200, 127, 166)"
xmm1 xmm2,"rgb(200, 126, 167)"
in eax,"rgb(200, 125, 168)"
push ds,"rgb(200, 124, 169)"
ecx cl,"rgb(200, 123, 170)"
cli,"rgb(200, 122, 171)"
ebp 5,"rgb(200, 121, 172)"
xmm5 xmmword,"rgb(200, 120, 173)"
movzx dx,"rgb(200, 119, 174)"
fmulp st(1),"rgb(200, 118, 175)"
test ch,"rgb(200, 117, 176)"
mov bh,"rgb(200, 116, 177)"
sar dword,"rgb(200, 115, 178)"
